,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
12,Brasil > Goiás,Comunicação > Documento||10 Comunicação > 10.1 Documento||Acervo Museológico||Cartografia,Manoel Ribeiro Guimarães,1983||Século XVIII > 1782,"Quadro com a cópia da Planta de Villa Boa de Goyaz, tendo abaixo desenho do Palácio dos Governadores e 06 figuras com o uniforme dos batalhões existentes na vila, acima faixa com especificação dos logradouros públicos, ruas, becos, travessas, principais edificações e igrejas.",Não identificada,10.1.04||Sem registro,Planta de Villa Boa||Planta de Villa Boa
13,Brasil > Goiás,08 Insígnias||Acervo Museológico,Não identificado,20/11/1972||Século XX,"Bandeira Nacional, tecido de algodão, formato retangular, nas cores verde, amarelo, azul e branco. Inscrição “Ordem e Progresso” em tecido camurça verde costurado em faixa de cor branco. Com 22 estrelas estampadas em um círculo azul, representando os Estados da Federação.",Jaime Câmara,08.03||Sem registro,Bandeira Nacional||Bandeira Nacional
14,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico,Não identificado,02/10/1967||Século XVIII,"Duas almofadas de janela unidas, de madeira, formato retangular.",Sebastião Veloso Peleja,04.04.45||Sem registro,Almofada de janela||Almofada de janela
15,Não identificado,Artes Visuais > Escultura||02 Artes Visuais/Cinematográfica > 02.3 Escultura||Acervo Museológico||Religioso,Não identificado,Déc. de 1950/60||Século XIX,"Cabeça de santo, em madeira, olhos abertos, boca entreaberta, nariz aquilino, cabelos lisos e curtos, com barba e bigode.",Não identificada,02.03.20||Sem registro,Escultura Religiosa||Cabeça de São Francisco
16,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico,Não identificado,Não identificada||Não identificada,"Chave de porta, de ferro, extremidade superior em formato de coração, 04 saliências em alto relevo e extremidade em curva.",Não identificada,04.04.44||Sem registro,Chave||Chave
17,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico,Não identificado,Não identificada||Não identificada,"Chave de porta, de ferro.",Não identificada,04.04.43||Sem registro,Chave||Chave
18,Não identificado,Objetos Pessoais > Artigo de Tabagismo||12 Objetos Pessoais > 12.2 Artigo de Tabagismo||Acervo Museológico,Não identificado,Não identificada||Não identificada,"Fragmento de cachimbo, feito de pedra sabão, desenhos em curvas e contracurvas em alto relevo, motivos florais nas laterais.",Não identificada,12.2.01||Sem registro,Cachimbo||Cachimbo
19,Não identificado,Trabalho > Equipamento de Mineração||06 Trabalho > 06.6 Equipamento de Mineração||Acervo Museológico,Não identificado,Déc. 1960||Não identificada,"Enxada para extração, usada no garimpo do ouro e pedras preciosas. Formato achatado e ligeiramente encurvado formando uma ponta em semicírculo com vão para fixar no cabo de madeira.",Jarbas Jayme,06.06.06||Sem registro,Almocafre (mucafo)||Enxada p/ extração
20,Não identificado,Trabalho > Equipamento de Artistas/Artesãos||06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Acervo Museológico||Mineração,Não identificado,Déc. 1980||Século XVIII,"Cadinho de ferro, formato redondo, mais largo na parte superior, de onde se prolonga em formato de bico. Com inscrição em sua superfície externa. Oxidado.",Fundação Nacional Pró-Memória,06.03.08||GO.99/030.345,Cadinho||Cadinho
21,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico||Etnográfico,Não identificado,Não identificada||Não identificada,"Vaso de argila, formato arredondado, pintado com motivos fitomórficos em vermelho, com 02 frisos dividindo o bojo em partes desiguais e terminado na parte superior com pintura em curvas e pontos.",Não identificada,05.06.23||GO.99/030.343,Vaso||Vaso indígena
22,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,Não identificada||Não identificada,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas retas. Pés dianteiros em ligeira cambota para frente, pés traseiros retos com travejamento lateral e frontal roliço.",Não identificada,05.05.57||GO.99/030.341,Cadeira||Cadeira
23,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Educação,Não identificado,Não identificada||Não identificada,"Cadeira de madeira, encosto com 02 traves na horizontal, unidas por travejamento em forma de jarro na vertical, com recortes ondulados. Travejamento horizontal superior recortado, com 02 pequenos pináculos nas extremidades e um semicírculo com entalhe em forma de corrente nas bordas com motivos fitomórficos no centro. Assento de palhinha, braços recortados com extremidades unidas ao assento por colunas torneadas. Pés frontais torneados, pés traseiros retos e em ligeira cambota para trás, com traves laterais e uma frontal torneadas no centro.",Não identificada,05.05.55||GO.99/030.339,Cadeira||Cadeira
24,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1984||Século XX > 1984,"Mesa de madeira, formato retangular, com tampo em 02 partes iguais. Pés torneados, sistema de encaixe.",Não identificada,05.05.54||GO.99/030.337,Mesa||Mesa
25,Inglaterra,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,J & G Meakin,28/09/1972||Século XIX,"Bacia: Bacia de porcelana, formato arredondado, com motivos florais cor rosa em fundo branco, friso ondulado cor branco e com formato dentado em toda a borda interior. Na parte externa predomina o branco, com 03 (três) motivos florais cor rosa. Jarro: Jarro de porcelana, formato ovalado na parte superior, com motivos florais cor rosa pintados em fundo branco, com motivos florais cor branco e em alto relevo. Asa com desenhos, recortes, altos relevo imitando volutas. Base do jarro dentada ondulada. Bojo com superfície em ondulações. Parte superior trabalhada em curvas e em formato de bico em uma das extremidades.",Não identificada,05.06.22||GO.99/030.336,Jarro e Bacia||Jarro e Bacia
26,Não identificado,Trabalho > Equipamento de Uso Geral||06 Trabalho > 06.8 Equipamento de Uso Geral||Acervo Museológico||Mineração,Não identificado,Não identificada||Não identificada,"Pá de ferro batido, com cabo de madeira roliça extraída de galho de árvore, unida ao cabo por encaixe.",Não identificada,06.08.03||GO.99/030.335,Pá||Pá
27,Não identificado,Trabalho > Equipamento de Mineração||06 Trabalho > 06.6 Equipamento de Mineração||Acervo Museológico||Mineração,Não identificado,Não identificada||Não identificada,"Enxada para extração, usada no garimpo do ouro e pedras preciosas. Formato achatado e encurvado, formando uma ponta em semicírculo com vão para fixar no cabo de madeira.",Não identificada,06.06.05||GO.99/030.333,Almocafre||Enxada p/ extração
28,Não identificado,Trabalho > Equipamento de Mineração||06 Trabalho > 06.6 Equipamento de Mineração||Acervo Museológico||Mineração,Não identificado,1984||Não identificada,"Enxada para extração, usada no garimpo do ouro e pedras preciosas. De seção triangular, formato achatado e encurvado em ângulo de 90 graus, sendo mais estreito na extremidade, formando uma ponta em semicírculo com vão para fixar no cabo de madeira. Fixação das partes por meio de cravo.",Não identificada,06.06.04||GO.99/030.332,Almocafre||Enxada p/ extração
29,Não identificado,Trabalho > Equipamento de Mineração||06 Trabalho > 06.6 Equipamento de Mineração||Acervo Museológico||Mineração,Não identificado,Não identificada||Não identificada,"Enxada para extração, usada no garimpo do ouro e pedras preciosas. Formato achatado e ligeiramente encurvado formando uma ponta em semicírculo com vão para fixar no cabo de madeira.",Não identificada,06.06.03||GO.99/030.331,Almocafre||Enxada p/ extração
30,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,Não identificada||Não identificada,"Dois tijolos feitos de barro cozido, formato retangular. Parte posterior lisa e frontal com recorte retangular, vendo-se em um deles a inscrição “B F”.",Não identificada,04.04.39||GO.99/030.330,Tijolo||Tijolo (par)
31,Não identificado,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,Não identificada||Século XVIII,"Telha de barro cozido, formato retangular, encurvada para encaixe, sulco em relevo em uma das extremidades.",Não identificada,04.04.38||GO.99/030.329,Telha||Telha
32,Não identificado,Trabalho > Equipamento de Mineração||06 Trabalho > 06.6 Equipamento de Mineração||Acervo Museológico||Mineração,Não identificado,1983||Não identificada,"Bica: forma retangular, de madeira com uma das extremidades que servia para escoar a água lavada dos cascalhos. Grelha: peça em formato retangular, com recortes de madeira nos seus 04 lados, e flandres com furos na parte interna. Dimensão: 40 x 31. Peça em malha (pedaço de tapete), formato retangular, trançada com fios de plástico. Servia para reter o ouro lavado. Dimensão: 45 x 28.",Não identificada,06.06.02||GO.99/030.328,Grelha e bica para extração do ouro||Grelha e bica para extração do ouro
33,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,Não identificada||Século XVIII,"Porta guardanapo de madrepérolas, formato arredondado e afunilado em espiral na extremidade, (uma concha recortada servindo de porta guardanapo), com tons de rosa, branco e azul.",Não identificada,05.06.21||GO.99/030.327,Porta Guardanapo||Porta Guardanapo
34,Inglaterra,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,01/09/1984||Século XVIII,"Prato raso de estanho, formato redondo, com inscrição no verso, aparecendo na orla um carimbo tendo ao lado uma coroa e abaixo da mesma uma flor com 05 (cinco) pétalas ladeadas com ramos de folhas. Logo acima da coroa letras quase ilegíveis com final da palavra DOM, e um brasão em cujo centro há um “x”. Abaixo, um sino, logo abaixo do mesmo uma palavra com o final Well e acima do sino a palavra Benjamim. Logo ao seu lado oposto há 03 pequenos círculos tendo no centro de cada, um leão.",Alice Galvão Bueno,05.06.20||GO.99/030.326,Prato||Prato de estanho
35,Não identificado,Interiores > Utensílio de Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1984||Século XIX,"Peça central que serve de suporte, de forma arredondada, tendo furos na parte superior e abertura nas laterais da parte inferior, soldada no friso da base que tem forma redonda e mais saliente. Acima dos furos alonga uma parte lisa onde é soldada a asa e com a superfície tampada apoiando um bule. Do lado oposto a asa da peça inferior sai uma espécie de bico que sustenta um vasilhame arredondado com tampa onde é colocado o pó do café. Entre esta vasilha e o bule em que fica a água há um caninho interligando-os para passagem do vapor.",Família Luiz Astolpho Amorim,05.06.19||83.003/030.322,Cafeteira||Cafeteira
36,Brasil > Rio de Janeiro,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Ourivesaria,Não identificado,1984||Não identificada,"Aro arredondado. Na superfície do anel uma torre trabalhada a ouro com duas colunas, encimado por uma pedra ametista e arrematado por um brilhante que é preso por garras de ouro branco e tendo um pino introduzido na pedra ametista. Nas laterais do anel aparecem dois aros encurvados na forma de “C”, unidos por um elo obtendo um formato de “X”.",Não identificada,12.5.23||84.002/030.321,Anel||Anel
37,Brasil > Rio de Janeiro,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Ourivesaria,Não identificado,1984||Século XX,"Formada por 05 (cinco) gomos imitando pequenos troncos de árvore, tendo nas extremidades pequenas argolas onde se acham encaixados os elos que os une. Em uma das pontas uma argola maior servindo de abotoadura e na outra ponta um aro em forma de pingente onde encaixa a abotoadura.",Não identificada,12.5.22||84.001/030.320,Gôndola de ouro||Pulseira
38,Brasil > Goiás,Amostras/Fragmentos > Amostra de Minério||16 Amostras/Fragmentos||Acervo Museológico||Mineração,Não identificado,22/12/1983||Século XX,Porção de ouro granulado extraído do garimpo.,Mário Augusto Aires,16.1||83.140/030.319,Ouro granulado||Ouro granulado
39,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Ourivesaria,Não identificado,22/12/1983||Não identificada,"Forma arredondada. Na superfície base ovalada com orla recortada, servindo de suporte para pedra curvina.",Maria Helena Ferreira Aires,12.5.21||83.139/030.318,Anel||Anel
40,Brasil > Goiás,Objetos Pessoais > Objeto de Adorno||12 Objetos Pessoais > 12.5 Objeto de Adorno||Acervo Museológico||Ourivesaria,Edjari Santos Lima,22/12/1983||Século XX,"Aro em forma ovalada, arrematado em forma de “S”, contendo argola servindo de abotoadura. Pingente com base ovalada sustentando pedra curvina.",Edjari Santos Lima,12.5.20||83.138/030.317,Brincos||Brincos
41,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Arquitetura,Não identificado,1983||Não identificada,"Peça escultórica em betume, com base retangular, de onde saem 02 volutas vazadas, tendo em uma das pontas motivos florais, de onde saem coluna com volutas.",Não identificada,04.04.37||83.120/030.299,Enfeite para fachada de casa||Enfeite para fachada de casa
42,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico||História do Brasil | República,Não identificado,14/10/1960||Século XX,"Peça em couro, recoberta por camurça preta nas laterais e do anteparo à cabeça. As 02 laterais do chapéu são ligeiramente unidas nas extremidades dando o formato ao chapéu. Na lateral superior e extremidades, enfeitadas por tecido adamascado dourado, com motivos geométricos. À frente na extremidade esquerda, bordado uma estrela em fios dourados e rebordado em sua volta formando esferas com miçangas verdes. Ainda à frente em sentido transversal à estrela, arranjo ovalado de fios metálicos circulares, com um botão dourado e emblema da República ao centro. Nas extremidades, arranjo de fio metálico e arranjo em plumas. Parte interna recoberta por papelão e cetim. Vide 83.032/030.169.",Magnólia Castro Sócrates,12.8.16||83.136/030.315,Chapéu||Chapéu do Mal. Eduardo Arthur Sócrates
43,Não identificado,Objetos Pessoais > Acessório de Indumentária||12 Objetos Pessoais > 12.1 Acessório de Indumentária||Acervo Museológico||História do Brasil | República,Não identificado,14/10/1960||Século XX,Banda em malha verde com listras douradas de fio metálico. Terminada nas extremidades por borlas. Vide 83.032/030.169.,Magnólia Castro Sócrates,12.1.02||83.135/030.314,Faixa Militar||Banda do Mal. Eduardo Arthur Sócrates
44,Brasil > Goiás,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico,Não identificado,16/11/1983||Século XIX,"Peça para iluminação em folha de flandres. Composta por 02 seções unidas por um bastão circular, o qual apresenta na extremidade superior um anel, que serve como suporte. Na extremidade inferior a base circular de forma frisada nas bordas. No centro um recipiente circular onde se coloca o azeite. Soldada a esta uma saliência em forma de bico, que servia para o pavio de algodão.",João Ferreira de Lima,05.04.15||83.134/030.313,Candeeiro||Candeeiro
45,Não identificado,Trabalho > Equipamento de Uso Geral||06 Trabalho > 06.8 Equipamento de Uso Geral||Acervo Museológico||Ourivesaria,Não identificado,16/11/1983||Não identificada,"Ponta de maçarico. Instrumento de ourivesaria. Formato em bastão côncavo, com uma pequena curva na parte superior e com um orifício através do qual se soldava o ouro. Na parte inferior, um orifício, pelo qual se introduzia o azeite que era o combustível usado; depois se fechava o orifício com um pedaço de madeira. Quando entupido o maçarico era limpo com um fio de ouro, de espessura correspondente ao orifício.",João Ferreira de Lima,06.08.02||83.131/030.310,Maçarico||Maçarico
46,Não identificado,Trabalho > Equipamento de Uso Geral||06 Trabalho > 06.8 Equipamento de Uso Geral||Acervo Museológico||Ourivesaria,Não identificado,16/11/1983||Não identificada,"Ponta de maçarico. Formato em bastão com uma pequena curva na parte superior e com um orifício através do qual se soldava o ouro. Na parte inferior um orifício, pelo qual se introduzia o azeite que era o combustível usado. Depois se fechava o orifício com um pedaço de madeira. Quando entupido, o maçarico era limpo com um fio de ouro, de espessura correspondente ao orifício.",João Ferreira de Lima,06.08.01||83.130/030.309,Maçarico||Maçarico
47,Não identificado,Trabalho > Equipamento de Artistas/Artesãos||06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Acervo Museológico||Ourivesaria,Não identificado,16/11/1983||Século XX,"Peça de ferro, formato retangular, com 17 (dezessete) cavidades de tamanhos diferentes, as quais serviam para formar as bolas de ouro.",João Ferreira de Lima,06.03.05||83.129/030.308,Forma de fundir ouro||Forma de fundir ouro
48,Brasil > Goiás,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,1983||Século XX,"Tecido rosa salmão. Decote arredondado, acompanhando o decote um arranjo em gripir branco, com motivos fitomórficos e rosinhas rosas. Servindo de pistilo as florzinhas, miçangas e pérolas. Salpicado por todo o vestido este mesmo arranjo também, cachos de uvas confeccionadas com 03 (três) tamanhos diferentes de pérolas, para formar o cacho e a haste é confeccionada com miçangas incolores. Também estriadas pelo vestido arranjos de miçangas formando volutas e pérolas de 03 tamanhos. Pince nos seios. Na parte posterior arranjo em gripir apenas no decote. Pince do decote ao quadril do vestido, para dar o formato da cintura. Fecho eclair e colchete de gancho. Forro do vestido em cetim.",Maria Luiza Brandão,12.8.15||83.126/030.305,Vestido||Vestido de Formatura
49,Brasil > Goiás,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,Não identificado,Não identificada||Século XX,"Vestido de seda creme, com decote redondo, sem mangas. Na parte superior da blusa aplicações de bordados em gripir com motivos fitomórficos e rebordado com miçangas, lantejoulas, vidrilhos e pérolas. Pince nos seios e na parte transversal da cintura aos seios. Saia evasê costurada ao meio. Da parte central da blusa saem unidas duas colunas de bordado em gripir em motivos fitomórficos, os quais são também rebordados com lantejoulas, vidrilhos, miçangas e pérolas, sendo que estas colunas chegam à barra, totalmente separadas, em plano inclinado. Na parte das costas o decote termina em “V”, acompanhando o decote o mesmo arranjo da parte da frente. Duas pregas na blusa e duas na saia. Fechado por fecho eclair e colchete de gancho. Forro do vestido em cetim.",Não identificada,12.8.14||83.125/030.304,Vestido||Vestido
50,Não identificado,Caça/Guerra > Arma Branca de Haste||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,Indígena,Não identificada||Não identificada,"Peça em madeira. Na extremidade superior enfeite de taboca na cor preta e amarelo, formando motivos geométricos. Nas duas extremidades deste enfeite, a mesma fibra vegetal preta firmando este. Atado à parte superior, enfeite de penas de aves, na cor branca e marrom e salpicada de marrom em tons mais escuros. Estas penas são presas em 02 (dois) canudos de bambu e apenas amarela e vermelha. No topo, saliência para o ataque.",Não identificada,01.02.14||83.124/030.303,Lança||Lança
51,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Ourivesaria,Não identificado,16/11/83||Não identificada,"Quatro pés roliços ligeiramente recurvados, sustentados por quatro traves roliças nas laterais, uma na parte de traz e uma na parte da frente, com três discos no centro. Assento trançado com seis tiras de couro, espaldar roliço ligeiramente recurvado, tendo o encosto duas traves roliças na horizontal, sustentando três traves roliças na vertical e contendo três discos cada.",João Ferreira de Lima,05.05.53||83.128/030.307,Cadeira||Cadeira do Ourives
52,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Ourivesaria,Não identificado,16/11/83||Não identificada,"Mesa cavalete com quatro pés quadrangulares sustentados por quatro traves retangulares. Tampo quadrangular recortado nas pontas dianteiras, na frente recorte ovalado, usado para lixar e escorrer o ouro para dentro da gaveta. Na frente embaixo do tampo três gavetas, sendo duas nas laterais e uma maior mais ao fundo, tendo a parte da frente recurvada, as gavetas laterais são que sustentam a do centro.",João Ferreira de Lima,05.05.52||83.127/030.306,Mesa||Mesa do Ourives
53,Não identificado,Caça/Guerra > Arma de Arremesso||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,,Déc. 1960||Século XX,"Arco em madeira encurvada. Nas duas extremidades enfeite de taboca em preto e amarelo, formando motivos geométricos, atado à extremidade por fibra vegetal trançada formando corda, através da qual a flecha é lançada.",Não identificada,01.02.13||83.123.030/302,Arco||Arco
54,Não identificado,Caça/Guerra > Arma de Arremesso||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,,Déc. 1960||Século XX,"Arco em madeira encurvado para dar o formato de arco. Na extremidade superior enfeite de taboca em preto e amarelo, motivos geométricos. Atado às extremidades duas fibras vegetais trançadas formando corda, através da qual a flecha é lançada. Também na extremidade superior a corda para suporte do arco ao ombro.",Não identificada,01.02.12||83.122/030.301,Arco||Arco
55,Não identificado,Caça/Guerra > Arma de Arremesso||01 Caça e Guerra > 01.2 Arma||Acervo Museológico||Etnográfico,,Déc. 1960||Século XX,"Arco de madeira, com forma encurvada. Nas duas extremidades enfeite de taboca em preto e amarelo, formando motivos geométricos. Atado a extremidade fibra vegetal trançado, formando corda, através da qual a flecha é lançada.",Não identificada,01.02.11||83.121/030.300,Arco (da flecha)||Arco (da flecha)
56,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico,Não identificado,1983||Não identificada,"Peça escultórica em betume com base retangular, de onde saem 02 volutas vazadas. Tendo em uma das pontas motivos florais, de onde saem coluna com volutas.",Não identificada,04.04.36||83.137/030.316,Elemento arquitetônico decorativo||Elemento arquitetônico decorativo
57,Brasil > Goiás,Comunicação > Documento||10 Comunicação > 10.1 Documento||Acervo Museológico||Personagem | Personagens,Não identificado,Déc. 1950||Século XIX,"Quadro em forma oval, com moldura em madeira pintada de vermelho e mechas pretas, com frisos dourados. No interior a fotografia do busto do Sr. Major Higino da Costa Nunes, veterano da Guerra do Paraguai. Figura de frente, com o rosto levemente à esquerda, olhos ao longe, nariz em bola. Boca fechada, com fisionomia séria, cavanhaque meio longo de cor branca. Túnica de gola alta, redonda, de cor preta, com 04 botões na frente e 03 medalhas presas no lado esquerdo. Na cabeça Um boné preto com faixa branca ao centro e aba preta. Ao fundo da moldura forro de papelão duro, cor marrom, onde estão fixados 02 prendedores e amarrados com cordão torcido de algodão, para sustentação do quadro. Inscrição: “Major Higino da Costa Nunes, Veterano da Guerra do Paraguai 1865-1870. Tomou parte na Retirada da Laguna com o 20º Batalhão de Infantaria de Goiás. Nascido em Sta. Maria de Taguatinga em 1830. Falecido em Goiás em 1909. Tronco de tradicional família goiana.”",Laura da Costa Nunes,10.1.03||83.119/030.298,Retrato||Retrato Major Higino da Costa Nunes
58,Brasil > Goiás,Construção > Fragmento de Construção||04 Construção > 04.4 Fragmento de Construção||Acervo Museológico||Religioso,Não identificado,1952||Século XVIII,"Peça em forma de pluma, base em folha de acanto.",Igreja de Nossa Senhora do Pilar de Ouro Fino,04.04.35||83.117/030.296,Florão||Florão
59,Brasil > Goiás,Interiores > Acessório de Interiores (Acessório de Leito)||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico,Não identificado,30/07/1983||Século XX,"Colcha de algodão, com estampa formando desenhos geométricos nas cores verde e branco.",Célia Maria Corsino,05.01.06||83.116/030.295,Colcha||Colcha
