,Assunto/ palavras-chave,Descrição,Formato,Identifier,Título
25,Reedições,"Reedição de uma das mais importantes obras já escritas sobre a arte brasileira. Sua edição original, de 1987, estava esgotada, tornando a publicação objeto de colecionadores. Esta antologia tem como ponto de partida uma pesquisa realizada de 1980 a 1981, com o objetivo de traçar um panorama da vanguarda abstrata geométrica e informal no Brasil, abrangendo desde seus primórdios, no pós-guerra, até 1963.","18 x 25,5 cm",,Abstracionismo geométrico e informal – a vanguarda brasileira nos anos cinqüenta
26,Prêmio Luso Brasileiro de Dramaturgia António José da Silva,"Prêmio criado para incentivar a escrita dramática em todos os seus gêneros - teatro para adultos, teatro para a infância e juventude, etc. - e o aparecimento de novos dramaturgos da língua portuguesa.||Texto vencedor do Prêmio Luso-Brasileiro de Dramaturgia António José da Silva. Com linguagem inovadora, a peça traz um elemento bizarro, que denuncia a exploração dos cortadores de cana-de-açúcar: uma cabeça que, mesmo depois de separada do corpo, fala ininterruptamente.",14 x 21cm,978-85-7507-145-8,Agro negócio
27,Prêmio Luso Brasileiro de Dramaturgia António José da Silva,"Prêmio criado para incentivar a escrita dramática em todos os seus gêneros - teatro para adultos, teatro para a infância e juventude, etc. - e o aparecimento de novos dramaturgos da língua portuguesa.||Texto vencedor do Prêmio Luso-Brasileiro de Dramaturgia António José da Silva. O protagonista da peça é Pedro 1, homem comum, que tem casa, família e trabalho, tudo normal, até que aos poucos surge um outro Pedro que aos poucos toma seu lugar e conduz sua vida de forma inusitada.",14 x 21cm,978-85-7507-148-9,Traição
28,Prêmio Luso Brasileiro de Dramaturgia António José da Silva,"Prêmio criado para incentivar a escrita dramática em todos os seus gêneros - teatro para adultos, teatro para a infância e juventude, etc. - e o aparecimento de novos dramaturgos da língua portuguesa.||Texto vencedor do Prêmio Luso-Brasileiro de Dramaturgia António José da Silva. Nesta obra, mulheres de gerações diferentes vivem o mesmo drama – diversos tipos de violência nas relações de par. Os parceiros, sempre homens do mar, têm seus destinos selados pelas mulheres que julgavam dominar.",14 x 21cm,978-85-7507-156-4,Nossa Senhora de Açoteia
29,Coleção Políticas para as Artes,"Coletâneas de artigos que fizeram parte da programação dos Encontros Funarte de Políticas para as Artes e refletem, de maneira geral, os debates realizados durante os eventos.||Coletânea de artigos que registra os momentos mais importantes da primeira edição do Encontro Funarte de Políticas Públicas, que reuniu gestores, produtores, autoridades e pesquisadores do segmento cultural para refletir sobre o papel das instituições públicas no desenvolvimento das linguagens artísticas.",14x21 cm,978-85-7507-150-2,Políticas públicas para as artes – prática e reflexão (vol. 1)
30,Coleção Políticas para as Artes,"Coletâneas de artigos que fizeram parte da programação dos Encontros Funarte de Políticas para as Artes e refletem, de maneira geral, os debates realizados durante os eventos.||Publicação que resultou dos debates do II Encontro Funarte de Políticas para as Artes com contribuições apresentadas por artistas, gestores, pesquisadores, agentes sociais, entre outros entes da área das artes e da cultura, incluindo um grande número de profissionais contemplados pelas ações da Funarte.",14x21 cm,978-85-7507-160-1,Políticas públicas para as artes – prática e reflexão (vol. 2)
31,Prêmio Bolsa Funarte de Criação Literária,"Publicações resultantes do edital que, numa ação conjunta da Funarte com a Biblioteca Nacional, tem por objetivo promover o desenvolvimento de projetos de criação de romances, contos, crônicas, novelas e poemas.||Contemplado com a Bolsa Funarte de Criação Literária. O personagem central é João Batista, coronel da reserva e ex-secretário de Estado que perde a filha, estuprada e morta violentamente. O desenrolar da instigante trama policial é narrado de forma lírica e inusitada.",14 x 21cm,978-85-7507-147-2,Catracas púrpuras
32,Prêmio Bolsa Funarte de Criação Literária,"Publicações resultantes do edital que, numa ação conjunta da Funarte com a Biblioteca Nacional, tem por objetivo promover o desenvolvimento de projetos de criação de romances, contos, crônicas, novelas e poemas.||Contemplado com a Bolsa Funarte de Criação Literária. Um escritor vai à análise para enfrentar seus escrúpulos em relação à escrita e tratar seus conflitos com a esposa. Cada parte da obra corresponde a uma voz da narrativa: citação, narrativa clássica, caso clínico, cinema, crítica literária e ensaio. O livro traz encartado um DVD com o documentário Herança.",14 x 21cm,978-85-7507-146-5,Documentário
33,Prêmio Bolsa Funarte de Criação Literária,"Publicações resultantes do edital que, numa ação conjunta da Funarte com a Biblioteca Nacional, tem por objetivo promover o desenvolvimento de projetos de criação de romances, contos, crônicas, novelas e poemas.||Contemplado com a Bolsa Funarte de Criação Literária. Seleção de poemas que explora as múltiplas facetas de palavras que se desdobram em vários significados. Os poemas são colocados em sequência alfabética, como em um dicionário de subjetividades.",14 x 21cm,978-85-7507-144-1,Sob a face neutra
34,Prêmio Bolsa Funarte de Criação Literária,"Publicações resultantes do edital que, numa ação conjunta da Funarte com a Biblioteca Nacional, tem por objetivo promover o desenvolvimento de projetos de criação de romances, contos, crônicas, novelas e poemas.||Contemplado com a Bolsa Funarte de Criação Literária. Ficção histórica sobre as origens da comédia teatral brasileira, a obra reconstitui a encenação da nossa primeira comédia escrita e encenada por brasileiros, O juiz de paz na roça, de Martins Pena, montada por João Caetano em 1838.",14 x 21cm,978-85-7507-143-4,Martins Pena e João Caetano: quando e teatro começou a ser brasileiro
35,Coleção Cadernos Técnicos de Fotografia,"Produzidos pelo Centro de Conservação e Preservação Fotográfica (CCPF) da Funarte, os Cadernos Técnicos são publicados com o objetivo de criar uma bibliografia básica, de leitura acessível, sobre o assunto.||Desde sua invenção, em meados do século XIX, a fotografia tem sido considerada um meio de expressão artística secundário; essa situação mudou no final do século XX. Hoje, ela representa uma parte importante da produção artística contemporânea. Este fato têm levado os artistas a procurar novos meios de apresentação e montagem. São essas técnicas e os materiais empregados para montar fotografias que são discutidos nos três artigos incluídos nesta nova edição dos Cadernos Técnicos de Conservação Fotográfica.",21x28 cm,978-85-7507-136-6,Práticas de montagem de fotografias contemporâneas – Caderno técnico – Volume 7
36,,"A história da Companhia de Revistas Walter Pinto — que reinou nos palcos cariocas nos anos 1940 e 50 com Virgínia Lane, Oscarito e outras estrelas — é recontada a partir do rico acervo fotográfico da Funarte sobre a empresa. A autora faz ainda uma análise comparativa com Eugénio Salvador, expoente do teatro de revista português.",18 x 26 cm,978-85-7507-141-0,Iconografia Teatral - acervos fotográficos de Walter Pinto e Eugénio Salvador
37,,"MPB – a história de um século	| ref.: ISBN: 978-85-7507-142-7
Ricardo Cravo Albin

Revista e ampliada, a reedição em quatro línguas revela as origens da MPB, os diferentes ritmos e gêneros e os compositores que marcaram cada fase da rica produção musical brasileira. Uma seleção de 400 imagens exibe os mais importantes intérpretes e compositores que ajudaram a consolidar a música brasileira e torná-la respeitada e apreciada no mundo inteiro.","22 x 28,5 cm",978-85-7507-142-7,MPB - a história de um século
38,,"Obra de referência que apresenta um panorama histórico sobre as principais casas de espetáculo da cidade e do estado do Rio de Janeiro e analisa as condições técnicas em que foram projetados e construídos. O livro traz também um extenso levantamento iconográfico formado por plantas, mapas, registros e fotografias.",21 x 28 cm,978-85-7507-149-6,Teatros do Rio - do século XVIII ao XX
39,,"Resultado das anotações feitas por Lucio Costa na viagem que fez do Minho ao Algarve em 1952, o livro traz croquis a lápis e anotações sobre a arquitetura portuguesa. No total, os registros resultaram em 305 folhas preenchendo 5 pequenos blocos. Perdidos por 50 anos, os bloquinhos foram recuperados após sua morte. Em 2011, José Pessôa refez o percurso de Lucio a Portugal e fotografou os locais anotados.",26x31 cm,,Bloquinhos de Portugal: a arquitetura portuguesa no traço de Lucio Costa
40,,Livro comemorativo dos 30 anos de existência do grupo de dança mineiro Primeiro Ato. Não se trata de um registro de toda a trajetória do grupo ou de estabelecer uma cronologia de acontecimentos ao longo desse tempo. Trata-se de uma celebração da convivência com a cena brasileira e de uma homenagem aos componentes que foram formando o grupo ao longo dos anos.,"18,5 x 24,5 cm",,Grupo Primeiro Ato - 30 anos de história
41,,"Esta obra retrata o percurso de Kalma Murtinho como figurinista do teatro brasileiro e suas criações ao longo de 60 anos. Além dos primorosos desenhos dos figurinos, o livro conta com o registro fotográfico de algumas peças e análises de duas grandes conhecedoras do teatro: Fernanda Montenegro e Barbara Heliodora.","21,5 x 28 cm",978-85-7507-158-8,"Kalma Murtinho, figurinos"
42,Teatro Seleto Chico de Assis,"A obra de Chico de Assis é um retrato contundente da cultura popular brasileira, em especial, da cultura nordestina e do cordel. Publicada em dois volumes, resgata grande parte de sua produção de textos teatrais caracterizados pela irreverência, humor e crítica social.",16 x 23 cm,978-85-7507-161-8,Teatro Seleto Chico de Assis – volume 1
43,Teatro Seleto Chico de Assis,"A obra de Chico de Assis é um retrato contundente da cultura popular brasileira, em especial, da cultura nordestina e do cordel. Publicada em dois volumes, resgata grande parte de sua produção de textos teatrais caracterizados pela irreverência, humor e crítica social.",16 x 23 cm,978-85-7507-162-5,Teatro Seleto Chico de Assis – volume 2
44,,"Biografia de Lamartine Babo, um dos mais importantes compositores brasileiros de todos os tempos, reeditada com acréscimos deixados pelo próprio autor, Suetônio Soares Valença, após a primeira edição. A vida e a obra do compositor têm como cenário o Rio de Janeiro das décadas de 1920 a 1960, quando Lamartine compôs as marchinhas carnavalescas que se tornaram repertório clássico do carnaval brasileiro.","18 x 26,5 cm",978-85-7507-159-5,Tra-la-lá: vida e obra de Lamartine Babo (3ª edição revista e ampliada)
45,,"Este livro revela o acervo descoberto pela pesquisadora contendo 71 cartas enviadas por João do Rio a João de Barros e Carlos Malheiro Dias, jornalistas e escritores portugueses que lutaram pela aproximação luso-brasileira no início do século XX, momento marcado por forte antilusitanismo. O lançamento foi inserido na programação do Ano Brasil-Portugal.","18x26,5 cm",978-85-7507-152-6,Cartas de João do Rio a João de Barros e Carlos Malheiro Dias
46,Lançamentos de 2016,"Luiz Carlos Ripper é considerado um dos grandes nomes da cenografia no Brasil. Cenógrafo, figurinista, diretor de arte e encenador teatral, Ripper rompeu com a cenografia de palco italiano predominante até os anos 1970, mesclando elementos das vanguardas artísticas da época — como o tropicalismo.  Sua contribuição para a cenografia reside no estabelecimento de novas relações entre palco-plateia, ator-personagem, além da busca por uma linguagem e uma identidade nacionais que se afastassem das influências europeias. Esta obra é resultado da pesquisa e recuperação do acervo pessoal de Ripper, empreendida pela pesquisadora Heloisa Lyra Bulcão.",21 x 21 cm,978-85-7507-171-7,Luiz Carlos Mendes Ripper: poesia e subversão
47,Lançamentos de 2016,"Diálogo em forma de relato que Sergio Britto fez ao sobrinho Paulo Brito, entre abril e maio de 2011. O ator Sergio Britto exercita sua memória, numa conversa com seu sobrinho Paulo Brito. O texto relembra momentos de vida do ator desde a adolescência, os estudos de medicina, a casa da família em Vila Isabel e resgata muitos momentos da memória do teatro brasileiro na medida em que menciona movimentos e grupos importantes das artes cênicas, além de artistas importantes como Fernanda Montenegro, Ítalo Rossi e Natália Timberg. As lembranças muitas vezes se confundem com sua luta pela vida, numa busca intensa para manter presente a lucidez e alguma esperança. Muitas vezes é o ator quem fala, trazendo todo o universo de suas personagens interpretadas. Em outras vezes é o homem, que busca por meio da reflexão um caminho, uma direção para o momento dramático em que se encontra. Sua derradeira obra criativa, como um ritual de despedida.Ator, diretor e produtor, Sergio Britto foi um dos fundadores do Teatro dos Sete nos anos 1950, participou ativamente de importantes realizações cênicas dos anos 1960 e 1970. Nos anos 1980, foi um dos sócios do Teatro dos Quatro e, nos 1990, realizou uma série de espetáculos musicados à frente do Teatro Delfim.",14 x 21 cm,978-85-7507-170-0,Memória a dois
48,Lançamentos de 2016,"Esta obra pretende rever o entendimento de Stanislávski no Brasil bem como atualizar atores e estudiosos brasileiros quanto aos estudos stanislavskianos na própria Rússia e no ocidente. A fonte primária é a ultima edição das obras completas em 9 volumes de Stanislávski, em russo. Para tanto parte-se de documentos originais para traçar a história da evolução do sistema de Stanislávski, desde seu início (1906) até a morte do diretor (1938). O objetivo é explicar e exemplificar as diversas fases do sistema, em suas facetas teóricas e práticas, bem como identificar suas raízes externas ao teatro – ioga, psicologia, etc. “A publicação de Stanislávskipreenche uma imensa lacuna na bibliografia do autor no Brasil, já que muitas de suas obras não foram vertidas diretamente do russo. A própria genealogia de seu Sistema dificulta o estabelecimento de um modelo fixo, uma vez que seus livros tiveram edições muito diferentes na Rússia e nos Estados Unidos.” (Ivam Cabral, Prefácio)
Esta edição, inédita em português, inclui recortes dos cadernos de anotações, registros dos ensaios, cartas, além de depoimentos e memórias dos atores, diretores, colegas e discípulos de Stanislávski. A partir da seleção e tradução desse material, o livro estrutura-se de maneira a possibilitar uma visão da formação e evolução histórica do sistema, bem como uma compreensão clara de cada um de seus estágios.",18 x 26 cm,978-85-7507-172-4,"Stanislávski: vida, obra e Sistema"
49,Lançamentos de 2016,"Este livro desenvolve uma análise de perspectiva historiográfica sobre o Teatrodo Estudante do Brasil – grupo criado por Paschoal Carlos Magno em 1938, noRio de Janeiro. A partir de fontes inéditas, oriundas em sua maioria do arquivo do seufundador, esta obra busca as razões que fundamentaram o surgimento e amanutenção do grupo, assim como os modos de produção dos seus espetáculos. Para a melhorcompreensão do significado do TEB no contexto do teatro brasileiro moderno, o amadorismoé investigado tendo em vista as transformações que se deram em seu interior, enquantoprática, a partir do final dos anos 1930. Como diz a autora, a “investigação sobre o Teatro do Estudante do Brasil foi realizada não só a partir daquilo que foi posto “em cena”, mas também levando em consideração os planos idealizados, mas não concretizados, em termos dos espetáculos, excursões e temporadas do grupo.”","18,6 x 26,6 cm",978-85-7507-174-8,O Teatro do Estudante do Brasil de Paschoal Carlos Magno
50,Lançamentos de 2016,"Esta obra parte do acervo pessoal de Paschoal Carlos Magno (Cedoc/Funarte), mas tem como foco principal o Teatro Duse, criado por ele para ser um espaço de atuação e experimentação teatral. O autor pesquisou questões de organização e objetivos do espaço, com destaque para a sua Escola de Arte Dramática. A obra analisa ainda os espetáculos que compunham o Festival do Autor Novo e o diálogo com a questão da dramaturgia nacional da época; representa um recorte importante da obra de Paschoal Carlos Magno e de sua forma de atuação no cenário teatral brasileiro da década de 1950.",16 x 23 cm,978-85-7507-173-1,Teatro Duse – O primeiro teatro-laboratório do Brasil
