,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
21,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.159,"Fotografia||Villa-Lobos, o soprano Nair Duarte e as pianistas Antonieta Rudge e Lucília Villa-Lobos em São Paulo"
22,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.154,"Fotografia||Villa-Lobos, o soprano Nair Duarte e as pianistas Antonieta Rudge e Lucília Villa-Lobos"
23,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.138,"Fotografia||Da dir. para esq.: Villa-Lobos, o soprano Nair Duarte e as pianistas Antonieta Rudge e Lucília Villa-Lobos"
24,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.100,"Fotografia||Villa-Lobos e Arminda chegam ao Aeroporto de Congonhas para a Semana Villa-Lobos, organizada pelo secretário de educação e cultura, Goffredo da Silva Telles Junior"
25,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.061,"Fotografia||Villa-Lobos e a soprano Magdalena Lébeis em concerto com a Orquestra Sinfônica Municipal de São Paulo, durante a Semana Villa-Lobos"
26,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.059,"Fotografia||Inauguração do Conservatório Villa-Lobos, durante a Semana Villa-Lobos"
27,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.055,"Fotografia||Inauguração do Conservatório Villa-Lobos, durante a Semana Villa-Lobos"
28,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.054,"Fotografia||Villa-Lobos e Arminda, na inauguração do Conservatório Villa-Lobos, durante a Semana Villa-Lobos, seguidos por Julieta Strutt, Otacilio Braga (de óculos e gravata de bolinhas) e outros não identificados"
29,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.023,"Fotografia||Concerto de Villa-Lobos com a Orquestra Sinfônica Municipal de São Paulo, tendo como solista a pianista Felicja Blumental interpretando a “Bachianas Brasileiras Nº 3”, no Teatro Cultura Artística"
30,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.012,"Fotografia||Villa-Lobos regendo, de costas, atrás do piano. [Palco do Theatro Municipal do Rio de Janeiro]"
31,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Manuscrito no verso: Tupinambá / “foto oferecida ao Orfeão com seu nome, da Escola Normal Heitor Lira, na Penha, RJ, em cujo auditório permanece ampliada (na época funcionava no prédio da Escola Conde de Agrolongo). Outra anotação manuscrita informa que a letra é de Irene Tupinambá e que a Escola Conde de Agrolongo fica na Penha.",2008.16.066,Fotografia||Lucília Guimarães Villa-Lobos
32,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com a dedicatória “A Conservatório Nacional de Canto Orfeônico com a mais profunda e sincera admiração. Violeta Coelho Netto de Freitas”.,2008.16.056,Fotografia||A cantora lírica Violeta Coelho Netto de Freitas diante de um microfone [cantando num estádio não identificado em concentração orfeônica]
33,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"A atribuição foi feita a partir da informação manuscrita no verso da foto 1983-16A-105 que informa “seu compadre Marcelo em frente à seu apartamento”. Essa informação é reforçada pela foto 1984-16A-070 onde aparecem Villa-Lobos, Arminda e, segundo informação manuscrita no verso da foto, “Marcelo Geden. Déc 50”.Colocando todas as fotos desta série juntas percebe-se a possibilidade de retratarem uma visita de Marcelo Geden, sua esposa e filho a Villa-Lobos e Arminda.Obs 2: No verso desta foto tem a informação manuscrita “por comparação parece que o menino é filho de Dora Vasconcellos”.Nota de pesquisa: Não é o filho de Dora Vasconcellos porque a foto é da década de 1950 e ele já teria mais idade que o menino da foto. Para confirmar que não é o filho de Dora Vasconcellos busquei na internet e encontrei no endereço http: //www.revistaphonoarte.com/pagina1.htm a seguinte informação: “José da Cruz Cordeiro Filho casou-se com Dora Alencar Vasconcellos, nascendo da união o único filho José Roberto Cordeiro, falecido aos 31 anos nos Estados Unidos, em 1969. A Embaixadora Dora Alencar Vasconcellos faleceu aos 62 anos, em 1973, como representante do Brasil junto à República de Trinidad-Tobago, sendo sepultada com honras de estado no Cemitério de São João Batista.”",2008.16.033,Fotografia||Arminda e [o filho de Marcelo Geden] próximo ao seu apartamento na Rua Araújo Porto Alegre
34,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.017,Fotografia||Concentração orfeônica nas escadarias da Câmara Municipal do Rio de Janeiro
35,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.015,Fotografia||Villa-Lobos regendo concentração orfeônica no Estádio do Vasco da Gama
36,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"No verso, encontra-se carimbado “Prefeitura do Distrito Federal - Secretaria Geral de Educação e Cultura - Departamento de Educação Nacionalista”.",2008.16.014,Fotografia||Estudantes uniformizados em concentração orfeônica nas escadarias da Câmara Municipal do Rio de Janeiro
37,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.009,"Fotografia||Villa-Lobos e Arminda na 1ª fila, Julieta Strutt na 2ª fila atrás de VL, Otávio Vieira Brandão, José Vieira Brandão e Otacílio Braga na última fila, entre outros não identificados"
38,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.165,Fotografia||Lucilia em roupa de praia - à esq. - e não identificados
39,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.164,"Fotografia||Rua Dídimo, 10 - térreo. Casa em que moraram, de 1919 a 1936, Villa-Lobos e Lucilia"
40,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.163,"Fotografia||Rua Dídimo, 10 - térreo. Casa em que moraram, de 1919 a 1936, Villa-Lobos e Lucilia"
41,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.006,Fotografia||Plateia do Theatro Municipal do Rio do Janeiro
42,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.041,"Fotografia||Villa-Lobos e a Orquestra Sinfônica Brasileira, no Palácio da Cultura"
43,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com a dedicatória manuscrita na frente: “Ao meu querido mestre e amigo Maestro Villa-Lobos homenagem de José Vierira Brandão. Rio 23-7-1955”.,1983.16.018,Fotografia||José Vieira Brandão ao piano
44,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Com a dedicatória: “Às meninas Sônia e Hilda Albuquerque. Lembrança grata de Villa-Lobos. Rio, 3/8/54”.",1983.16.016,Fotografia||Villa-Lobos de smoking
45,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com a dedicatória “À Arminda de Almeida. Guiomar Novaes Pinto. Rio. 1940”,1983.16.015,Fotografia||A pianista Guiomar Novaes
46,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.014,"Fotografia||Na residência de Villa-Lobos - medalhas, condecorações, batutas e cópia de mão em bronze"
47,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.009,Fotografia||Villa-Lobos e Arminda em sua residência
48,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"A atribuição foi feita a partir da informação manuscrita no verso da foto 1983-16A-105 que informa “seu compadre Marcelo em frente à seu apartamento”. Essa informação é reforçada pela foto 1984-16A-070 onde aparecem Villa-Lobos, Arminda e, segundo informação manuscrita no verso da foto, “Marcelo Geden. Déc 50”. Colocando todas as fotos desta série juntas percebe-se a possibilidade de retratarem uma visita de Marcelo Geden, sua esposa e filho a Villa-Lobos e Arminda.",1982.16.274,Fotografia||Villa-Lobos em sua residência com [o filho de Marcelo Geden]
49,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.213,Fotografia||Villa-Lobos e Arminda com [Marcelo Geden e seu filho].
50,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.212,Fotografia||Villa-Lobos e Arminda com [Marcelo Geden e seu filho].
51,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"A atribuição foi feita a partir da informação manuscrita no verso da foto 1983-16A-105 que informa “seu compadre Marcelo em frente à seu apartamento”. Essa informação é reforçada pela foto 1984-16A-070 onde aparecem Villa-Lobos, Arminda e, segundo informação manuscrita no verso da foto, “Marcelo Geden. Déc 50”. Colocando todas as fotos desta série juntas percebe-se a possibilidade de retratarem uma visita de Marcelo Geden, sua esposa e filho a Villa-Lobos e Arminda. O local é próximo à residência do compositor, conforme informação da foto 1983-16A-105.",1982.16.210,Fotografia||Villa-Lobos e Arminda com [a esposa de Marcelo Geden e o filho destes]
52,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1980.16.047,Fotografia||Concentração cívica na Rua do Russel
53,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1980.16.046,Fotografia||Concentração cívica na Rua do Russel
54,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1977.16.023,Fotografia||Villa-Lobos assistindo à evolução do bloco carnavalesco Sôdade do Cordão
55,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Da esq. para dir., sentados: José Vieira Brandão (1º), Orlando Frederico (2º), Villa-Lobos (4º), Arminda (5ª), Sylvio Salema (6º). De pé: Mário Braz da Cunha (Mário Gravador) (2º), Gazzi de Sá (6º) e João Pernambuco (8º).",1977.16.019,Fotografia||Villa-Lobos e Arminda e funcionários da SEMA - Superintendência de Educação Musical e Artística
56,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"No verso, manuscrito “Porto Alegre, 1962”.",2004.16.119,Fotografia||Lucília Guimarães Villa-Lobos
57,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.281,"Fotografia||Villa-Lobos e Arminda com o diretor secretário da Orquestra Sinfônica de Porto Alegre, [Dr. Francisco Machado Villa]"
58,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.268,"Fotografia||Villa-Lobos e Arminda no aeroporto de Porto Alegre, sendo recebidos por Moyses Velhinho [presidente] da Orquestra Sinfônica de Porto Alegre, e por outras autoridades, além de antigos alunos do Conservatório Nacional de Canto Orfeônico - CNCO"
59,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1995.16.001,"Fotografia||Mieczyslaw Horoszowski, pianista polonês"
60,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.008,"Fotografia||José Vieira Brandão (3º) e Villa-Lobos (4º) com os músicos do Quarteto de Cordas Municipal de São Paulo: Gino Alfonsi - primeiro violino (1º), Johannes Oelsner - viola (2º), Alexandre Schaffman - segundo violino (5º), Calixto Corazza - violoncelo (6º)"
61,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"No verso, manuscrito “Turma de formandos do CNCO entre 1944 e 48, com o maestro V.L. Arminda e eu. Entre os alunos Helena Abud (mais tarde Lorenzo Fernandez) (atrás de Arminda), Laís Vasseur ao lado de Maria [Praga] e Elvira Sarmento”. O “eu” trata-se de José Vieira Brandão, pianista, colaborador e amigo de Villa-Lobos.",2008.16.007,"Fotografia||Turma de formandos do Conservatório Nacional de Canto Orfeônico (CNCO) entre 1944 e 48, com Villa-Lobos, Arminda e José Vieira Brandão"
62,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,".Obs 1: a informação de que é Villa-Lobos regendo não procede. Ver Livro de recortes nº LR06.078.1.e.00, o periódico “A Nação” de 17-11-1936, onde é veiculada a notícia “Canto Orpheonico em Sergipe”, que é ilustrada com esta foto.",2008.16.005,"Fotografia||Concentração Orfeônica em Sergipe, em comemoração pelo “Dia da Pátria”"
63,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.013,Fotografia||Villa-Lobos regendo concentração orfeônica em local não identificado
64,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.010,Fotografia||Estudantes uniformizadas cantando em concentração orfeônica
65,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.147,"Fotografia||Da dir. para esq.: Pery Machado - violinista, Orlando Frederico - viola, Nascimento Filho - barítono, Fructuoso Lima Viana - pianista, Newton Pádua - violoncelista, Mário Ronchini - violinista, e Villa-Lobos"
66,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"No verso, encontra-se carimbado “Pavilhão do Brasil. Bruxelles expo 58” e “World copyright by foto F. Florian”",1983.16.032,"Fotografia||Villa-Lobos, com Arminda, numa entrevista a Hermenegildo Cavalcante antes de seu concerto na Exposição de Bruxelas"
67,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.206,"Fotografia||Villa-Lobos regendo o “Concerto Nº 5 para Piano e Orquestra” com Felicja Blumental e a Orquestra Sinfônica de Viena (Wiener Symphoniker), na Grosse Musikvereinssaal"
68,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"A foto está assinada pelos presentes, entre eles Oscar Borgerth, Arnaldo Estrella, Iberê Gomes Grosso, José Vieira Brandão, Ruth Valadares Corrêa, Olga Praguer Coelho. Na moldura da foto está impresso “Restaurant ‘LA EMILIANA’ 1431 - Corrientes - 1439”.",2008.16.052,"Fotografia||Villa-Lobos e Arminda, entre outros, no restaurante “La Emiliana”"
69,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Com a dedicatória “A Villa-Lobos, o sempre amigo. Lembrança de . 12-11-1940”.",1983.16.045,Fotografia||Arminda
70,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.026,"Fotografia||Bidú Sayão entre o ator Procópio Ferreira, de gravata borboleta, e o tenor Tito Schippa"
71,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.024,Fotografia||Graf Zeppelin no hangar
72,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.013,Fotografia||Grupo não identificado.
73,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.011,Fotografia||Villa-Lobos
74,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.006,Fotografia||Villa-Lobos sentado em poltrona
75,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.005,Fotografia||Villa-Lobos e Arminda com não identificados
76,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.003,"Fotografia||Jocy de Oliveira, pianista e compositora, e não identificados"
77,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.002,"Fotografia||Maestro Eleazar de Carvalho, compositora e pianista Jocy de Oliveira e não identificado"
78,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2009.16.001,"Fotografia||Maestro Eleazar de Carvalho, compositora e pianista Jocy de Oliveira e não identificado"
79,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.071,Fotografia||Villa-Lobos e Sonia Maria Strutt
80,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.054,Fotografia||Instrumentos de percussão usados nas obras de Villa-Lobos
81,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.050,Fotografia||Villa-Lobos e não identificados
82,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com dedicatória “Al maestro VillaLobos recuerdo de um reportage a su llegada. M. de Castro”.,2008.16.042,Fotografia||Villa-Lobos e o repórter M. de Castro
83,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.038,"Fotografia||Villa-Lobos junto a uma mesa, gesticulando"
84,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.031,Fotografia||Sala de aula do Instituto de Educação
85,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Com a dedicatória “Aos queridos tios, Mindinha e Maestro lembrança do meu 10º aniversário. Júlio Cesar”.",2008.16.028,"Fotografia||Júlio Cesar, sobrinho de Arminda"
86,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.016,Fotografia||Villa-Lobos regendo concentração orfeônica nas escadarias da Câmara Municipal do Rio de Janeiro
87,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2008.16.011,"Fotografia||Ohio Day Festival - encontro da Conferência Nacional de Educadores Musicais (MENC, na sigla em inglês)"
88,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2007.16.001,Fotografia||Heitor Villa-Lobos
89,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.167,Fotografia||Heitor Villa-Lobos
90,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.162,"Fotografia||Da dir. para esq.: Luiz, Dinorah e Oldemar irmãos de Lucilia"
91,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1987.16.063,Fotografia||Arminda e não identificados
92,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1987.16.061,Fotografia||Villa-Lobos fumando charuto ao lado do violonista Andrés Segóvia
93,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1982.16.263,Fotografia||Reprodução de jornal ou revista da época retratando concentração orfeônica
94,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1980.16.179,Fotografia||Foto Impressa de Villa-Lobos
95,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Existe dúvida se é Nancy Quan, esposa do Dr. Stuart Quan - médico de Villa-Lobos - ou Paloma, esposa de Milne Charnley pianista acompanhador de Bidú Sayão.",1977.16.228,"Fotografia||Villa-Lobos, Arminda e Sonia Maria Strutt, com o casal Nancy e Dr. Stuart Quan médico de Villa-Lobos"
96,Venezuela > Caracas,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.047,Fotografia||Villa-Lobos e Arminda por ocasião da homenagem prestada ao maestro pelo Conselho Municipal de Caracas
97,Venezuela > Caracas,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.021,Fotografia||Villa-Lobos e Arminda por ocasião da homenagem prestada ao compositor pelo Conselho Municipal de Caracas. Villa-Lobos diante do Livro de Ouro
98,Suécia > Estocolmo,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,1983.16.024,Fotografia||Villa-Lobos e Arminda na legação do Brasil em Estocolmo
99,Portugal > Lisboa,10 Comunicação > 10.1 Documento,Não identificado,s. d.,A foto é bipartida e mostra o grupo e uma propaganda do restaurante em Lisboa.,2009.16.023,"Fotografia||Arminda, entre não identificados, em almoço ou jantar. A foto é bipartida e mostra o grupo e uma propaganda do restaurante em Lisboa"
100,EUA > Nova York,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Existem duas cópias e nas duas tem informações manuscritas (provavelmente por Arminda) indicando que a foto foi tomada após a cirurgia a que Villa-Lobos se submenteu no Memorial Hospital de Nova York, em 1950. Em uma delas indica que o local da foto é o New Weston Hotel.",1982.16.176,Fotografia||Villa-Lobos descansando sobre poltrona com charuto e diante de partitura
101,EUA,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.003,"Fotografia||Folha de contato. Villa-Lobos regendo ou ensaiando orquestra, conversando Arminda e com não identificados"
102,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com a dedicatória “Ao querido Luiz e família lembrança da Dinorah”.,2004.16.161,"Fotografia||Dinorah, irmã de Lucilia"
103,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.158,Fotografia||Lucilia e um menino não identificado
104,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.157,Fotografia||[Lais e... filhos de Luiz]
105,Brasil > Rio de Janeiro,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.156,Fotografia||Lais no colo de Lucilia
106,Brasil,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.121,Fotografia||Lucília Guimarães Villa-Lobos
107,Brasil,10 Comunicação > 10.1 Documento,Não identificado,outubro de 1970,"Da dir. para esq.: Oldemar Guimarães - irmão (1º), Lourdes - esposa de Oldemar (2ª), Luiz Guimarães - irmão (3º), Yacyra - esposa de Luiz (4ª), Álvaro - irmão (7º).",2004.16.104,Fotografia||Família de Lucília Guimarães Villa-Lobos
108,,10 Comunicação > 10.1 Documento,Não identificado,Setembro de 1948,"No verso da foto, datilografado “... Miss Balloon played at the premiere performances of Mr. Villa-Lobos’s First Piano Concerto in Canada, the United States and Brazil.” Obs 2: Villa-Lobos dedicou um de seus concertos de piano a Ellen Ballon.",1980.16.057,"Fotografia||Na fazenda da pianista canadense Ellen Ballon, ao centro, Arminda e Villa-Lobos após a cirurgia no Memorial Hospital"
109,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.083,Fotografia||Cópia reprográfica (Xerox) da fachada do Hotel Bedford com anotação manuscrita “Hotel onde nos hospedamos em Paris (apartamento onde se hospedou o Imperador Pedro II (no exílio)”
110,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.191,"Fotografia||Arminda entre não identificados, em uma plateia"
111,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.176,"Fotografia||Josette Hébert Coëffin, gravadora francesa que criou a medalha comemorativa dos 50 anos de vida profissional de Villa-Lobos"
112,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.147,"Fotografia||Villa-Lobos e Arminda embarcando em um avião da Panair do Brasil, no aeroporto de Paris"
113,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.117,"Fotografia||Villa-Lobos com pianista [talvez Yara Bernetti] e orquestra não identificadas, na Sala Gaveau"
114,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"No verso, manuscrita a informação “Ce jandin était à l´emplacement de La salle à manger actuelle”. Nota: Villa-Lobos se hospedava no Hotel Bedford quando ficava em Paris.",2002.16.014,Fotografia||Hotel Bedford - desenho de uma varanda
115,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,"Na vitrine, em close, partituras, discos e livros de Villa-Lobos.",1995.16.028,"Fotografia||Fachada da Éditions Max-Eschig, esquina da Rue de Madrid com Rue de Rome"
116,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.042,"Fotografia||Postal de loja de departamento, Stockmann´s Stores"
117,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2003.16.095,"Fotografia||Villa-Lobos, o empresário Henri Leiser e não identificados, em recepção no Hotel Waldorf Astoria"
118,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.092,Fotografia||Reprodução fotográfica de desenho do rosto de Villa-Lobos
119,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2002.16.073,"Fotografia||Arminda, seus sobrinhos Lya Almeida e Castro, Julio Cesar de Almeida Dutra e não identificado, na Praça Barão de Campo Belo"
120,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.139,Fotografia||Lucília Villa-Lobos à frente do coral
121,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Com a dedicatória “A D. Noemia [Noêmia] uma pequena recordação de grande amizade do Luiz”.,2004.16.137,"Fotografia||Luiz Guimarães, irmão de Lucilia, na formatura de medicina"
122,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,Provavelmente no Conservatório Nacional de Canto Orfeônico - CNCO. Ao fundo dá para ver partes de dois Quadros de Formandos do CNCO.,2004.16.092,"Fotografia||Da esq. para dir. sentados: Brasílio Itiberê (2º), Iberê Gomes Grosso (4º), Andrade Muricy (5º), Lorenzo Fernades (6º), Julieta Strutt (7ª), Villa-Lobos (8º), Arminda (9ª), José Vieira Brandão (10º). De pé: Otávio Vieira Brandão (1º), Octacílio Braga (2º)"
123,,10 Comunicação > 10.1 Documento,Não identificado,s. d.,,2004.16.071,"Fotografia||Arminda [discursando], de pé, atrás da mesa de trabalho, na 1ª sede do Museu Villa-Lobos, na Rua da Imprensa nº16 - 9º andar do antigo Palácio da Cultura/Palácio Gustavo Capanema (então sede do MEC)"
