,Descrição
33,"A Ritxòkò - Expressão Artística e Cosmológica do Povo Karajá foi inscrita no Livro de Registro das Formas de Expressão, em 2012, e é uma referência cultural significativa para o povo Karajá e representam, muitas vezes, a única ou a mais importante fonte de renda das famílias. Atualmente, a confecção dessas figuras de cerâmica, denominadas na língua nativa de ritxòkò (na ala feminina) e/ou ritxòò (na ala masculina), é uma atividade exclusiva das mulheres e envolve técnicas e modos de fazer considerados tradicionais e transmitidos de geração em geração., , A pintura e a decoração das cerâmicas estão associadasà pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais. Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas, que identificam então “o Karajá” homem ou mulher, solteiro ou casado, com todos os atributos que a culturacria para distinguir convencionalmente essas categorias., O processo (criativo) de produção das Ritxòkò ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinado por uma série de fatores, como a experiência, a habilidade técnica e a preferência estética da ceramista pela combinação dos motivos temáticos e dos diversos padrões de grafismo aplicados, a função do objeto, o acesso às matérias-primas,entre outros aspectos., , , \r\n, \r\n, \r\n, \r\n,||Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais.||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá||A confecção das bonecas é uma atividade exclusiva das mulheres e envolve técnicas e modos de fazer considerados tradicionais e transmitidos de geração em geração.||O processo (criativo) de produção das ritxòkò  ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinados||Mais do que objetos meramente lúdicos, as ritxòkò são consideradas representações culturais que comportam significados sociais profundos||uma série de fatores, como a experiência, a habilidade técnica e a preferência estética da ceramista influenciam na produção||A cinza funciona como antiplástico no processo de confecção||A argila ou o barro - suù é a matéria-prima principal no processo de confecção||O modo de fazer ritxòkò consiste, basicamente, nas seguintes etapas: extração do barro; preparação do barro; modelagem das figuras; queima e pintura||A Ritxòkò - Expressão Artística e Cosmológica do Povo Karajá foi inscrita no Livro de Registro das Formas de Expressão, em 2012||Com motivos mitológicos, de rituais, as bonecas Karajá são importantes instrumentos de socialização das crianças que se vêem nesses objetos e aprendem a ser Karajá||O processo criativo de produção das ritxòkò ocorre por meio de um jogo de elaboração e variação de formas e conteúdos determinado por uma série de fatores||A pintura e a decoração das cerâmicas  estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá||Vale a experiência, a habilidade técnica e a preferência estética da ceramista para a combinação||A decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário||Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas||A pintura e a decoração das cerâmicas estão associadas, respectivamente, à pintura corporal dos Karajá e às peças de vestuário e adorno consideradas tradicionais||A produção das ritxòkò ocorre na elaboração de formas e conteúdos determinado por uma série de fatores, como a experiência, a habilidade técnica e a preferência estética||Indicativos de categorias de gênero, idade e estatuto social, a pintura e os adereços complementam a representação figurativa das bonecas||Ritxókó - as bonecas Karajá||A confecção de bonecas traduz o modo de ser do grupo, sua aparência, seus sentimentos, sua tradição||Atualmente, a confecção das figuras de cerâmica, denominadas na língua nativa de ritxòkò (na ala feminina) e/ou ritxòò (na ala masculina)||Por representarem cenas do cotidiano e dos ciclos rituais, elas portam e articulam sistemas de significação da cultura Karajá"
34,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
35,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
36,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
37,", O Teatro de Bonecos Popular do Nordeste- inscrito no Livro de Formas de Expressão, em março de 2015 - teve seu pedido de inclusão solicitado pela Associação Brasileira de Teatro de Bonecos (ABTB), o que mostra a tendência de uma apropriação da sociedade sobre suas manifestações. Os estados de Pernambuco, Paraíba, Ceará e Rio Grande do Norte, além do Distrito Federal, compõem a área de abrangência dessa manifestação cultural. Para o Iphan, esse bem imaterial não é um brinquedo ou um traço do folclore, e envolve, sobretudo, a produção de conhecimento criativo, artístico e com uma forte carga de representação teatral., O registro como Patrimônio Cultural Imaterial justifica-se devido àoriginalidade e tradição dessa expressão cênica, repassadas de mestre para discípulo, de pai para filho, de geração para geração. Uma tradição que revela uma das facetas da cultura brasileira, onde brincantes, por meio da arte dos bonecos, encenam histórias apreendidas na tradição que falam de relações sociais estabelecidas em um dado período da sociedade nordestina e de histórias que continuam revelando seu cotidiano, através dos novos enredos, personagens, música, linguagem verbal, das cores e da alegria que são inerentes ao seu contexto social., \r\n, Esse bem culturalimaterial é uma tradicional brincadeira, com origens no hibridismo cultural, durante o período de colonização do Brasil. Assim, pela representatividade que possui, é uma expressão teatral genuína da cultura brasileira e muito peculiar do Nordeste, rica da genialidade de seus criadores e da empatia que estabelece com seu público. A troca intensa possibilitou uma diversidade de temáticas: religiosa, profana ou de costumes populares., E, apesar desse bem ser amplamente conhecido como mamulengo, em cada contexto se desenvolveu de forma diferenciada e possui diversas denominações: Cassimiro Coco, no Maranhão e Ceará; João Redondo, no Rio Grande do Norte; Babau, na Paraíba; e Mamulengo, em Pernambuco. Carrega elementos fundamentais para a identidade e memória de seus praticantes e ainda desempenha um papel agregador que legitima as práticas cotidianas nesses locais., Visto comoreferência cultural que vem se atualizando, ao longo do tempo, enquanto permanecem as relações de tradição, pertencimento e coletividade no universo cultural na qual se desenvolve. A brincadeira é iniciada com a montagem da empanada, uma espécie de barraca. Emseguida, os brincantes se colocam na parte de trás e o espetáculo tem iníciocom os bonecos em cena e a introdução de um texto poético, a loa. Além da narrativa, a peça contém elementos surpresas, muitas vezes sugeridos pelo mestre bonequeiro. Normalmente, as sugestões ocorrem a partir de conhecimento prévio sobre o público., , , \r\n, \r\nCertidão, \r\n||Teatro de bonecos Recife"
38,"A Literatura de Cordel é um gênero literário, veículo de comunicação, ofício e meio de sobrevivência para inúmeros cidadãos brasileiros.||Literatura de Cordel||Literatura de Cordel||Entre versos, rimas e cantoria, a Literatura de Cordel é uma expressão cultural popular que abrange não apenas as letras, mas também a música e a ilustração.||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel"
39,", É uma expressão musical, coreográfica, poética e festiva das mais importantes e significativas da cultura brasileira. Exerceu influência no samba carioca e, até hoje, é uma das referências do samba nacional. O Samba de Roda no Recôncavo Baiano foi inscrito do Livro de Registro das Formas de Expressão, em 2004. Está presente em todo o Estado da Bahia e é especialmente forte e mais conhecido na região do Recôncavo, a faixa de terra que se estende em torno da Baía de Todos os Santos. Em 2005, a Unesco reconheceu esse bem imaterial como Patrimônio Cutural Imaterial da Humanidade, o que motivou o Centro Cultural Cartola a analisar os variados estilos de samba no Rio de Janeiro, originários dasreuniões musicais em casa de Tia Ciata, no Estácio, nas escolas de samba, blocos,morros, ruas equintais., \r\n, Seus primeiros registros, com esse nome e com muitas características que ainda hoje o identificam, datam dos anos 1860. Atualmente, reúne as tradições culturais transmitidas por africanos escravizados e seus descendentes, que incluem o culto aos orixás e caboclos, o jogo da capoeira e a chamada comida de azeite. A herança negro-africana no samba de roda se mesclou de maneira singular a traços culturais trazidos pelos portugueses (principalmente viola e pandeiro) e à própria língua portuguesa nos elementos de suas formas poéticas.Pode ser realizado em associação com o calendário festivo – caso das festas da Boa Morte, em Cachoeira, em agosto, de São Cosme e Damião, em setembro, e de sambas ao final de rituais para caboclos em terreiros de candomblé. Mas ele pode também ser realizado em qualquer momento, como uma diversão coletiva, pelo prazer de sambar., O samba de roda é uma das joias da cultura brasileira, por suas qualidades intrínsecas de beleza, perfeição técnica, humor e poesia, e pelo papel proeminente que vem desempenhando nas próprias definições da identidade nacional.Além das práticas musicais identificadas pelo termo samba, como o samba de roda do Recôncavo e o samba rural paulista, no panorama musical brasileiro o samba no Rio de Janeiro se destaca por ser um fenômeno cultural pujante que atravessou o século XX, passando de alvo de discriminação e perseguição nas primeiras décadas a ritmo identificado com a própria nação, a ponto de ser um de seus símbolos., Essa passagem gradual de gênero perseguido a símbolo nacional foi, em parte, uma contingência relacionada ao fato de, nos anos 1930 e 1940, ser o Rio a capital do País, possibilitando o encontro entre as elites do samba, como Donga e João da Baiana, e as elites intelectuais que orientavam as políticas culturais do Estado, como Villa-Lobos e Mário de Andrade. Observa-se que a atuação dos próprios sambistas no sentido da aceitação e do reconhecimento do gênero pelo establishment foi de importância decisiva.Os processos de “oficialização” ou “nacionalização” do samba descritos por estudiosos como Hermano Vianna e Cláudia Matos não conseguiram calar as formas genuínas praticadas no Rio de Janeiro., , , \r\n, \r\n, \r\n, \r\n, \r\n,||Está presente em todo o estado da Bahia e é especialmente forte e mais conhecido na região do Recôncavo||Atualmente, reúne as tradições culturais transmitidas por africanos escravizados e seus descendentes||A herança negro-africana no samba de roda se mesclou de maneira singular a traços culturais trazidos pelos portugueses - principalmente viola e pandeiro||O Samba de Roda é uma das joias da cultura brasileira, por suas qualidades intrínsecas de beleza, perfeição técnica, humor e poesia||Samba de Roda||Samba de Roda||Incluem o culto aos orixás e caboclos, o jogo da capoeira e a chamada comida de azeite||O Samba de Roda do Recôncavo Baiano é uma expressão musical, coreográfica, poética e festiva, que influenciou o samba carioca.||Reconhecido como Patrimônio Cutural Imaterial da Humanidade, o Samba de roda motivou a análise dos vários estilos de samba||Samba de Roda||O Samba de Roda passou de alvo de discriminação e perseguição nas primeiras décadas a ritmo identificado com a própria nação, a ponto de ser um de seus símbolos||Os primeiros registros do Samba de Roda do Recôncavo Baiano datam dos anos 1860, com o culto aos orixás e caboclos.||O Samba de Roda é uma expressão muito forte nas comunidades de periferia no Recôncavo Baiano e ajuda a formar o espírito identitário popular"
40,", Este bem cultural de natureza imaterial, inscrito no Livro dos Saberes em 2005, é uma prática tradicional de produção e venda, em tabuleiro, das chamadas comidas de baiana, feitas com azeite de dendê e ligadas ao culto dos orixás, amplamente disseminadas na cidade de Salvador, Bahia. Dentre as comidas de baiana destaca-se o acarajé, bolinho de feijão fradinho preparado de maneira artesanal, na qual o feijão é moído em um pilão de pedra (pedra de acarajé), temperado e posteriormente frito no azeite de dendê fervente. Sua receita tem origens no Golfo do Benim, na África Ocidental, tendo sido trazida para o Brasil com a vinda de escravos dessa região., O processo de instrução de ambos os bens culturais foi conduzido pelo Centro Nacional de Folclore e Cultura Popular (CNFCP), no âmbito do Projeto Celebrações e Saberes da Cultura Popular, proporcionado pelo PNPI. Este foi um projeto piloto desenvolvido pelo CNFCP para experimentar os instrumentos então criados para a salvaguarda do patrimônio imaterial; a saber: INRC e registro. No âmbito deste projeto foram desenvolvidos 14 inventários, conduzidos três registros. Tanto a instrução para o registro do ofício de baiana de acarajé como o dos saberes associados à viola de cocho foram integrados com projetos do CNFCP de apoio à produção de artesanato tradicional., A atividade de produção e comércio é predominantemente feminina, e encontra-se nos espaços públicos de Salvador, principalmente praças, ruas, feiras da cidade e orla marítima, como também nas festas de largo e outras celebrações que marcam a cultura da cidade. A indumentária das baianas, característica dos ritos do candomblé, constitui também um forte elemento de identificação desse ofício, sendo composta por turbantes, panos e colares de conta que simbolizam a intenção religiosa das baianas., Os aspectos referentes ao Ofício das Baianas de Acarajé e sua ritualização compreendem: o modo de fazer as comidas de baianas, com distinções referentes à oferta religiosa ou à venda informal em logradouros soteropolitanos; os elementos associados à venda como a indumentária própria da baiana, a preparação do tabuleiro e dos locais onde se instalam; os significados atribuídos pelas baianas ao seu ofício e os sentidos atribuídos pela sociedade local e nacional a esse elemento simbólico constituinte da identidade baiana., ,||A baiana de acarajé é um dos símbolos da ancestralidade africana na culinária brasileira."
41,", A Roda de Capoeira - inscrita no Livro de Registro das Formas de Expressão, em 2008 - é um elemento estruturante de umamanifestação cultural, espaço e tempo, onde se expressam simultaneamente o canto, o toque dos instrumentos, a dança, os golpes, o jogo, a brincadeira, os símbolos e rituais de herança africana - notadamente banto - recriados no Brasil. Profundamente ritualizada, a roda de capoeira congrega cantigas e movimentos que expressam uma visão de mundo, uma hierarquia e um código de ética que são compartilhados pelo grupo. Na roda de capoeira se batizam os iniciantes, se formam e se consagram os grandes mestres, se transmitem e se reiteram práticas e valores afro-brasileiros., O registro da Roda de Capoeira e Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia,Pernambuco e Rio de Janeiro. A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”., O conhecimento produzidoparainstrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno.,  9ª Sessão do Comitê Intergovernamental para a Salvaguarda aprovou, em novembro de 2014, em Paris, a Roda de Capoeira, um dos símbolos do Brasil mais reconhecidos internacionalmente, como Patrimônio Cultural Imaterial da Humanidade. O reconhecimento da Roda de Capoeira, pela Unesco, é uma conquista muito importante para a cultura brasileira e expressa a história de resistência negra no Brasil, durante e após a escravidão.Originada no século XVII, em pleno período escravista, desenvolveu-se como forma de sociabilidade e solidariedade entre os africanos escravizados, estratégia para lidarem com o controle e a violência. Hoje, é um dos maiores símbolos da identidade brasileira e está presente em todo território nacional, além de praticada em mais de 160 países, em todos os continentes.,||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Aprendizado da capoeira, registrado pelo fotógrafo português Christiano Junior, no século XIX||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||Roda de capoeira com o Mestre José Carlos, em Santa Tereza no Rio de Janeiro||As mãos do Mestre Curió tocando o berimbau, na Bahia"
42,"\r\n, O Ofício dos Mestres de Capoeira, inscrito no Livro de Registro dos Saberes, em 2008. é exercido por aqueles detentores dos conhecimentos tradicionais dessa manifestação e responsáveis pela transmissão de suas práticas, rituais e herança cultural. O saber da capoeira é transmitido de modo oral e gestual, de forma participativa e interativa, nas rodas, nas ruas e nas academias, assim como nas relações de sociabilidade e familiaridade construídas entre mestres e aprendizes. A capoeira é largamente difundida no Brasil e no mundo, a capoeira depende da manutenção da cadeia de transmissão desses mestres para sua continuidade como manifestação cultural., A capoeira é uma manifestação cultural presente hoje em todo o território brasileiro e em mais de 150 países, com variações regionais e locais criadas a partir de suas “modalidades” mais conhecidas: as chamadas “capoeira angola” e “capoeira regional”. O conhecimento produzido para a instrução do processo permitiu identificar os principais aspectos que constituem a capoeira como prática cultural desenvolvida no Brasil: o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Esse ofício é exercido por aqueles detentores dos conhecimentos tradicionais desta manifestação e responsáveis pela transmissão oral das suas práticas, rituais e herança cultural. O registro do Ofício dos Mestres de Capoeira tem amplitude nacional e foi realizado com base nas pesquisas desenvolvidas, durante a fase de inventário, nos estados da Bahia, de Pernambuco e do Rio de Janeiro. Os principais aspectos da capoeira como prática cultural desenvolvida no Brasil são o saber transmitido pelos mestres formados na tradição da capoeira e como tal reconhecidos por seus pares; e a roda onde a capoeira reúne todos os seus elementos e se realiza de modo pleno., Foram, também, os mestres brasileiros os responsáveis por articular aspectos culturais a uma manifestação que poderia ficar restrita à face marcial, mas que, ao contrário, é reconhecida por sua riqueza musical e gestual, o que a aproxima também de uma dança especial, reminiscência de jogos de combate de sociedades tradicionais. A roda de capoeira é a forma de expressão que permitiu o aprendizado e a expansão do jogo. Nela se encenam golpes e movimentos acrobáticos, cânticos antigos são reatualizados e outros são inventados, acompanhados por uma orquestra de instrumentos que produz uma sonoridade múltipla e, ao mesmo tempo, característica da arte., , , \r\n, \r\n, \r\n, \r\n||TT"
43,", É uma celebração tradicional que ocorre desde o século XVIII. Sua origem remonta à Idade Média, na Península Ibérica e na devoção ao Senhor Bom Jesus ou Cristo Crucificado. Integra o calendário litúrgico e o ciclo de Festas de Largo de Salvador e é realizada anualmente, sem interrupção, desde 1745. A Festa do Senhor Bom Jesus do Bonfim - inscrita no Livro de Registro das Celebrações. em 2013 - articula duas matrizes religiosas distintas, a católica e a afrobrasileira, e incorpora diversas expressões da cultura e da vida social soteropolitana. Está profundamente enraizada no cotidiano dos habitantes de Salvador, e possui grande poder de mobilização social., Durante o mês de janeiro, a celebração reúne ritos e representações religiosas, além de manifestações profanas e de conteúdo cultural. Inicia-se um dia após a Epifania, ou o Dia dos Santos Reis, que conclui o ciclo natalino, e encerra-se no segundo domingo depois da Epifania – o Dia do Senhor do Bonfim. É dividida em diferentes momentos marcantes de sua constituição: as novenas, o cortejo, a Lavagem das escadarias e do adro da Igreja de Nosso Senhor do Bonfim, os Ternos de Reis e a Missa Campal., As novenas iniciam-se um dia após o Dia de Reis e terminam no sábado, véspera do Dia do Senhor do Bonfim, sendo um elemento litúrgico presente em largo período da Festa. O cortejo é um percurso de oito quilômetros que se forma na Igreja de Nossa Senhora da Conceição da Praia, na Cidade Baixa e culmina com a Lavagem das escadarias e do adro da igreja, que ocorre na quinta-feira anterior ao Domingo do Senhor do Bonfim. A Lavagem é realizada por baianas e filhas de santo como missão familiar e religiosa. Portando suas “quartinhas” com flores e água de cheiro, elas reverenciam o orixá Oxalá e abençoam os devotos. O cortejo e a Lavagem são os pontos de destaque da festa., Após o encerramento da última novena, no sábado à noite, em frente à Igreja do Bonfim, acontece a apresentação dos Ternos de Reis. No Dia do Senhor do Bonfim, na manhã do segundo domingo após a Epifania, é realizada a Missa Campal, de caráter solene, no adro da Igreja do Bonfim, representando o ápice dos eventos litúrgicos e o encerramento da parte religiosa desta celebração. Ainda há a Procissão dos Três Desejos, finalizando dos eventos festivos, com a presença da imagem peregrina do Senhor do Bonfim. Esta última foi incorporada, em 2009, ao conjunto ritualístico da Festa e ocorre no domingo de encerramento.||A Festa do Senhor Bom Jesus do Bonfim é uma celebração sincrética, na qual um dos pontos de maior destaque é a lavagem das escadas da Igreja do Bonfim, por mães de santo"
44,"A Literatura de Cordel é um gênero literário, veículo de comunicação, ofício e meio de sobrevivência para inúmeros cidadãos brasileiros.||Literatura de Cordel||Literatura de Cordel||Entre versos, rimas e cantoria, a Literatura de Cordel é uma expressão cultural popular que abrange não apenas as letras, mas também a música e a ilustração.||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel||Literatura de Cordel"
