,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Descrição,Direitos,Identifier,Relação,Título
10,Luso-Oriental,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola luso-oriental | escultura | religião | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Peça de origem indo-portuguêsa, de execução erudita, com tratamento anatômico correto da imagem, com tratamento delicado do rosto, mãos, pés; com membros torneados, nervuras bem demarcadas; panejamento em movimento com leque ao meio; os cabelos ondulados e o serrilhado do perizônio são características típicas dessas esculturas em marfim; datável do século XVIII.||Imagem tradicional do Senhor Morto na Cruz, pregado por três cravos, com a cabeça pendida à esquerda, olhos fechados; braços em “Y” e pés sobrepostos; veste o tradicional perizônio.||Cruz em madeira (jacarandá), composta de duas partes encaixadas e colada; incrustações de marfim na parte inferior; imagem esculpida em marfim, composta de quatro partes, com encaixes nos ombros e laço da veste, policromada em vermelho, azul e preto; título em marfim, com inscrição pintada em marrom; cravos em metal, com incrustações de pequenas pedras claras brilhantes, que podem tratar-se de diamantes.||Cruz de traves retas, de quinas bisotadas, com incrustações de marfim, formando desenho geométrico; título em formato de cartela com inscrição pintada em marrom; Imagem de Cristo em posição frontal, pregada por três cravos, com a cabeça pendida à esquerda, de olhos fechados; cabelos longos, com mechas onduladas caídas à frente; bigode e barba de ponta bipartida; braços dispostos em “Y”, com a mão direita de abençoar e a outra aberta; pernas dobradas, com o pé direito sobre o esquerdo; vestido com perizônio curto, dobrado em formato de leque ao meio, seguro por corda dupla; sem o laço (perdido); sangue e chagas pintados de vencilho. Cravos em metal, com incrustações de pedras brilhantes.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",472,"Ficha Cadastral de 27-03-1975; Ficha de Conservação e Restauração de 06-11-1990; Ficha Topográfica 1991-197. (1) MOUTINHO, Stella Rodrigo Octavio et alii. Dicionário de Artes Decorativas e Decoração de Interiores. Rio de Janeiro. Ed. Nova Fronteira, 1999. (2) No Tempo das Feitorias. A arte portuguesa na época dos descobrimentos. Lisboa, Museu Nacional de Arte Antiga. Junho-Dezembro de 1992, vol. 1.",Escultura Religiosa||Crucifixo
11,[Minas Gerais],02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xix | século xviii,Não identificado,Acervo Museu do Ouro,2020.0||Século XIX | Século XVIII,"Imagem de provável origem mineira, datável do século XVIII ou XIX, de cunho bem popular, com tratamento anatômico desproporcional e rosto inexpressivo.||São Sebastião nasceu na Narbona, na Gália, e foi centurião romano. Denunciado por ter exortado dois amigos a permanecerem fiéis à fé cristã, durante uma perseguição no tempo de Diocleciano, foi preso e condenado a servir de alvo aos arqueiros do exército. Crivado de flechas e dado como morto, foi levado a enterrar por Santa Irene. Apercebendo-se, porém, que ainda estava vivo, recuperou-o, cuidando-lhe dos múltiplos ferimentos. Sarado, voltou Sebastião a se apresentar ao Imperador. Foi de novo martirizado, morto e sepultado nas catacumbas. É representado amarrado a um tronco de árvore, sofrendo o martírio das flechas, semidespido e de feições joviais (Iconografia adotada a partir do Renascimento). É um santo muito popular no Brasil, onde muitas são as suas imagens, tanto de cunho popular como eruditas. Considerado protetor contra as moléstias contagiosas, motivo pelo qual sempre é invocado nas epidemias, nas guerras e na escassez de víveres. É o patrono dos presidiários e detentos, porque também foi aprisionado. Os fiéis o lembram com muito fervor em 20 de Janeiro.||Peça esculpida em um só bloco de madeira, dourada (em purpurina) e policromada em bege escuro, vermelho, preto e marrom.||Figura masculina, meia-idade, de pé, em posição frontal; cabeça erguida, com olhos à frente; cabelos compridos, pretos, com estrias retas ao alto e sinuosas nas laterais; braço direito flexionado ao alto, com a mão fechada, preso a um tronco de árvore por uma corda dourada atada ao punho; braço esquerdo flexionado para baixo, preso ao tronco; perna direita flexionada, presa ao tronco por uma corda atada na canela; perna esquerda reta; possui quatro marcas de perfurações, com sinais de sangue, nos braços, peito e na coxa direita, Vestido com perizônio vermelho, ornado por estrelas douradas. Base atributiva, no formato de um rochedo, de cuja superfície se eleva um tronco desfolhado de árvore, ramificado em três tocos de galhos; pintado de marrom.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",460,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração 09-02-1990; Ficha Topográfica 1991; 4 fotos P&B nos 196, 197, 198 e 199. FILHO, Attílio Colnago. São Sebastião. Análise e restauração de escultura policromada. Belo Horizonte, CECOR/EBA/UFMG, 1990. MEGALE, Nilza Botelho. Santos do povo brasileiro. Petrópolis/RJ, Vozes, 2002. TAVARES, Jorge C. Dicionário de Santos. Porto Lello & Irmão – Editores, 1990.",Escultura Religiosa||São Sebastião
12,[Minas Gerais],02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Acervo Museu do Ouro,2020.0||Século XIX,"Imagem de cunho popular, datável do século XIX, de panejamento em pregas angulosas e pouco movimentado; rosto inexpressivo; de provável origem mineira.||Entre as Virgens Mártires, Santa Bárbara é uma das mais populares, cujo culto espalhou-se rapidamente pelo Ocidente por volta do século XV. Seu culto é bastante comum em Minas Gerais. Iconograficamente, a santa é representada em trajes de uma rica princesa oriental e tem como atributo principal uma torre de três janelas, que faz referência ao local onde teria ficado presa a mando do pai; por vezes, pode também trazer um cálice ou custódia que simboliza a garantia de uma boa morte para aqueles que pedem intervenção da santa. É lembrada pela Igreja em 4 de Dezembro. Santa Bárbara é patrona dos mineiros e artilheiros (fabricantes de canhão); na tradição popular é invocada para acalmar tempestades e trovões.||Escultura em madeira, composta de duas partes, policromada em vermelho, azul, preto, cinza, branco, bege e rosa; douramento em purpurina; torre encaixada; furo para resplendor na cabeça.||Figura feminina, meia-idade, em posição frontal, de pé; cabeça erguida, com olhos direcionados à frente; cabelos longos, pretos, com pequeno coque ao alto; braço direito flexionado à frente, sem a mão; braço esquerdo também flexionado à frente, mão comprimida junto ao peito; perna direita dobrada e a esquerda reta; vestida com túnica azul, de barra dourada, com padronagem de flores; sobretúnica e dalmática rosa, barra em dourado com flores; mangas com dobradas e presas por firmais em ponta de diamante; mantelete azul, em frisos dourados, preso por firmal losangular; e manto azul de forro vermelho, com a barra dourada, jogado diagonalmente sobre o corpo. À direita, uma torre de secção quadrangular, branca, com grande porta vermelha e ameias centrais, marmorizadas de cinza, e três óculos superiores, contornados de vermelho; arremate em telhado piramidal, marmorizado de cinza. Base retangular, de quinas chanfradas, em vermelho.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",458,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 12-02-1990; Ficha Topográfica 1991. MEGALE, Nilza Botelho. Santos do Povo Brasileiro. Petrópolis/RJ; Vozes, 2002. PASTOREAU, Michel. La Biblia y los Santos. Madrid, Alianza Editorial, 1996. ROIG, Juan Ferrando. Iconografía de los Santos. Barcelona, Ediciones Omega, 1950",Escultura Religiosa||Santa Bárbara
13,Brasil | Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Acervo Museu do Ouro,2020.0||Século XVIII,"Imagem de origem mineira, datável da 2ª metade do século XVIII, de boa execução, com rosto expressivo, de feições serenas, anguloso, com olhos de recortes amendoados, em vidro, nariz arredondado, a boca em lábios de recorte em bico; os ouvidos escavados; bigode e barba em estrias sinuosas; mãos com as costas nervuradas e os dedos roliços; corpo em postura sinuosa, típica do período, e o panejamento em movimento discreto; realçada pela boa policromia.||São Caetano foi o fundador da Congregação dos Clérigos Regulares, mais conhecidos como Teatinos. O santo se notabilizou pela promoção da vida apostólica e do culto divino. Por esse motivo o vemos representado sempre com a batina preta sobre a qual usa a sobrepeliz branca, a estola, e um barrete sobre a cabeça, demonstrando seu especial interesse pelos sagrados ritos da igreja. Em Minas Gerais existe uma matriz dedicada ao santo, em Monsenhor Horta, distrito de Mariana. É comemorado pela Igreja em 7 de Agosto.||Peça esculpida em duas partes de madeira, com encaixe na mão direita; dourada e policromada em preto, vermelho, bege, marrom, azul e branco; esgrafito e pastilha; olhos de vidro; base com orifício.||Figura masculina, meia-idade, de pé, em posição frontal, cabeça inclinada à direita, com olhos abaixados; cabelos em estrias finas e sinuosas; bigode fino e barba semilonga, em estrias sinuosas; furo no queixo; braço direito flexionado para o lado, levemente suspenso, mão fechada, com dedo indicador (que falta) apontado; braço esquerdo flexionado a frente, mão segurando um livro aberto, de capa marrom, com inscrição em latim; perna direita dobrada e a esquerda reta, com os pés em ângulo. Vestido com sotaina preta com esgrafito e padronagem em dourado, barra com relevo de elementos fitomorfos dourados; sobrepeliz azul clara, de gola alta com pequena abertura e as mangas dobradas, com padronagem em motivos fitomorfos e esgrafitado; estola vermelha, com franjas, decorada em motivos fitomorfos dourados e cruzes; sobre a cabeça um barrete de quatro pontas, com três palas superiores e uma bola ao centro, preto com confetes dourados; calça sapatos pretos com fivela, esgrafitado em dourado. Base retangular, de quinas chanfradas, frente curva e borda emoldurada, pintada de vermelho.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",457,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 05-11-1990; Ficha Topográfica 1991-1997. 2 fotos P&b nos 235 e 236. CERINOTTI, Angela. Santos e Beatos de ontem e hoje. São Paulo, Editora Globo, 2004 TAVARES, Jorge C. Dicionário de Santos. Porto, Lello & Irmão – Editores, 1990; ROIG, Juan Ferrando. Iconografía de los Santos. Barcelona, Ediciones Omega, 1950",Escultura Religiosa||São Caetano
14,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||minas gerais | mobiliário | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Baú cofre de três chaves, em pequenas dimensões, de origem certamente mineira, datável do século XVIII, 1ª metade, com policromia imitando a laca chinesa, com arabescos, flores e pássaros em tons dourado e branco sobre fundo vermelho.||Armas do Império Português com o brasão coroado onde se inscreve os sete castelos e as cinco quinas. Flores, pássaros, arabescos de acantos.||Objeto confeccionado em madeira recortada, composta de oito partes encaixadas e fixadas por cravos; encaixe do tipo rabo-de-andorinha ( malhete); douramento e policromia em vermelho, branco, ocre e preto; ferragem em ferro fundido e batido, fixação por cravos batidos.||Baú pequeno, retangular, com a tampa abaulada, todo pintado de vermelho, com flores douradas; Ferragem composta por duas dobradiças de hastes compridas presas na parte traseira e superfície da tampa, com recortes curvos nas extremidades e pintura em motivos fitomorfos dourados; uma fechadura de três chaves, com espelho retangular, de recortes curvos; pintura em motivos fitomorfos dourados; com lingüeta de recortes geométricos, fixada por uma haste presa na superfície da tampa; Interior com pintura de arabescos, em tons escuros sobre um fundo ocre; na tampa mais arabescos brancos, com pássaros e acantos, centrando as Armas do Império Português.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",455,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração 05-11-1990; Ficha Topográfica 1997. CANTI, Tilde. O móvel no Brasil. Origem, evolução e características. Rio de Janeiro, Editora Agir/Lisboa, Fundação Ricardo do Espírito Santo, 1999.",Baú cofre
15,Portugal,12 Objetos Pessoais > 12.1 Acessório de Indumentária||indumentária | portugal | religião | século xviii,Não identificado,Acervo Museu do Ouro,2020.0||Século XVIII,"Parte de paramento sacerdotal, ricamente bordada em fios de ouro, prata e linhas coloridas, datável de meado do século XVIII, de provável origem portuguesa.||Acantos, volutas, palmeta, frisos; representação tradicional das alminhas do purgatório, ajoelhadas entre chamas, de mãos postas, tendo entre elas o calvário, símbolo da redenção dos pecados.||Peça confeccionada em fios de ouro e prata, linhas de retrós branco (nas almas), vermelho (no contorno das almas e chamas), amarelo (nas chamas) e verde (calvário), bordados sobre intertela e tecido grosso; reforço recente em eucatex recortado.||Fragmento em formato de uma tarja, recortada em curvas e contra-curvas, delimitada por frisos de acantos e volutas, com arremate superior em palmeta; centro em friso circular, com cês e elemento cordiforme superior; ao centro, representação de duas almas de um homem e mulher, nus, com as mãos postas, de joelhos entre chamas; uma cruz e calvário elevam-se entre as almas;","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",449,Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 31-10-1990; Ficha Topográfica 1991.,Paramento sacerdotal (fragmento)
16,Indo-européia,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola luso-oriental | escultura | religião | século xvii | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVII | Século XVIII||[1943-44],"Imagem de Cristo em marfim, de origem indo-portuguesa, datável do século XVII ou XVIII; apresenta características típicas desse tipo de escultura, como os cabelos ondulados, o serrilhado no perizônio e o detalhamento na execução do rosto, mãos e pés; o corpo encurvado acompanha a forma do marfim. A cruz provavelmente não é original.||Representação de Jesus Cristo morto na cruz (ou expirante), com a cabeça pendida à esquerda, olhos fechado, os braços em “Y” e os pés sobrepostos; vestido com um perizônio. Tem a expressão e o movimento dramáticos, bem ao gosto do espírito religioso do barroco. Recortes curvos com volutas na base||Imagem esculpida em marfim, composta de três partes, com encaixes nos ombros; parte superior do marfim oca; cruz em madeira (jacarandá), composta de quatro partes recortadas (traves) e entalhadas (base), encaixadas; cruz fixada ao fundo do oratório.||Imagem: figura masculina, meia-idade, em posição frontal, pregado na cruz por três cravos; de cabeça pendida à esquerda, cabelos compridos, com mechas onduladas caídas à frente e por trás; com uma coroa de espinhos; bigode e barba terminada em ponta com duas volutas; olhos fechados; braços posicionados em “Y”, com as mãos de abençoar; pernas ligeiramente flexionadas, com o pé direito sobreposto ao esquerdo. Vestido com um perizônio curto, dobrado ao meio, seguro por corda, com serrilhado na borda. Cruz de traves retas e lisas; com a base mais larga, aberta em dois pés curvos, com os extremos em volutas e recortes nos extremos superiores.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",440,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 30-10-1990; Ficha Topográfica 1991-1997. Duas fotos P&B nos 222 e 242. MOUTINHO, Stella Rodrigo Octavio et alii. Dicionário de Artes Decorativas e Decoração de Interiores. Rio de Janeiro. Ed. Nova Fronteira, 1999. No Tempo das Feitorias. A arte portuguesa na época dos descobrimentos. Lisboa, Museu Nacional de Arte Antiga. Junho-Dezembro de 1992, vol. 1.",Escultura Religiosa||Crucifixo
17,Brasil | Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Imagem com características de escultura popular, com o corpo muito recurvado, o rosto anguloso e alongado, os olhos repuxados, nariz afinado, orelhas ressaltadas do crânio e o pescoço longo; panejamento de pregas em caimentos retos, com uma dobra desproporcional entre as pernas; pode ser datável da 2 ª metade do setecentos, de fatura certamente mineira.||São Francisco de Assis (1182-1226), fundador dos Frades Menores Mendicantes, os Franciscanos, segundo o espírito evangélico da pobreza. Em 1224, no monte Alverne (Itália), teve a visão de Cristo crucificado, da qual lhe ficam os cinco estigmas, com os quais é sempre representado. Iconograficamente, São Francisco é apresentado vestido de franciscano, crucifixo nas mãos, estigmas nas mãos e nos pés e, ocasionalmente, um rasgão no hábito mostra-nos a chaga do lado do peito. Por vezes aparece com barba, outras imberbe. Outras vezes, ainda, aparece-nos de capuchinho, com uma caveira do lado (chamado da Penitência), ou então recebendo o Menino Jesus das mãos da Virgem Maria. Também aparece a receber nos seus braços Cristo meio despregado da Cruz (dito do Amor Divino). É um santo bastante popular no Brasil, principalmente no norte e nordeste. É comemorado pela Igreja no dia 4 de outubro.||Peça esculpida em madeira, composta de três partes, com encaixes nas mãos; douramento e policromia em bege, cinza, preto e vermelho; olhos de vidro; cordão; base com três orifícios; furo na cabeça para resplendor.||Figura masculina, meia-idade, de pé, em posição frontal; cabeça inclinada à esquerda, com ampla tonsura monacal, rodeada por mechas sinuosas de cabelos, com topete ao alto; boca entreaberta; barba preta em “V” com mechas sinuosas e volutas na ponta; bigode liso, preto; braços flexionados a frente; mão direita de segurar e a esquerda portando um crânio acinzentado; ambas mãos estigmatizadas; perna direita flexionada e a esquerda reta, pés em ângulo. Vestido em hábito preto, com sotaina de mangas e barra douradas, cingida por cordão de nós; mangas com cogulas; capuz alto, caído por trás, com dobras douradas; lado esquerdo do peito aberto, deixando entrever um estigma; pés descalços, estigmatizados. Base retangular simples, de quinas chanfradas, em vermelho.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",430,"Ficha Cadastral 26-03-1975; Ficha de Conservação e Restauração 23-10-1990; Ficha Topográfica 1991-1998; foto P&B no 371. MEGALE, Nilza Botelho. Santos do Povo Brasileiro. Petropólis/RJ, Vozes, 2002 ROIG, Juan Ferrando. Iconografía de los Santos. Barcelona, Ediciones Omega, 1950 TAVARES, Jorge C. Dicionario de Santos. Porto, Lello & Irmão – Editores, 1990.",Escultura Religiosa||São Francisco de Assis
18,Brasil | Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Daniel Mansur,2007.0||Século XVIII,"Imagem de origem mineira, datável do século XVIII, de boa fatura, em composição atarracada, com panejamento contido em caimentos retos, rosto arredondado em recortes angulares, mãos com dedos afinados; policromia típica da 1ª metade do século.||TERESA de Ávila ou de Jesus – Grande mística e Doutora da Igreja. Fundadora da Ordem Reformada das Carmelitas Descalças. Nasceu em Ávila em 1515. Foi uma ativista da reforma da sua Ordem e fundadora de conventos. As suas experiências místicas vêm narradas nas suas obras literárias que incluem também uma autobiografia. Morreu em Ávila, no Convento de São José, em 1582. Os seus atributos são um anjo trespassando com uma flecha ardente o seu coração, uma pomba inspiradora e também um livro e uma pena. Veste como abadessa carmelita. É comemorada pela Igreja em 15 de Outubro.||Imagem esculpida em um só bloco de madeira, com as mãos encaixadas, dourada e policromada em bege, vermelho, marrom, branco e preto; olhos de vidro; furo na cabeça para resplendor.||Figura feminina, meia-idade, de pé, em posição frontal, cabeça erguida à esquerda, olhos abaixados; braços flexionados a frente; mão direita de segurar (uma pena de prata*) e a mão esquerda espalmada (sustentava um livro aberto); perna direita reta e a esquerda flexionada; pés em ângulo; Vestida com hábito marrom cingido por correia preta, com padronagem em esgrafito e flores douradas; capa longa dourada; escapulário preto, com padronagem em motivos fitomorfos dourados; coifa marrom terminada em mantelete; véu marrom de bico; calçada com sapatos pretos; Base quadrada, de quinas chanfradas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",429,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração de 28-06-1990; Ficha Topográfica 1991-1996; 3 foto-contatos em P&B. TAVARES, Jorge C. Dicionário de Santos. Porto, Lello & Irmão Editora, 1990.",Escultura Religiosa||Santa Teresa de Ávila
19,Brasil,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xix,Antônio Pereira dos Santos,Daniel Mansur,2007.0||1816 | Século XIX,"Imagem datada de 1816, esculpida por Antônio Pereira da Costa, de compleição robusta, com o rosto ingênuo, de feições exageradas, imprimindo-lhe um ar caricatural; membros rígidos com as mãos exageradas; decoração de gosto rococó, em concheados, cês, ovulados, cartelas e acantos. O estofamento da imagem e bem como o seu douramento são devidos ao pintor Joaquim Gonçalves da Rocha, que por duas oportunidades (1816 e 1819), fez reparos na imagem.||Santo militar que teria vivido no século III tendo nascido na Capadócia (centro da atual Turquia). Conta a lenda que teria salvo a filha de um rei da Líbia de ser devorada por um dragão. Foi eventualmente martirizado de maneiras bizarras. Sua lenda foi rejeitada pelo Papa Gelasio I, através de um decreto de 496. Ganhou grande popularidade a partir das cruzadas, quando o santo converteu-se, em toda cristandade, no patrono dos cavaleiros; além disso, tornou-se um dos santos patronos de Gênova, Veneza, Barcelona e Portugal. Em Portugal, a procissão do santo acontece deste o século XIV, quando a imagem saiu montada em um cavalo no dia consagrado ao “Corpo de Deus”. Tradição que se alargou a todo império, inclusive no Brasil colonial.  Iconografia: como personificação do cavaleiro ideal, S. Jorge é representado a cavalo, vestido com armadura e capa, levando um escudo e uma lança a qual o santo investe contra o dragão deitado a seus pés, simbolizando a vitória da Fé sobre o Mal.||Peça esculpida em madeira, composta de seis partes, com pernas articuladas nas coxas, presas por chapas e ganchos (2) de ferro; dourada na decoração da vestimenta; policromia em preto, bege, vermelho, verde, azul; capacete removível; escudo fixado por gancho de ferro; punho do braço esquerdo preso ao corpo por uma haste de madeira; ocado nas costas, onde tinha um tampo; a imagem encontra-se presa a uma base através de uma haste de madeira.||Figura masculina, meia-idade, em posição frontal, de pé, com a cabeça erguida, cabelos compridos, em mechas sinuosas, terminadas em cinco pontas por trás; boca entreaberta, mostrando os dentes superiores; bigode sinuoso, saindo do septo labial; lábios grossos e vermelhos; tem o braço direito flexionado, alto, com a mão de segurar; braço esquerdo flexionado junto ao corpo, com a mão de segurar; leva neste braço um escudo elíptico, todo preto, delimitado por friso dourado e contornado por inscrição dourada em relevo: “GLORIA AD HONOREM DEI” circundando uma cruz raionada. Tem as pernas retas, articuladas nas coxas, e pés paralelos. Vestido de soldado, com couraça negra, com recortes em lambrequins na barra; decoração dourada, com tarja de concheados, cês e elementos em forma de sol no centro; gola em recorte de elementos fitomorfos; listras douradas com botões na diagonal e laterais; ombreiras, cotoveleiras e punhos com concheados, ovulados, cês e elementos fitomorfos. Pernas com listras verticais e diagonais com botões; joelheiras cordiformes com rocalhas, cês e frisos; sapatos com rocalhas. Sobre a cabeça leva um capacete semi-esférico, preto, com decoração dourada formada por frisos curvos, elementos fitomorfos e volutas, com pintura imitando pedraria colorida. Aba verde com as laterais enroladas e a frente recortada em bico. Possui uma capinha em tecido adamascado (muito ruim) guardada na Reserva Técnica.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",428,"Ficha Cadastral de 26-03-1975; Ficha para Conservação e Restauração de 23-10-1990; Ficha Topográfica de 15-05-1991, agosto de 1996 e novembro de 1997; transcrição datilografada da documentação acima referida. (3) Arquivo Publico Mineiro – Câmara de Sabará – Códice 155 – Livro de Despesa e Receita – ano de 1815 a 1820. PASTOUREAU, Michel e DUCHEL-SUCHAUX. La Bíblia y los Santos. Madrid, Alianza Editorial, 1996.",Escultura Religiosa||São Jorge
20,Brasil | Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura||escola mineira | escultura | religião | século xviii,Não identificado,Acervo Museu do Ouro,2020.0||Século XVIII,"Imagem de provável origem mineira, datável de meados do século XVIII, de boa fatura, com a composição bem proporcional, movimento contido, com panejamento em dobras de caimento reto; rosto inexpressivo, de olhos pintados, nariz fino, boca de lábios apertados e pouco recortados; cabelos em mechas grossas; o estofamento, bem elaborado, em acantos e folhagens grandes imitando adamascado, é ao gosto do barroco. Do mesmo autor da Santa Catarina de Siena (no 641).||São Domingos de Gusmão é o fundador da Ordem de São Domingos ou dos Dominicanos, como é mais conhecida. Espanhol de origem, nasceu em 1170 e morreu em 1221. Pregou contra os hereges Albigenses e depois obteve autorização do Papa para fundar a Ordem que lhe viria a dar fama. Iconograficamente, é representado com o hábito preto e branco de sua Ordem. Como atributos como ter uma estrela brilhante sobre o fronte ou a companhia de um cachorro levando um a tocha acessa. Como introdutor da devoção do Rosário, São Domingos é geralmente visto na cena em que recebe de Nossa Senhora o rosário. Nessa imagem, o santo traz apenas o livro, atributo comum aos fundadores de ordens religiosas.||Peça esculpida em um só bloco de madeira, com encaixe nas mãos, dourada e policromada em vermelho, preto, marrom, bege e branco; punções e esgrafitos; furo na cabeça para resplendor.||Figura masculina, meia-idade, de pé, em posição frontal; cabeça erguida, com olhos direcionados a frente; com tonsura monacal rodeada por mechas sinuosas de cabelos; braço direito erguido, sem a mão, braço esquerdo flexionado para o lado, mão segurando um livro fechado de capa vermelha, que é comprimido contra o corpo – o livro tem a meia-cana e os fechos dourados; perna esquerda flexionada e a direita reta; pés em ângulo; Vestido com hábito branco cingido, com escapulário, com a padronagem em motivos fitomorfos e florais, frisos, confetes e punções em dourado, e uma coroa no escapulário; capa e capuz pretos, com folhas de acantos, frisos e punções em dourado; sapatos pretos com confetes dourados. Base elíptica vermelha, com quatro bicos, com friso meia-cana invertida ao meio e friso dourado na borda superior.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",427,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração 20-09-1990; Ficha Topográfica 1996-1997; 2 fotos P&B nº 190 e 191. ROIG, Juan Ferrando. Iconografia de los Santos. Barcelona, Ediciones Omega, 1950. TAVARES, Jorge C. Dicionário de Santos. Porto, Lello & Irmão – Editores, 1990.",Escultura Religiosa||São Domingos de Gusmão
21,Brasil | Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||minas gerais | mobiliário | religião | século xix | século xviii,Não identificado,Daniel Mansur,2007.0||Século XIX | Século XVIII,"Oratório de origem mineira, de composição retilínea, com alguns recortes sinuosos no arremate superior; pintura com motivos simbólicos, de execução de cunho mais popular; datável de fins do século XVIII ou início do XIX.||Cês, êsses, recortes curvos, frisos, molduras e almofadas, pilastras com capitéis; pintura em motivos florais; Representação dos símbolos da Paixão, as “Armas Christi”, como são conhecidos o conjunto de instrumentos utilizados e relacionados com a Paixão de Cristo, como a escada, a lança que trespassou seu peito, a esponja, a corda, a coroa de espinhos, o cálice que recolheu seu sangue; o chicote, a tabuleta com a inscrição “INRI” pregada no alto da cruz e os três cravos da crucificação. A representação desses símbolos na arte cristã esta relacionada a um sonho que teve S. Gregório Magno (eleito papa em 590), em que Jesus Cristo descia do céu no momento da missa e mostrava aos fiéis seus estigmas e os instrumentos de sua Paixão.||Peça em madeira, composta de 36 partes recortadas, entalhadas, encaixadas e fixadas por cravos; douramento e policromia em vermelho, azul, preto, verde, ocre, amarelo, marrom e branco; ferragem com fechaduras (1), espelhos (2), dobradiças (4) e fechos (2), em ferro fundido; encaixe do tipo rabo-de-andorinha.||Oratório retangular vertical, com porta de duas bandas, emolduradas, em três almofadas (cada folha) reentrantes, de centro alto, frisado, com fechaduras de espelhos elípticos; parte interna da porta com pinturas representando os símbolos da Paixão: na banda esquerda, de baixo para cima: 1ª - a escada, a lança, a esponja e a corda; 2ª - custódia com coroa de espinhos; 3ª - custódia com a coroa de espinhos; na banda direita: 1ª sem; 2ª cálice com tampa e chicote; 3ª custódia com três cravos. Contorno em molduras douradas, com cimalha superior saliente; arremate em frontão sinuoso, com contorno em cês e êsses ressaltados e interior liso, com vestígio de pintura de uma cartela com três cravos. Parte interna com fundo e laterais com pintura de motivos florais grandes, com flores e botões vermelhos e ocres, com ramos e folhas verdes, alguns enlaçados por fitas vermelhas; fundo em azul; frente emoldurada em pilastras douradas, com capitéis e frisos ressaltados; coroamento em arco seguindo o mesmo desenho das pilastras, com mísula central e cantos em pintura de flores vermelhas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/||Federal",422,"Ficha Cadastral de 26-03-1975; Ficha de Conservação e Restauração 22-10-1990; Ficha Topográfica 1991-1997. HEINZ-MOHR, Gerd. Dicionário dos Símbolos. Imagens e sinais da arte cristã. São Paulo, Paulus, 1994. PASTOUREAU, Michel. La Biblia y los Santos. Madrid, Alianza Editorial, 1996.",Oratório||Oratório com símbolos da Paixão
