,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Identifier,Tipo do recurso,Título
10,"Bahia||Cachoeira||-12,763905889096737  -38,8693555363403||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
11,"Bahia||Cachoeira||-12,605202600000002  -38,9622054||Não informado",Não encontrado.,Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg||Paço Municipal - Cachoeira - BA - Anderson Schneider (1).jpg,Não encontrado.||Não informado,Edificação,Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal||Paço Municipal
12,"Bahia||Cachoeira||-12,605911999999998  -38,9617708||Não informado",Não encontrado.,Carmo Terceira - Cachoeira - BA - Anderson Schneider (1).jpg,Não encontrado.||Não informado,Edificação,Convento de Nossa Senhora do Carmo
13,"Bahia||Nazaré||-13,03479  -39,01280200000001||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
14,"Bahia||Nazaré||-13,034727000000006  -39,012297000000004||Não informado",Não encontrado.,"NAZARÉ BA Sobrado à Travessa da Capela, nº02.png",Não encontrado.||Não informado,Edificação,"NAZARÉ BA Sobrado à Travessa da Capela, nº02"
15,"Bahia||Nazaré||-13,033314100000002  -39,0057349||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
16,"Bahia||Nazaré||-13,034784000000002  -39,01279000000001||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Edificação,Logo Patrimônio Cultural
17,"Bahia||Candeias||-12,762733300000006  -38,4986778||Não informado",Não encontrado.,"Engenho Freguesia_sobrado, fábrica de açúcar e Capela de Nossa Senhora da Piedade.jpeg",Não encontrado.||Não informado,Edificação,"Engenho Freguesia: sobrado, fábrica de açúcar e Capela de Nossa Senhora da Piedade"
18,"Bahia||Salvador||-12,974384  -38,5130078||Não informado",Não encontrado.,Elevador Lacerda - Salvador - BA - Luiz Phillippe Torelly (2).jpg||Elevador Lacerda - Salvador - BA - Luiz Phillippe Torelly (2).jpg,Não encontrado.||Não informado,Obras de Engenharia,Elevador Lacerda||Elevador Lacerda
19,"Bahia||Castro Alves||-12,706730600000032  -39,3395707||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
20,"Bahia||Rio de Contas||-13,579940363752112  -41,812370761368626||Não informado",Não encontrado.,Foto Sayonara Pinto16_04_2016 (16) - Copia.JPG||Foto Sayonara Pinto16_04_2016 (16) - Copia.JPG||Foto Sayonara Pinto16_04_2016 (16) - Copia.JPG||Foto Sayonara Pinto16_04_2016 (16) - Copia.JPG||Foto Sayonara Pinto16_04_2016 (16) - Copia.JPG,Não encontrado.||Não informado,Edificação,Vista da fachada frontal.||Vista da fachada frontal.||Vista da fachada frontal.||Vista da fachada frontal.||Vista da fachada frontal.
21,"Bahia||Rio de Contas||-13,57958400393318  -41,8119918725774||Não informado",Não encontrado.,Foto Sayonara Pinto16_04_2016 (36) - Copia.JPG||Foto Sayonara Pinto16_04_2016 (36) - Copia.JPG||Foto Sayonara Pinto16_04_2016 (36) - Copia.JPG,Não encontrado.||Não informado,Edificação,Vista da fachada frontal.||Vista da fachada frontal.||Vista da fachada frontal.
22,"Bahia||Ituaçu||-13,83979879999999  -41,3154924||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Paisagem,Logo Patrimônio Cultural
23,"Bahia||Salvador||-12,97602019999999  -38,4902465||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Edificação,Logo Patrimônio Cultural
24,"Bahia||Salvador||-12,995729500000003  -38,5080349||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Edificação,Logo Patrimônio Cultural
25,"Bahia||Salvador||-12,992784026200006  -38,520603776||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Edificação,Logo Patrimônio Cultural
26,"Ceará||Fortaleza||-3,811685293582373  -38,47835689504137||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
27,"Alagoas||Coqueiro Seco||-9,637380599999995  -35,7925806||Não informado",Não encontrado.,Igreja de Nossa Senhora da Mãe dos Homens.jpg||Igreja de Nossa Senhora da Mãe dos Homens.jpg||Igreja de Nossa Senhora da Mãe dos Homens.jpg,Não encontrado.||Não informado,Edificação,Igreja: Mãe dos Homens (N.Sª)||Igreja: Mãe dos Homens (N.Sª)||Igreja: Mãe dos Homens (N.Sª)
28,"Alagoas||Marechal Deodoro||-9,71583609999999  -35,8927833||Não informado",Não encontrado.,Casa natal do Marechal Deodoro da Fonseca_2.jpg||Casa natal do Marechal Deodoro da Fonseca_2.jpg||Casa natal do Marechal Deodoro da Fonseca_2.jpg||Casa natal do Marechal Deodoro da Fonseca_2.jpg,Não encontrado.||Não informado,Edificação,Casa natal do Marechal Deodoro da Fonseca||Casa natal do Marechal Deodoro da Fonseca||Casa natal do Marechal Deodoro da Fonseca||Casa natal do Marechal Deodoro da Fonseca
29,"Alagoas||Palmeira dos Índios||-9,408038899999996  -36,6299139||Não informado",Não encontrado.,Casa de Graciliano Ramos 02.JPG||Casa de Graciliano Ramos 02.JPG,Não encontrado.||Não informado,Edificação,Museu Casa de Graciliano Ramos||Museu Casa de Graciliano Ramos
30,"Alagoas||Penedo||-10,28907589871149  -36,58536737127088||Não informado",Não encontrado.,Igreja N. Sra. da Corrente - Penedo - AL - Anderson Schneider (2).jpg||Igreja N. Sra. da Corrente - Penedo - AL - Anderson Schneider (2).jpg||Igreja N. Sra. da Corrente - Penedo - AL - Anderson Schneider (2).jpg||Igreja N. Sra. da Corrente - Penedo - AL - Anderson Schneider (2).jpg||Igreja N. Sra. da Corrente - Penedo - AL - Anderson Schneider (2).jpg||Igreja N. Sra. da Corrente - Penedo - AL - Anderson Schneider (2).jpg,Não encontrado.||Não informado,Edificação,Igreja de  Nossa Senhora da Corrente||Igreja de  Nossa Senhora da Corrente||Igreja de  Nossa Senhora da Corrente||Igreja de  Nossa Senhora da Corrente||Igreja de  Nossa Senhora da Corrente||Igreja de  Nossa Senhora da Corrente
31,"Alagoas||União dos Palmares||-9,170453521201972  -36,083966038781654||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Paisagem,Logo Patrimônio Cultural
32,"Amazonas||Manaus||-3,113324012471793  -60,016722812325376||Não informado",Não encontrado.,Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG||Reservatório - Manaus - AM - Nabil Bonduk (1).JPG,Não encontrado.||Não informado,Obras de Engenharia,Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile||Reservatório de Mocó na Praça do Chile
33,"Amazonas||Manaus||-3,1303329999999896  -60,023413||Não informado",Não encontrado.,Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG||Teatro Amazonas - Manaus - AM - Márcio Vianna (6).JPG,Não encontrado.||Não informado,Edificação,Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas||Teatro Amazonas
34,"Ceará||Aquiraz||-3,9015919999999964  -38,389928||Não informado",Não encontrado.,mercado_aquiraz.jpeg,Não encontrado.||Não informado,Conjunto Urbano,Mercado de Carne e Lojas Adjacentes - aquiraz
35,"Ceará||Aracati||-4,562561099999994  -37,7719444||Não informado",Não encontrado.,aracati.jpeg||aracati.jpeg||aracati.jpeg||aracati.jpeg||aracati.jpeg||aracati.jpeg||aracati.jpeg||aracati.jpeg,Não encontrado.||Não informado,Edificação,"Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE||Casa de câmara e cadeia, Aracati, CE"
36,"Ceará||Aracati||-4,56109346862423  -37,76895334034182||Não informado",Não encontrado.,Igreja Matriz de Nossa Senhora do Rosário_aracati.jpeg||Igreja Matriz de Nossa Senhora do Rosário_aracati.jpeg,Não encontrado.||Não informado,Edificação,Igreja Matriz de Nossa Senhora do Rosário - Aracati||Igreja Matriz de Nossa Senhora do Rosário - Aracati
37,"Ceará||Caucaia||-3,734405097946273  -38,65549716975988||Não informado",Não encontrado.,caucaia_camara.jpeg,Não encontrado.||Não informado,Edificação,Casa de Câmara e Cadeia - Caucaia
38,"Bahia||Cachoeira||-12,662086299999999  -38,940635||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Edificação,Logo Patrimônio Cultural
39,"Bahia||Salvador||-12,935497250300001  -38,5086053971||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
40,"Bahia||Salvador||-12,974137890020346  -38,51235709465831||Não informado",Não encontrado.,Ig de São Francisco - Salvador - BA - Luiz Phillippe Torelly (7).jpg,Não encontrado.||ID Unesco - 309,Conjunto Urbano,"Salvador, BA: centro histórico"
41,"Bahia||Candeias||-12,772467399999995  -38,4663105||Não informado",Não encontrado.,Engenho Matoim - Sobrado e fábrica de açucar_3.jpg,Não encontrado.||Não informado,Edificação,Matoim
42,"Bahia||Cachoeira||-12,662259000000002  -38,8927817||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
43,"Bahia||Salvador||-12,992784026200006  -38,520603776||Não informado",Não encontrado.,,Não encontrado.||Não informado,Coleção,
44,"Bahia||Salvador||-12,881197457999988  -38,4828785062||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
45,"Bahia||Salvador||-12,975923506600003  -38,5128977895||Não informado",Não encontrado.,03_ajuda_01.jpg,Não encontrado.||Não informado,Edificação,Capela da Ajuda
46,"Bahia||Salvador||-12,973337219700005  -38,5130023956||Não informado",Não encontrado.,colorida@4x.png,Não encontrado.||Não informado,Edificação,logo patrimônio cultural colorida
47,"Bahia||Salvador||-12,964540506500008  -38,5028126836||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
48,"Bahia||Salvador||-12,950995234299986  -38,5007286072||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
49,"Bahia||Salvador||-12,978312433300003  -38,5062915088||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
50,"Bahia||Salvador||-12,979700299699994  -38,5152594745||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
51,"Bahia||Salvador||-12,974250700000017  -38,5088181||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
52,"Ceará||Fortaleza||-3,763085000000005  -38,4830189||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Coleção,Logo Patrimônio Cultural
53,"Ceará||Fortaleza||-3,728769399999981  -38,531472199999996||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
54,"Ceará||Fortaleza||-3,7231190000000023  -38,524943||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
55,"Ceará||Fortaleza||-3,722652800000009  -38,5262861||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Conjunto Urbano,Logo Bem Cultural
56,"Ceará||Fortaleza||-3,7273527878646244  -38,53152491439492||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
57,"Ceará||Icó||-6,401330599999988  -38,8628056||Não informado",Não encontrado.,José Paulo Lacerda - Icó - CE (5).jpg,Não encontrado.||Não informado,Edificação,Casa de Câmara e Cadeia
58,"Ceará||Iguatu||-6,359186100000009  -39,2986528||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
59,"Pernambuco||Ilha de Itamaracá||-7,810115000000007  -34,839265||Não informado",Não encontrado.,forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg||forte orange.jpeg,Não encontrado.||Não informado,Edificação,"Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE||Forte Orange, Ilha de Itamaracá, PE"
60,"Espírito Santo||Anchieta||-20,802124711102646  -40,651076597089116||Não informado",Não encontrado.,Igreja Nossa Senhora da Assunção e residência.jpeg||Igreja Nossa Senhora da Assunção e residência.jpeg,Não encontrado.||Não informado,Edificação,Igreja Nossa Senhora da Assunção e residência||Igreja Nossa Senhora da Assunção e residência
61,"Rio de Janeiro||Angra dos Reis||-23,00157000000002  -44,319984999999996||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
62,"Rio de Janeiro||Angra dos Reis||-23,00682219999999  -44,3202222||Não informado",Não encontrado.,Convento São Bernardino_ 05.02.2010 (3).JPG||Convento São Bernardino_ 05.02.2010 (3).JPG||Convento São Bernardino_ 05.02.2010 (3).JPG,Não encontrado.||Não informado,Conjunto Urbano,Convento de São Bernardino de Sena: ruínas e Capela dos Terceiros||Convento de São Bernardino de Sena: ruínas e Capela dos Terceiros||Convento de São Bernardino de Sena: ruínas e Capela dos Terceiros
63,"Rio de Janeiro||Angra dos Reis||-23,0069694  -44,3150639||Não informado",Não encontrado.,,Não encontrado.||Não informado,Edificação,
64,"Rio de Janeiro||Angra dos Reis||-23,005734700000005  -44,3157591||Não informado",Não encontrado.,fazenda do morcego.jpg||fazenda do morcego.jpg,Não encontrado.||Não informado,Edificação,"Fazenda, Ilhota Morcego e casa||Fazenda, Ilhota Morcego e casa"
65,"Rio de Janeiro||Angra dos Reis||-23,00637469999999  -44,3151795||Não informado",Não encontrado.,logoColorida@4x.png,Não encontrado.||Não informado,Edificação,Logo Patrimônio Cultural
66,"Acre||Xapuri||-10,651673119894634  -68,5024283269303||Não informado",Não encontrado.,Casa de Chico Mendes - Xapuri - AC - José Aguilera.jpg||Casa de Chico Mendes - Xapuri - AC - José Aguilera.jpg||Casa de Chico Mendes - Xapuri - AC - José Aguilera.jpg,Não encontrado.||Não informado,Edificação,Casa de Chico Mendes||Casa de Chico Mendes||Casa de Chico Mendes
67,"Rio de Janeiro||Angra dos Reis||-23,01008109999998  -44,31839000000001||Não informado",Não encontrado.,Ig N.Sra. Lapa 05.02.2010 (31).JPG||Ig N.Sra. Lapa 05.02.2010 (31).JPG,Não encontrado.||Não informado,Edificação,Igreja de Nossa Senhora da Lapa da Boa Morte - AR||Igreja de Nossa Senhora da Lapa da Boa Morte - AR
68,"Rio de Janeiro||Angra dos Reis||-23,008425999999993  -44,3181139||Não informado",Não encontrado.,DSC01868.JPG||DSC01868.JPG,Não encontrado.||Não informado,Edificação,Igreja de Santa Luzia - AR||Igreja de Santa Luzia - AR
69,"Santa Catarina||Vidal Ramos||-27,334340780202535  -49,327791959683246||Não informado",Não encontrado.,Conjunto Irmãos Stoltenberg.JPG||Conjunto Irmãos Stoltenberg.JPG,Não encontrado.||Não informado,Conjunto Arquitetônico,Conjunto Irmãos Stoltenberg||Conjunto Irmãos Stoltenberg
70,"Rio de Janeiro||Angra dos Reis||-23,0083528  -44,3186278||Não informado",Não encontrado.,DSC01280.JPG||DSC01280.JPG,Não encontrado.||Não informado,Edificação,Igreja Matriz de Nossa Senhora da Conceição||Igreja Matriz de Nossa Senhora da Conceição
71,"Rio de Janeiro||Angra dos Reis||-23,024293700000005  -44,5107473||Não informado",Não encontrado.,,Não encontrado.||Não informado,Artefato,
72,"Rio de Janeiro||Angra dos Reis||-23,00718320000002  -44,3162483||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
73,"Rio de Janeiro||Angra dos Reis||-23,007098220000007  -44,31619905||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
74,"Rio de Janeiro||Angra dos Reis||-23,00737193000001  -44,316093630000005||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
75,"Rio de Janeiro||Angra dos Reis||-23,007261930000006  -44,31619911||Não informado",Não encontrado.,IPHAN.jpg,Não encontrado.||Não informado,Edificação,Logo Bem Cultural
76,"Minas Gerais||Antônio Carlos||-21,3191527  -43,75022750000001||Não informado",Não encontrado.,img_0301_005.jpg||img_0301_005.jpg||img_0301_005.jpg,Não encontrado.||Não informado,Edificação,"Fazenda da Borda do Campo; incluindo sua sede, capela e sobradinho anexos||Fazenda da Borda do Campo; incluindo sua sede, capela e sobradinho anexos||Fazenda da Borda do Campo; incluindo sua sede, capela e sobradinho anexos"
77,"Santa Catarina||Vargem||-27,487207399999985  -50,97285275||Não informado",Não encontrado.,,Não encontrado.||Não informado,Edificação,
