,Assunto/ palavras-chave,Autor,Data,Descrição,Direitos,Identifier,Título
23,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",477||Não encontrado,Apólice||Apólice de Ações nº 1747- Companhia Mucury
24,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",476||Não encontrado,Apólice||Apólice de Ações nº 1746 - Companhia Mucury
25,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",475||Não encontrado,Apólice||Apólice de Ações nº 1745 - Companhia Mucury
26,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",474||Não encontrado,Apólice||Apólice de Ações nº 1744 - Companhia Mucury
27,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",473||Não encontrado,Apólice||Apólice de Ações nº 1743 - Companhia Mucury
28,03 Objetos Pecuniários,Empresários da Companhia Mucury,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",472||Não encontrado,Apólice||Apólice de Ações nº 1742 - Companhia Mucury
29,10 Comunicação > 10.1 Documento,Oficinas e Papelaria Alexandre Ribeiro S.A. (impressão),,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",471||Não encontrado,Livreto||Quem foi Júlio Benedicto Ottoni
30,10 Comunicação > 10.1 Documento,[Vigário José Alves de Mesquita],1888,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",470||Não encontrado,Comunicado||Comunicado do Vigário
31,10 Comunicação > 10.1 Documento,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",469||Não encontrado,Cartão de visitas||Sebastião José Ferreira Rabello
32,02 Artes Visuais/Cinematográfica > 02.6 Pintura,[Jordão de Oliveira],,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",468||Não encontrado,Retrato (pintura)
33,05 Interiores > 05.4 Objeto de Iluminação,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",464||Não encontrado,Lustre||Lustre de cristal
34,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",463||Não encontrado,Arco de Retábulo [fragmento]
35,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",462||Não encontrado,Arco de Retábulo [fragmento]
36,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",461||Não encontrado,Arco de Retábulo [fragmento]
37,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",460||Não encontrado,Arco de Retábulo [fragmento]
38,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",459||Não encontrado,Arco de Retábulo [fragmento]||Retábulo (arco)
39,06 Trabalho > 06.1 Equipamento Agrícola,Não identificado,2007,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",458,Machado
40,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",457||Não encontrado,Chave
41,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",456||Não encontrado,Fechadura de porta
42,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Agentes Casa Pratt Geraes Brasil,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",455||Não encontrado,Máquina de Datilografia
43,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Não Identificada,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",454,Máquina de Datilografia||Máquina Remington
44,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",453||Não encontrado,Pináculo
45,06 Trabalho > 06.4 Equipamento de Atividades Comerciais,Casa Dettori (de Angelo Dettori),,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",452||Não encontrado,Máquina Registradora
46,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,G. Saint Martin 80,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",451||Não encontrado,Trena
47,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",450||Não encontrado,Tranca de porta
48,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",449||Não encontrado,Tranca de porta
49,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",448||Não encontrado,Tranca de porta
50,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",447||Não encontrado,Tranca de porta
51,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",446||Não encontrado,Tranca de porta
52,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",445||Não encontrado,Tranca de porta
53,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",444||Não encontrado,Tranca de porta
54,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",443||Não encontrado,Tranca de porta
55,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",442||Não encontrado,Tranca de porta
56,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",441||Não encontrado,Tranca de porta
57,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",440||Não encontrado,Tranca de porta
58,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",439||Não encontrado,Tranca de porta
59,04 Construção > 04.4 Fragmento de Construção,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",438||Não encontrado,Tranca de porta
60,04 Construção > 04.4 Fragmento de Construção||Construção | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",426||Não encontrado||425,Porta
61,04 Construção > 04.4 Fragmento de Construção||Construção | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",425||Não encontrado||426,Porta
62,04 Construção > 04.4 Fragmento de Construção,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",424||Não encontrado,Balaústre
63,04 Construção > 04.4 Fragmento de Construção,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",423||Não encontrado,Balaústre
64,04 Construção > 04.4 Fragmento de Construção,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",422||Não encontrado,Balaústre
65,04 Construção > 04.4 Fragmento de Construção,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",421||Não encontrado,Balaústre
66,04 Construção > 04.4 Fragmento de Construção,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",420||Não encontrado,Balaústre
67,04 Construção > 04.4 Fragmento de Construção,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",419||Não encontrado,Balaústre
68,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",418||Não encontrado,Fechadura
69,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",417||Não encontrado,Fechadura
70,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",416||Não encontrado,Fechadura
71,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",415||Não encontrado,Fechadura
72,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",414||Não encontrado,Fechadura
73,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",413||Não encontrado,Fechadura
74,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",412||Não encontrado||410 | 411,Boquilha
75,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",411||Não encontrado||410 | 412,Boquilha
76,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1885,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",410||Não encontrado||411 | 412,Boquilha
77,11 Transporte > 11.3 Acessório de Transporte Terrestre||Acessório de Transporte | Minas Gerais | Século XIX,Não identificado,1993,"Estribo de formato circular, fundido em ferro, com encaixes vazados.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",409||Não encontrado||408,Estribo
78,11 Transporte > 11.3 Acessório de Transporte Terrestre||Acessório de Transporte | Minas Gerais | Século XIX,Não identificado,1993,"Estribo de formato circular, fundido em ferro, com encaixes vazados.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",408||Não encontrado||409,Estribo
79,08 Insígnias||Minas Gerais | Religião | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",407||Não encontrado,Resplendor
80,04 Construção > 04.4 Fragmento de Construção||Acessório de Transporte | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",405||Não encontrado||402 | 403 | 404,Argola com prego
81,04 Construção > 04.4 Fragmento de Construção||Acessório de Transporte | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",404||Não encontrado||402 | 403 | 405,Argola com prego
82,04 Construção > 04.4 Fragmento de Construção||Acessório de Transporte | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",403||Não encontrado||402 | 404 | 405,Argola com prego
83,04 Construção > 04.4 Fragmento de Construção||Acessório de Transporte | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",402||Não encontrado||403 | 404 | 405,Argola com prego
84,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Brasil | Iluminação | Minas Gerais | Século XX | Serro,AEG Cia (Alemanha),1985,"Objeto confeccionado em metal, com mostrador em vidro e partes em plástico.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",401||Não encontrado,Medidor de Luz Elétrica
85,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",399||Não encontrado,Tear (partes)
86,05 Interiores > 05.5 Peça de Mobiliário||Minas Gerais | Mobiliário | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",397||12/88 | 12/1981,Leito de casal
87,11 Transporte > 11.3 Acessório de Transporte Terrestre||Acessório de Transporte | Minas Gerais | Século XVIII/XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",396||Não encontrado||395,Arreio [fragmento] (fivela)
88,11 Transporte > 11.3 Acessório de Transporte Terrestre||Acessório de Transporte | Minas Gerais | Século XVIII/XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",395||Não encontrado||396,Arreio [fragmento] (fivela)
89,04 Construção > 04.4 Fragmento de Construção||Edificação | Minas Gerais | Século XVIII/XIX,Não identificado,,Suporte de calha em ferro fundido e retorcido.||Ornato: voluta,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",394||Não encontrado||390 | 391 | 392 | 393,Suporte de Calha
90,04 Construção > 04.4 Fragmento de Construção||Edificação | Minas Gerais | Século XVIII/XIX,Não identificado,,Suporte de calha em ferro fundido e retorcido.||Ornato: voluta,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",393||Não encontrado||390 | 391 | 392 | 394,Suporte de Calha
91,04 Construção > 04.4 Fragmento de Construção||Edificação | Minas Gerais | Século XVIII/XIX,Não identificado,,Suporte de calha em ferro fundido e retorcido.||Ornato: voluta,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",392||Não encontrado||390 | 391 | 393 | 394,Suporte de Calha
92,04 Construção > 04.4 Fragmento de Construção||Edificação | Minas Gerais | Século XVIII/XIX,Não identificado,,Suporte de calha em ferro fundido e retorcido.||Ornato: voluta,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",391||Não encontrado||390 | 392 | 393 | 394,Suporte de Calha
93,04 Construção > 04.4 Fragmento de Construção||Edificação | Minas Gerais | Século XVIII/XIX,Não identificado,,Suporte de calha em ferro fundido e retorcido.||Ornato: voluta,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",390||Não encontrado||391 | 392 | 393 | 394,Suporte de Calha
94,04 Construção > 04.4 Fragmento de Construção||Brasil | Construção | Século XIX,Não identificado,1985,Espelho de fechadura fundido em metal  (ferro) e com formato de losango.,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",389||Não encontrado,Espelho de fechadura
95,04 Construção > 04.4 Fragmento de Construção||Construção | Minas Gerais | Século XVIII/XIX,Não identificado,,"Oratório portátil, em madeira recortada e em formato de cruz. Policromia: bege, preto, cinza, amarelo, azul e vermelho.||Peça de manufatura típica da região de Minas Gerais, sobretudo com relação às rosinhas de malabar.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",388||Não encontrado,Chave
96,06 Trabalho > 06.8 Equipamento de Uso Geral||Arte e Ofícios | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",387||Não encontrado,Torquês
97,06 Trabalho > 06.8 Equipamento de Uso Geral||Artes e Ofícios | Minas Gerais | Século XVIII/XIX,Não identificado,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",384||225/94,Alicate
98,04 Construção > 04.3 Equipamento Hidráulico||Minas Gerais | Século XVIII/XIX | Usos e Costumes,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",383||Não encontrado,Torneira||Torneira de filtro
99,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Instrumento de Precisão | Minas Gerais | Século XVIII/XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",382||224/94 | 86.02,Suta
100,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Artes e Ofícios | Minas Gerais | Século XVIII/XIX,Não identificado,1985,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",381||228/94 | 86.04,Ferramenta de ourives
101,10 Comunicação > 10.2 Equipamento de Comunicação Escrita||Minas Gerais | Século XVIII/XIX | Usos e Costumes,Não identificado,1993,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",380||252/94,Quadro negro
102,09 Objetos Cerimoniais > 09.3 Objeto de Culto||Construção | Minas Gerais | Século XVIII/XIX,Não identificado,,Cruz latina confeccionada em madeira.,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",379||Não encontrado,Cruz
103,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",378||Não encontrado,Bandeira Processional
104,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",377||Não encontrado,Véu de Sacrário
105,12 Objetos Pessoais > 12.8 Peça de Indumentária,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",376||Não encontrado,Capa de Asperges||Capa de Asperges (amerela com franja)
106,05 Interiores > 05.4 Objeto de Iluminação||Brasil | Construção | Século XIX,Não identificado,,Arandela em ferro fundido.||Ornatos: motivos fitomorfos estilizados e volutas.,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",375||Não encontrado,Arandela
107,05 Interiores > 05.4 Objeto de Iluminação||Brasil | Construção | Século XIX,Não identificado,,"Lampião fundido em ferro, de estrutura trapezoidal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",374||218/94,Lampião de rua
108,05 Interiores > 05.4 Objeto de Iluminação||Iluminação | Minas Gerais | Século XVIII/XIX,Não identificado,,"Arandela em metal (ferro) e madeira, com douramento, para dois pontos de luz.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/||Federal | Tomb. em conjunto",373||Não encontrado,Arandela
