,Abrangência/ Cobertura,Assunto/ palavras-chave,Descrição,Título
10,"Local||Bahia||Santa Cruz Cabrália||-16,279474875653392   -39,02809734890011||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Celebração em homenagem à padroeira, organizada por membros freqüentadores da Igreja. É a festa mais importante da localidade. Inclui um novenário iniciado no dia 29 de novembro,  missa, procissão e festa no dia 08 de dezembro. Diferentemente de outras festas religiosas da região do MADE, a celebração não inclui feira comercial. Segundo relatos, o dia da festa tem caráter estritamente religioso. Há até 20 anos atrás, estava associada à apresentação da Chegança, que representava a devoção de marinheiros naufragados.",INRC - Museu Aberto do Descobrimento
11,"Local||Bahia||Porto Seguro||-16,42802761382557   -39,21996840240717||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Identificação,"Também inventariada em Vale Verde, no município de Porto Seguro, a Chegança é uma forma de expressão em desuso na região do Museu Aberto do Descobrimento. Suas últimas ocorrências datam da década de 70 e desde então somente em Santa Cruz Cabrália ela foi executada em 1993 e 1996. 
Também conhecida como Marujada, a Chegança é uma representação teatral da devoção de marujos à Nossa Senhora da Conceição que os teriam livrados de uma grande tempestade. Ela é composta por aproximadamente 40 homens dispostos em duas filas indianas que desembarcam no Porto da Cidade Baixa e caminham cantando ao som de pandeiros até a Igreja de Nossa Senhora da Conceição na Cidade Histórica. Durante esse percurso são representados, em vários atos, os diferentes momentos vividos pelos marujos em alto mar depois da tempestade.",INRC - Museu Aberto do Descobrimento
12,"Local||Bahia||Porto Seguro||-16,43778059128641   -39,06444363814588||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"A Semana Santa é uma celebração religiosa de calendário que envolve grande participação dos moradores de Porto Seguro. Apesar de ser celebrada com menos intensidade atualmente, é constantemente citada quando se fala das celebrações da localidade. Durante o período da Semana Santa, de quarta feira até o Domingo de Páscoa, há duas procissões, a Adoração do Senhor Morto,  a Cerimônia do lava-pés, missa, a Queima do Judas, e missa da Páscoa. Destaca-se na celebração a procissão de Nosso Senhor dos Passos (a primeira procissão) que envolve a encenação da via sacra, a  “queda” de Cristo, e a procissão do Senhor Morto, que percorre as ruas mais importantes da localidade.
Entre a segunda e a quarta feira da Semana Santa o andor de Nossa Senhora das Dores é decorado e as vestes a serem usadas na Via Sacra são arrumadas. A Igreja da Misericórdia é lavada e decorada com folhas de pitanga e angélicas.
Na quarta feira às 16h sai a primeira procissão, representando Nossa Senhora das Dores (uma das imagens de Maria) à procura de seu filho, Jesus Cristo. Essa procissão é uma encenação dos passos de Jesus rumo ao Calvário (Via Sacra). Várias pessoas passam a noite na igreja a rezar. A adoração é feita até a segunda procissão na sexta feira.
Na quinta feira há a cerimônia do lava-pés. Em seguida há a “queda” de Cristo, um ritual de desmonte da imagem de Cristo crucificado. O padre vai retirando partes de seu corpo e remontando-os em um caixão. Cada desmonte possuía um significado, explicitado pelo padre em pequenas pregações. A “queda” de Cristo é a preparação para o enterro feito no dia seguinte.
Na sexta feira, aproximadamente às 15h, há uma encenação da prisão e do julgamento de Cristo em frente à Igreja de Nossa Senhora da Pena. Em seguida, às 16h, inicia-se a procissão do Senhor Morto. Carregando o caixão de Cristo e o andor de Nossa Senhora das Dores, o cortejo da igreja da Misericórdia, passa pela Igreja de Nossa Senhora da Pena e desce para a cidade Baixa, pela Br467.  Passa pelas ruas principais da localidade e volta para a cidade Alta. Durante o trajeto, os participantes correm a rua em silêncio, com toques musicais discretos da Filarmônica.
No Sábado de Aleluia há uma missa na Igreja de Nossa Senhora da Pena; segundo uma das entrevistadas, tem sido costume do padre levar uma grande vela branca até a praça após a celebração e, no mesmo local, faz-se uma fogueira. Há também a queima de Judas, brincadeira tradicional onde um boneco representando o traidor de Cristo é queimado. A queima atualmente acontece sobretudo na Cidade Alta.
No Domingo de Páscoa há a celebração de uma missa e comemoração em família.",INRC - Museu Aberto do Descobrimento
13,"Local||Bahia||Porto Seguro||-16,44988163364292   -39,062195946993576||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"A passarela do Álcool é o nome dado a um trecho do “calçadão” de pedras portuguesas e paralelepípedos, construído na Avenida Portugal, na área sudeste de Porto Seguro. Este trecho possui aproximadamente 300 a 400 metros, sendo que só existem casas construídas de frente para a orla (foram contadas por volta de 75 casas). Defronte às edificações, formando um corredor com largura média de 10 metros, são montadas todos os dias, aproximadamente 150 barracas que comercializam objetos, alimentos e bebidas para o mercado turístico da cidade. O extremo norte da Passarela é demarcado, segundo relatos, pelo Restaurante de Tia Nenzinha, e o extremo sul pelo início do beco que conduz à Praça da Bandeira.",INRC - Museu Aberto do Descobrimento
14,"Nacional||Bahia||Santa Cruz Cabrália||-16,33434894262017   -39,00881696163277||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"Coroa Vermelha, faixa litorânea ao sul do município de Santa Cruz Cabrália, correspondente à Terra Indígena de Coroa Vermelha (Gleba A). A área de aproximadamente 70 ha está limitada ao norte pelo braço direito do rio Mutari, a oeste pela BR-367 e ao sul pela Ponta do Mutá. Como representado pela Cruz monumental ali erigida, trata-se de lugar relevante à formação da nacionalidade brasileira por ter sido o local da Primeira Missa, uma “paisagem monumento” que evoca os fatos ocorridos no istmo e no ilhéu em 26 de abril, domingo de Páscoa, do ano de 1500.
Coroa Vermelha está inserida no processo de urbanização de Santa Cruz Cabrália, voltada ao turismo, como bem revela o Projeto Orla. Sua configuração contemporânea corresponde ao complexo sistema de relações inter-étnicas, marcadas por conflitos mal resolvidos entre índios, não-índios e agências governamentais. Alvo de múltiplos interesses, inserida em área de grande especulação imobiliária, faz parte de parque temático, definido pelo Prodetur como Área de Proteção Ambiental e de Terra Indígena.
Para os pataxós, sua presença em Coroa Vermelha (local bastante procurado pelos turistas) é poderoso elemento de legitimação de seus direitos, de sua identidade e de sua subsistência, sobretudo no que se refere à produção e à comercialização de seu artesanato. A Aldeia de Coroa Vermelha se define por três características básicas indissociáveis: 1) no plano econômico, pela absoluta prevalência da produção e do comércio de artesanato voltado para o público turista, ao qual se agregam outras modalidades de comércio e serviços, como comidas e bebidas; 2) no plano espacial, caracteriza-se por dispor de duas áreas de ocupação distintas, uma delas urbanizada; 3) no plano das representações simbólicas, trata-se do lugar histórico do encontro inaugural entre portugueses e indígenas, e, em especial, o lugar onde esse encontro viveu seu contexto maior de realização ritual.",INRC - Museu Aberto do Descobrimento
15,"Local||Distrito Federal||Brasília||-15,621141662437918   -47,65867944321734||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"A Festa das Iyábás do Ilê Axé Odé Opó Inlé, dirigido por Pai Aurélio de Oxóssi, ocorre uma vez ao ano, mais precisamente no mês de Dezembro. Esta festividade procura homenagear os Orixás femininos que fazem parte do panteão cultuado no local.
Nesta celebração são realizados ritos específicos a estas entidades femininas e a um ente masculino em particular que, baseado nas lendas iorubanas, supostamente participava de ritos femininos. As citadas divindades são homenageadas com danças específicas, comidas típicas, rezas, dentre outros. Os seguintes entes sobre humanos são postos em destaque: Oxum, Yemanjá, Obá, Yewá, Nanã, Oyá e Logun Edé. 
Logun Edé é o único Orixá masculino homenageado nesta celebração, devido seu caráter dualista, não sendo este ente hermafrodito como, ás vezes, é difundido. Logun Edé é filho de Oxóssi e Oxum, então herdou características de seus pais mitológicos, segundo a mitologia Iorubana este desenvolve atividades de caça com seu pai Oxossi; considerado o mais habilidoso caçador, e herdou a beleza e magia de sua mãe Oxum.
O mito que justifica a entrada de Logun-Edé na festa das Iyábás consiste na narrativa de que este se infiltrou em reunião que somente as Iyábás poderiam entrar. Assim se dá a inclusão desta entidade masculina em uma celebração propriamente feminina.",INRC - Matrizes Africanas no DF e entorno
16,"Local||Distrito Federal||Brasília||-15,621110664791685   -47,65870090089006||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Ao entrar na “vida-de-santo”, os adeptos são iniciados e passam parte de seu tempo praticando, conhecendo e estudando os ritos da Umbanda ou do Candomblé. Mãe Altair assim o fez. Alguns, conforme creem, portam a missão de exercer o sacerdócio, esta é uma compreensão comum entre a Umbanda e o Candomblé, e Mãe Altair cumpriu o rito que lhe confere o direito de exercer tal missão. A equipe de pesquisa teve a oportunidade de acompanhar a Feitura de Mãe-de-santo da sacerdotisa citada.
Num rito dirigido por Mãe Rita de Yemanjá, mãe-de-santo de Altair, esta recebeu a obrigação que lhe confere os direitos de dirigir sua própria casa de culto. Anterior a obrigação de Mãe Altair, a casa, Tenda Espírita Caboclo Ventania da Mata, era dirigida por Mãe Preta que veio a falecer recentemente.  Altair foi preparada por Mãe Rita para suceder Mãe Preta na direção da casa.
O Ritual contou com a presença de muitas pessoas, foram tocadas cantigas específicas para os Orixás. A nova Mãe-de-santo, estava sendo apresentada a comunidade que freqüenta a casa, e aos próprios adeptos, como a nova autoridade espiritual daquele lugar de culto. A cerimônia foi conduzida por Mãe Rita, que entoava os cânticos evocatórios e as saudações aos Orixás da Umbanda que, saudados e evocados, se manifestavam um a um em seus respectivos médiuns. O ritual contou com a manifestação de muitos entes sobre humanos: Yemanjá, Iansã e Oxossi. Este também foi caracterizado com suas vestes específicas.
Mãe Altair participava do rito por meio do transe dos Orixás. Primeiramente regida por Xangô que, no momento, se encontrava caracterizado com suas vestes rituais. Xangô é tido como o Orixá da Justiça na liturgia da Umbanda e do Candomblé. Durante a cerimônia, o referido Orixá fez suas tradicionais danças e atos e veio cumprimentar o público e saudar os fiéis. 
Depois da despedida de Xangô, Mãe Altair foi reconduzida aos aposentos internos da casa-de-santo e mais tarde voltou sob a regência do Orixá Iansã que também se encontrava caracterizada com suas vestes tradicionais. Na Umbanda, esse Orixá é interpretado como sendo a senhora das ventanias e, comumente, associada com Santa Bárbara. Durante o ritual, Iansã dançou e comprimento seu convidados, foi quando Mãe Rita saudou mais uma vez os Orixás com cânticos e louvores e deu por encerrado o rito.
Após o encerramento, como de costume, um jantar foi servido para que os convidados pudessem interagir e cumprimentar a nova líder espiritual da Tenda Espírita Caboclo Ventania da Mata.",INRC - Matrizes Africanas no DF e entorno
17,"Local||Goiás||Águas Lindas de Goiás||-15,754150577424534   -48,262005392412284||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"Saída pública que consagra o iniciado (Muzenza) do candomblé de angola da casa de Tata Ngunz’tala. Por três vezes o noviço aparece para o público que assiste sua consagração. Na primeira saída se apresenta vestido e pintado de branco com Icodidé (penacho) amarrado na cabeça com palha da costa. É também o momento que, em reverência, o iniciado bate paó (palmas) para os lugares sagrados da casa.
Na segunda saída, o Muzenza aparece vestido com roupas e corpo coloridos. Uma pessoa que não pertence a casa é convidada para rogar ao inquice que revele o nome do iniciado.
Caracterizado com as roupagens do Inquice, o Muzenza saiu pela última vez. Durante os últimos atos, rememoram-se os atributos e história do Inquice que dançará no ritual cantado em seu louvor.",INRC - Matrizes Africanas no DF e entorno
18,"Local||Goiás||Santo Antônio do Descoberto||-15,94928110133402   -48,26954821576454||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Identificação,"A celebração identificada consiste na saída de um Iyawô desde o Ilê Axé Bará Leji. O Iyawô é um novo iniciado, esta iniciação é um processo que dura cerca de vinte e um dias. A saída ocorre no Barracão-de-santo e os principais ritos fechados ocorrem nos quartos-de-santo.
A cerimônia é dividida basicamente em duas partes: em um primeiro momento, o da iniciação propriamente dita, o iniciado fica isolado do convívio social, passando por determinados rituais que o consagram um novo membro daquela sociedade religiosa. Desses ritos participam apenas os membros da sociedade religiosa e iniciados. O segundo momento é o da saída; momento onde o noviço consagrado a seu Orixá, que no caso específico é Omolu, é apresentado a toda a sociedade do Candomblé como um novo iniciado.
A saída, por sua vez, divide-se em três partes: a primeira, chamada pelos adeptos de saída de Oxalá, é quando o neófito se apresenta com uma vestimenta totalmente branca e seu corpo pintado com Efun (pó de argila branca) representando a reverência a Oxalá. O Orixá dança as cantigas próprias de iniciação e depois é levado de volta ao quarto-de-santo. A segunda parte é chamada Sarapokan, na qual o novato se apresenta com uma vestimenta estampada nas cores próprias do Orixá iniciado. Na seqüência o santo dança e logo após é recolhido de volta ao quarto-de-santo. A terceira, e última, parte do rito é chamada de saída de luxo, onde o Orixá iniciado se apresenta aparamentado, com suas vestes completas, ferramentas e adereços peculiares. Nesse momento o Orixá dança e reproduz seus atos específicos, também os cânticos entoados são próprios daquele Orixá.
Depois do rito, é servido um jantar para que os adeptos possam interagir com os amigos e convidados. A comida também é uma maneira de fazer com que o corpo, após os trabalhos espirituais, volte a se integrar em totalidade com o mundo material.",INRC - Matrizes Africanas no DF e entorno
19,"Local||Distrito Federal||Brasília||-15,654792013621028   -47,791384423090896||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Identificação,"Segundo entrevista com mãe Ângela que é a sacerdotisa da casa de Umbanda, Templo do Sol Nascente da Décima Terceira Hierarquia Umbandística e com pai Jesildo que é o doutrinador da casa, ""o referencial que torna um local sagrado na vertente religiosa de mãe Ângela é a sagração do lugar. Existe uma diferença entre o que é divino e o que é sagrado. O Divino vem direto do grande pai, Deus, já o que é sagrado, é tudo aquilo que é feito pelo homem em homenagem a Deus; assim, na ritualística de mãe Ângela e pai Jesildo, o local sagrado por excelência é o altar. Dentro do altar está conectado, pela sagração e pela própria mensagem passada pelos santos ou Orixás, um ponto de observação onde a pessoa vai firmar sua mente diante da sua fé. Outro lugar sagrado é a camarinha, pois se fizer uma comparação com a antiga religião hebraica, a camarinha seria equivalente ao sanctum sanctorium, o local onde só poderia entrar o sacerdote, nela só entra quem já fez as consagrações ou a quem é permitido que se entre, não é um lugar de visitação. Para mãe Ângela, o local onde se realizam as assistências, onde os médiuns trabalham, que seria o Templo mais propriamente, também é um local sagrado em sua ritualística religiosa"".
Dentro da religião do Templo do Sol, todos andam com o pé no chão,Dentro da religião isso significa uma canalização de energia e uma forma de “dispersamento” da energia fazendo com que o corpo humano seja um fio terra em contato com os pés no chão estando abertos a essa dispersão. Na questão da humildade, o indivíduo tem que se portar como se ele fosse o mais humilde dos seres do planeta, então deve se apresentar descalço.
Essas poucas características exemplificam bem o caráter sincrético da Umbanda como religião de matriz africana porém brasileira.",INRC - Matrizes Africanas no DF e entorno
