,Abrangência/ Cobertura,Descrição,Título
10,Maranhão,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||O Maranhão possui um rico patrimônio arqueológico distribuído por inúmeras regiões do Estado, com sua diversidade marcada pela diferentes ocupações de áreas amazônicas, de cerrado, das matas dos cocais e litorâneas. Esta diversidade ecológica se apresenta na variabilidade dos sítios arqueológicos que se encontram no Estado, dos grupos sambaquieiros do litoral, proto-tupis e tupis do litoral e interior, até os sítios rupestres frequentemente encontrados na região de Carolina, no sudoeste do Estado., A diversidade de paisagens foi o cenário para a ocupação de diferentes culturas, ao longo do tempo, cujos vestígios são considerados bens de natureza arqueológica, constituindo um valioso patrimônio cultural. O conhecimento sobre os povos que ocuparam o Maranhão no período anterior a presença do colonizador europeu ainda é fragmentado e se restringe a poucas áreas, mas isto está se modificando com o aumento do número de estudos arqueológicos, nos últimos anos, em decorrência da intensificação da fiscalização do Iphan sobre a implantação de obras e empreendimentos modificadores do meio físico.",Patrimônio Arqueológico - MA
11,Paraíba,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||Os povos Tabajara e Tapuia (que viviam no interior) e os Potiguar (que habitavam o norte da Paraíba) são três das etnias indígenas dominantes e primeiros habitantes do Estado. Assim, há grande diversidade e importantes ocorrências arqueológicas na Paraíba, com 149 sítios cadastrados. A , , no município de mesmo nome, é um dos sítios arqueológicos mais importantes do Brasil e tombado pelo Iphan. Possui um conjunto de inscrições rupestres em baixo-relevo, cuja origem, datação e significado até hoje são desconhecidos. Outro sítio arqueológico bastante relevante foi localizado no município de Pilões - um cemitério indígena da tradição Aratú.,||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)||Sítio Arqueológico Itacoatiaras do Rio Ingá (PB)",Patrimônio Arqueológico - PB
12,Pernambuco,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||O patrimônio arqueológico de Pernambuco possuía, até 2014, 506 sítios cadastrados. Com a expansão das obras infraestruturais, no Estado, tem ocorrido um aumento significativo nas pesquisas arqueológicas realizadas no âmbito do licenciamento ambiental, o que tem possibilitado a coleta de dados sobre áreas antes pouco conhecidas arqueologicamente. Na arqueologia histórica, a pesquisa realizada pela Universidade Federal de Pernambuco (UFPE) no chamado Forte Orange, demonstrou que o verdadeiro Forte Orange holandês encontra-se sob a construção da estrutura que resiste até os dias atuais, a portuguesa Fortaleza de Santa Cruz., O Parque Nacional do Vale do Catimbau, localizado no município de Buique (sertão pernambucano), abriga os mais importantes conjuntos de pintura rupestre do Estado. O Vale do Catimbau, com 62 mil hectares, só perde em extensão para o Parque Nacional da Serra da Capivara, no Piauí. Na região do município do Brejo da Madre de Deus há sítios arqueológicos onde foram encontrados sepultamentos humanos com contextos de preservação excelentes, de um potencial informativo que está entre os mais significativos para a pré-história brasileira.",Patrimônio Arqueológico - PE
13,Piauí,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||O Piauí possui mais de 1.800 sítios arqueológicos registrados pelo Iphan, entre eles a Floresta Fóssil do Rio Poti, localizada no município de Teresina e tombada como bem paleontológico, em 2003. Na região sudeste do Estado, está o , tombado pelo Iphan, em 1993, edeclarado Patrimônio Mundial Cultural, pela Unesco, em 1991. Outro importante cenário arqueológico é o , , criado em 1961 e localizado no município de Piracuruca. Dezenas de sítios com vestígios da pré-história da América Latina foram cadastrados pelo Iphan nessa área, onde os processos erosivos ocorrem há 190 milhões de anos. Na chamada Primeira Cidade, está a Piscina dos Milagres (que nunca deixou de jorrar, mesmo durante os períodos de secas mais severas), além do Salão do Pajé onde é possível observar inscrições rupestres e grupamentos de rochas que parecem formar pequenas cidades, separadas entre si.,||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)||Pinturas rupestres no Parque Nacional Sete Cidades, município de Piracuruca (PI)",Patrimônio Arqueológico - PI
14,Rio Grande do Norte,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||No Rio Grande do Norte existe uma quantidade considerável de sítios arqueológicos. No litoral predominam os sítios de superfície e no interior há grande quantidade de arte rupestre. A Superintendência promoveu a socialização dos sítios de Xique-Xique I e II, e outros três sítios estão sendo preparados para receber visitantes, com a implantação de passarelas e ações de Educação Patrimonial. Até dezembro de 2014 estavam cadastrados 299 sítios no Estado.,",Patrimônio Arqueológico - RN
15,Sergipe,"Com um total de 4.767 sítios cadastrados, no Nordeste estão localizados seis dos 17 bens arqueológicos tombados pelo Iphan, sendo dois no Maranhão, e um em Alagoas, Ceará, Paraíba e Piauí. Entre os sítios está o Geopark do Araripe, no Ceará, que integra a Rede Mundial de Geoparks – estabelecida pela Unesco em 2004 – único reconhecido na América do Sul.  ||É grande o potencial arqueológico de Sergipe e até dezembro de 2014 estavam cadastrados 155 sítios. A maior parte deles está localizada às margens do rio São Francisco, na região de Xingó, onde se destacam os conjuntos de pinturas rupestres. No sítio arqueológico do Xingó, desde as escavações que criaram o grande lago da hidrelétrica, o Iphan mantém trabalho permanente para inventariar as peças e coleções resgatadas. Todo o acervo está reunido no Museu de Arqueologia de Xingó. Este trabalho é desenvolvido em parceria com a Universidade Federal de Sergipe., \r\n,",Patrimônio Arqueológico - SE
16,"Os registros pré-históricos mais antigos do País estão entre os cadastrados em Mato Grosso do Sul, e indicam a presença de grupos ceramistas e horticultores. O Estado abriga ainda o Geopark Bodoquena-Pantanal, criado pelo Decreto Estadual n° 12.897, de 22 de dezembro de 2009 e aguarda reconhecimento da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco). O Distrito Federal possui sítios arqueológicos que apresentam diversidade de sítios líticos (locais utilizados pelo homem para a fabricação de objetos em pedra), cerâmicos, de arte rupestre, cemitérios e do período colonial. ","No Centro-Oeste estão 2.741 sítios arqueológicos, dentre eles alguns que indicam a presença humana há 25 mil anos na região. Os sítios de Goiás se destacam pelas grutas com pinturas e gravuras, como as de Serranópolis, e os sítios de grandes aldeias, de acampamentos, de cemitérios e oficinas líticas que comprovam a presença indígena no território. Em Mato Grosso, está o segundo sítio mais antigo do Brasil, o Sítio Arqueológico Santa Elina, na Serra das Araras, município de Jangada. Lá, as pesquisas comprovaram a presença humana, há mais de 25 mil anos, e foi encontrada a ossada de uma preguiça gigante, extinta há 10 mil anos.||Patrimônio Arqueológico - DF",Distrito Federal
17,"Os registros pré-históricos mais antigos do País estão entre os cadastrados em Mato Grosso do Sul, e indicam a presença de grupos ceramistas e horticultores. O Estado abriga ainda o Geopark Bodoquena-Pantanal, criado pelo Decreto Estadual n° 12.897, de 22 de dezembro de 2009 e aguarda reconhecimento da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco). O Distrito Federal possui sítios arqueológicos que apresentam diversidade de sítios líticos (locais utilizados pelo homem para a fabricação de objetos em pedra), cerâmicos, de arte rupestre, cemitérios e do período colonial. ","No Centro-Oeste estão 2.741 sítios arqueológicos, dentre eles alguns que indicam a presença humana há 25 mil anos na região. Os sítios de Goiás se destacam pelas grutas com pinturas e gravuras, como as de Serranópolis, e os sítios de grandes aldeias, de acampamentos, de cemitérios e oficinas líticas que comprovam a presença indígena no território. Em Mato Grosso, está o segundo sítio mais antigo do Brasil, o Sítio Arqueológico Santa Elina, na Serra das Araras, município de Jangada. Lá, as pesquisas comprovaram a presença humana, há mais de 25 mil anos, e foi encontrada a ossada de uma preguiça gigante, extinta há 10 mil anos.||Patrimônio Arqueológico - GO",Goiás
18,"Os registros pré-históricos mais antigos do País estão entre os cadastrados em Mato Grosso do Sul, e indicam a presença de grupos ceramistas e horticultores. O Estado abriga ainda o Geopark Bodoquena-Pantanal, criado pelo Decreto Estadual n° 12.897, de 22 de dezembro de 2009 e aguarda reconhecimento da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco). O Distrito Federal possui sítios arqueológicos que apresentam diversidade de sítios líticos (locais utilizados pelo homem para a fabricação de objetos em pedra), cerâmicos, de arte rupestre, cemitérios e do período colonial. ","No Centro-Oeste estão 2.741 sítios arqueológicos, dentre eles alguns que indicam a presença humana há 25 mil anos na região. Os sítios de Goiás se destacam pelas grutas com pinturas e gravuras, como as de Serranópolis, e os sítios de grandes aldeias, de acampamentos, de cemitérios e oficinas líticas que comprovam a presença indígena no território. Em Mato Grosso, está o segundo sítio mais antigo do Brasil, o Sítio Arqueológico Santa Elina, na Serra das Araras, município de Jangada. Lá, as pesquisas comprovaram a presença humana, há mais de 25 mil anos, e foi encontrada a ossada de uma preguiça gigante, extinta há 10 mil anos.||Patrimônio Arqueológico - MT||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/01_sitio_arqueologico_de_pedra_preta___paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/02_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/03_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/04_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/05_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/06_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/07_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/MT_ARQ/08_sitio_arqueologico_de_pedra_preta__paranaita_mt__foto_acervo_iphan.jpg",Mato Grosso
19,"Os registros pré-históricos mais antigos do País estão entre os cadastrados em Mato Grosso do Sul, e indicam a presença de grupos ceramistas e horticultores. O Estado abriga ainda o Geopark Bodoquena-Pantanal, criado pelo Decreto Estadual n° 12.897, de 22 de dezembro de 2009 e aguarda reconhecimento da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco). O Distrito Federal possui sítios arqueológicos que apresentam diversidade de sítios líticos (locais utilizados pelo homem para a fabricação de objetos em pedra), cerâmicos, de arte rupestre, cemitérios e do período colonial. ","No Centro-Oeste estão 2.741 sítios arqueológicos, dentre eles alguns que indicam a presença humana há 25 mil anos na região. Os sítios de Goiás se destacam pelas grutas com pinturas e gravuras, como as de Serranópolis, e os sítios de grandes aldeias, de acampamentos, de cemitérios e oficinas líticas que comprovam a presença indígena no território. Em Mato Grosso, está o segundo sítio mais antigo do Brasil, o Sítio Arqueológico Santa Elina, na Serra das Araras, município de Jangada. Lá, as pesquisas comprovaram a presença humana, há mais de 25 mil anos, e foi encontrada a ossada de uma preguiça gigante, extinta há 10 mil anos.||Patrimônio Arqueológico - MS",Mato Grosso do Sul
20,Espírito Santo,"No Sudeste, com 3.347 cadastros, está o registro da descoberta do mais antigo fóssil humano das Américas: o crânio de “Luzia” – como foi batizado – encontrado em 1975, em Minas Gerais. O Estado possui, ainda, milhares de sítios pré-coloniais, entre grutas, cavernas e áreas remanescentes de povos indígenas. Em São Paulo, destaca-se o sítio arqueológico situado nas ruínas do Engenho de São Jorge dos Erasmos, do século XVI, em Santos, litoral paulista, que comprova a existência da etnia Tupinambá na região. O Rio de Janeiro possui, entre seus sítios arqueológico, o Sambaqui de Camboinhas, em Niterói, com mais de sete mil anos. No Espírito Santo, os sítios arqueológicos são marcados por vestígios de ocupação indígena.||Os sítios arqueológicos brasileiros e todos os artefatos neles encontradossão considerados parte do Patrimônio Cultural Brasileiro, conforme a Lei nº 3.924 de 1961 e o Art.216 da Constituição Federal. Pela legislação, todos os sítios, até mesmo os que ainda não foram identificados, são considerados bens da União, cabendo ao Iphan realizar a proteção e fiscalização dos mesmos. Também é responsabilidade do Iphan autorizar a realização de pesquisas em qualquer sítio ou local onde estes possam se encontrar, sendo que esta atividade só pode ser realizada por arqueólogos., No Espírito Santo, há 550 sítios arqueológicos cadastrados, a maior parte situada na região costeira, sobretudo no norte do Estado, nos municípios de Linhares, São Mateus e Conceição da Barra. A região metropolitana de Vitória, principalmente Serra, Vitória, Vila Velha e Cariacica, também apresenta um grande potencial arqueológico, onde há mais de 80 sítios arqueológicos cadastrados.||Acervo Iphan",Patrimônio Arqueológico  -  ES
21,Minas Gerais,"No Sudeste, com 3.347 cadastros, está o registro da descoberta do mais antigo fóssil humano das Américas: o crânio de “Luzia” – como foi batizado – encontrado em 1975, em Minas Gerais. O Estado possui, ainda, milhares de sítios pré-coloniais, entre grutas, cavernas e áreas remanescentes de povos indígenas. Em São Paulo, destaca-se o sítio arqueológico situado nas ruínas do Engenho de São Jorge dos Erasmos, do século XVI, em Santos, litoral paulista, que comprova a existência da etnia Tupinambá na região. O Rio de Janeiro possui, entre seus sítios arqueológico, o Sambaqui de Camboinhas, em Niterói, com mais de sete mil anos. No Espírito Santo, os sítios arqueológicos são marcados por vestígios de ocupação indígena.||A arqueologia brasileira iniciou-se no território de Minas Gerais, ainda no século XIX, com o naturalista dinamarquês Peter , Lund,que descobriu os primeiros sítios arqueológicos na região de Lagoa Santa e Matozinhos e é considerado o “Pai da Arqueologia” no Brasil. Sítio Arqueológico é um local onde se encontram vestígios das pessoas que viveram no passado. Esses vestígios revelam as atividades e a cultura de homens e mulheres, identificados nos restos de construções, alimentação, instrumentos de trabalho, armas, enfeites e pinturas., A Lapa da Cerca Grande, localizada no município de Matozinhos (distrito de Mocambeiros), foi tombada e inscrita pelo Iphan, em 1962, no Livro do Tombo Arqueológico, Etnográfico e Paisagístico. É um maciço calcário que se localiza na região do Rio das Velhas. Em 1837, foi visitada por Lund, que encontrou restos de muitos animais extintos do período Pleistoceno. Uma das grutas apresenta cerca de 100 desenhos rupestres, representando cenas de caça e animais existentes na região.||Paredão de Cerca Grande - Matozinhos (MG)||Paredão de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos||Grafismo rupestre de Cerca Grande - Matozinhos||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Grafismo rupestre - Abrigo de Cauaia - Pedro Leopoldo (MG)||Pintura rupestre - Sitio Arqueológico Mirandinha - Mariana (MG)||Pintura rupestre - Sitio Arqueológico Mirandinha - Mariana (MG)||Grafismo rupestre de Cerca Grande - Matozinhos (MG)||Pinturas rupestres em Lapinha - Santana do Riacho (MG)||Pinturas rupestres em Lapinha - Santana do Riacho (MG)||Pinturas rupestres em Lapinha - Santana do Riacho (MG)||Pinturas rupestres em Lapinha - Santana do Riacho (MG)||Pinturas rupestres em Lapinha - Santana do Riacho (MG)",Patrimônio Arqueológico - MG
22,Patrimônio Arqueológico - PR,Paraná||http://portal.iphan.gov.br/pagina/detalhes/658/,"O Paraná possui1304 sítios arqueológicos cadastradospelo Iphan. Os sítios líticos de caçadores e coletores datam de aproximadamente 8.000 anos; os cerâmicos de horticultores e ceramistas têm 2.000 anos. Existem sambaquis, pinturas e inscrições rupestres, além de sítios históricos registrados a partir do século XVI, como as reduções jesuíticas de Nossa Senhora de Loreto e de Santo Inácio Mini e as cidades espanholas Ciudad Real del Guairá e Villa Rica del’ Espiritu Santo I e II; e os caminhos históricos da Graciosa, do Itupava e do Arraial, que ligavam o litoral ao planalto curitibano."
23,Patrimônio Arqueológico - RS,Rio Grande do Sul||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/02_ruinas_da_igreja_de_sao_miguel__sao_miguel_das_missoes_rs_foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/03_ruinas_da_igreja_de_sao_miguel__sao_miguel_das_missoes_rs_foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/04_cruz_missioneira_e_ruinas_da_igreja_de_sao_miguel__foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/04_ruinas_da_igreja_de_sao_miguel_leonid_streliaev.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/05_ruinas_da_igreja_de_sao_miguel__sao_miguel_das_missoes_rs_foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/06_ruinas_da_igreja_de_sao_miguel_sao_miguel_das_missoes_rs_foto_acervo_iphan_eduardo_tavares.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/07_ruinas_da_igreja_de_sao_miguel__sao_miguel_das_missoes_rs_foto_acervo_iphan_reflexo_c.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/08_ruinas_da_igreja_de_sao_miguel__sao_miguel_das_missoes_rs_foto_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/09_ruinas_da_igreja_de_sao_miguel__sao_miguel_das_missoes_rs_foto_acervo_iphan(2).jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/010_ruinas_da_igreja_de_sao_miguel__reflexo_c._goldgrub.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/011_ruinas_da_igreja_de_sao_miguel__eduardo_tavares.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/012_ruinas_da_igreja_de_sao_miguel__leonid_streliaev.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/013_cruz_missioneira_e_ruinas_da_igreja_de_sao_miguel__acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/014_ruinas_da_igreja_de_sao_miguel__reflexo_c._goldgrub.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/015_ruinas_da_igreja_de_sao_miguel___reflexo__c._goldgrub.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/016_ruinas_da_igreja_de_sao_miguel__reflexo__c._goldgrub.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/017_ruinas_da_igreja_de_sao_miguel__reflexo__c._goldgrub.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/018_ruinas_da_igreja_de_sao_miguel__acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/019_ruinas_da_igreja_de_sao_miguel__leonid_streliaev.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/020_ruinas_da_igreja_de_sao_miguel__leonid_streliaev.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/021_ruinas_da_igreja_de_sao_miguel__leonid_streliaev.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/022_ruinas_da_igreja_de_sao_miguel__reflexo__c._goldgrub.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/023_ruinas_da_igreja_de_sao_miguel__everton_balardin.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/024_museu_das_missoes__acervo_iphanemi.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/025_museu_das_missoes__vladimir_stello.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Luiz_Gonzaga/025_ruinas_da_igreja_de_sao_lourenco_sao_luiz_gonzaga_rs_miguel_oliveira.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Luiz_Gonzaga/026_ruinas_da_igreja_de_sao_lourenco__sao_luiz_gonzaga_rs_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Luiz_Gonzaga/027_ruinas_da_igreja_de_sao_batista__sao_luiz_gonzaga_rs_vladimir_stello.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Santo_Angelo/028_ruinas_da_igreja_de_sao_joao_batista__santo_angelo_eduardo_tavares.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Luiz_Gonzaga/029_ruinas_da_igreja_de_sao_lourenco_sao_luiz_gonzaga_rs_acervo_iphan.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/030_ruinas_da_igreja_de_sao_miguel__vladimir_stelloi.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/031_ruinas_da_igreja_de_sao_miguel__reflexo_c.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/032_ruinas_da_igreja_de_sao_miguel__reflexo_c.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/033_ruinas_da_igreja_de_sao_miguel__reflexo_c.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/RS_Sao_Miguel_das_Missoes/034_torre_da_igreja_de_sao_miguel__everton_balardin.jpg||http://portal.iphan.gov.br/pagina/detalhes/665/,"A pesquisa arqueológica é uma tradição no Rio Grande do Sul, o que garantiu ao Estado a posição de liderança no registro dos sítios. São 3.263 sítios cadastrados no Iphan e merece destaque, também, a atuação do Instituto Anchieta de Pesquisas da Universidade do Vale do Rio dos Sinos (Unisinos) que, há mais de 50 anos, realiza pesquisas teóricas e escavações. Diversas outras universidades atuam na área e oferecem cursos de graduação e pós-graduação."
24,Patrimônio Arqueológico - SC,Santa Catarina||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/SC_Florianopolis/ilha_do_campeche.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Destaques-da-Home/Banners_Destaques/img_5228.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/SC_Sao_Franc_Sul/img_5225.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Banners/subsite_iphan_santacatarina/img_5110.jpg||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/SC_Eventos/visita_alunos_escola_dilma.png||http://portal.iphan.gov.br/uploads/ckfinder/images/Diversas/SC_Sao_Franc_Sul/palestra_alunos_escola_dilma.png||http://portal.iphan.gov.br/pagina/detalhes/670/,"A Superintendência do Iphan em Santa Catarina cadastrou, até 2014, 1471 sítios arqueológicos no Estado, onde estão os maiores sítios do tipo sambaqui do mundo. É possivel encontrá-los em toda a região costeira, mas as regiões de Laguna e Jaguaruna destacam-se com as maiores formações conhecidas no Estado. O sítio de Garopaba do Sul, em Jaguaruna, é um dos mais extensos, reunindo sambaquis, sítios líticos e cerâmicos. Outra área de grande importância arqueológica éa Ilha do Campeche - tombada pelo Iphan em 1998- pertence ao município de Florianópolis e abriga algumas das mais importantes incrições rupestres do Brasil."
