,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
10,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Yamada Toki,Século XIX,"Prato de sobremesa confeccionado em porcelana branca, pintada com motivos decorativos em japonaiserie.",436||308 | 435,Xícara de chá [com pires]
11,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Yamada Toki,Século XIX,"Prato de sobremesa confeccionado em porcelana branca, pintada com motivos decorativos em japonaiserie.",435||308 | 436,Prato de sobremesa
12,Inglaterra,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Inglaterra | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Prato de sobremesa, de formato circular, de origem inglesa, com motivos decorativos orientais.",434||612 | 613 | 614 | 615,Prato de sobremesa
13,Inglaterra,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Inglaterra | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Prato de sobremesa, de formato circular, de origem inglesa, com motivos decorativos orientais.",433||612 | 613 | 614 | 616,Prato de sobremesa
14,Inglaterra,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Inglaterra | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Prato de sobremesa, de formato circular, de origem inglesa, com motivos decorativos orientais.",432||612 | 614 | 615 | 616,Prato de sobremesa
15,Inglaterra,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Inglaterra | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Prato de sobremesa, de formato circular, de origem inglesa, com motivos decorativos orientais.",431||612 | 613 | 615 | 616,Prato de sobremesa
16,Inglaterra,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Inglaterra | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Prato de sobremesa, de formato circular, de origem inglesa, com motivos decorativos orientais.",430||613 | 614 | 615 | 616,Prato de sobremesa
17,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Xícara com pires, confeccionada em porcelana branca fina, pintada, de origem japonesa, de pequeno porte, com motivos decorativos em japonaiserie.",429||86 | 89 | 90 | 273 | 426 | 427 | 428,Xícara de café
18,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Xícara com pires, confeccionada em porcelana branca fina, pintada, de origem japonesa, de pequeno porte, com motivos decorativos em japonaiserie.",428||86 | 89 | 90 | 273 | 426 | 427 | 429,Xícara de café
19,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Xícara com pires, confeccionada em porcelana branca fina, pintada, de origem japonesa, de pequeno porte, com motivos decorativos em japonaiserie.",427||86 | 89 | 90 | 273 | 426 | 428 | 429,Xícara de café
20,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Xícara com pires, confeccionada em porcelana branca fina, pintada, de origem japonesa, de pequeno porte, com motivos decorativos em japonaiserie.",426||86 | 89 | 90 | 273 | 427 | 428 | 429,Xícara de café
21,[França?],12 Objetos Pessoais > 12.3 Artigo de Toalete||Brasil | Século XIX | Usos e Costumes,Não identificado,Século XIX,"Objeto confeccionado em porcelana pintada e dourada, ornado na tampa por paisagens campestres e arrematada por alça. Policromia: verde, azul, amarelo, vermelho e rosa.",425,Caixa de Cosmético
22,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro amarelo com ornatos em dourado, com suporte em metal, composto por duas garrafas com tampa e quatro copos com alça.","424||276 | 303 | 304 | 305 | 306 | 307,",Suporte de Licoreiro
23,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro pintado, gravado e dourado, de formato cilíndrico e fundo chato e liso.",423,Copo
24,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro pintado, gravado e dourado, de formato cilíndrico e fundo chato e liso.",422,Copo
25,Brasil > [Rio de Janeiro?],02 Artes Visuais/Cinematográfica > 02.6 Pintura,Edouard Vienot | Morisset,Século XIX > 2ª metade,"Pintura a óleo sobre tela, representando Delfina Leocádia Magalhães. Policromia: preto, verde, castanho, branco, vermelho.",420||600,Retrato (Pintura)||Delfina Leocádia Magalhães
26,Brasil > Minas Gerais,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Brasil | Minas Gerais | Ofícios | Século XIX | Século XVIII,Não identificado,Século XIX | Século XX,"Objeto confeccionado em madeira, composto por lâmina de metal para aplainar estruturas.",411,Plaina
27,Brasil > Minas Gerais,05 Interiores > 05.4 Objeto de Iluminação||Brasil | Iluminação | Minas Gerais | Século XX,Não identificado,Século XX,"Objeto confeccionado em metal (ferro) fundido, composto por haste sinuosa arrematada por estrutura circular ornada por gomos.",407,Lustre (fragmento): par de braços
28,Brasil,05 Interiores > 05.4 Objeto de Iluminação||Brasil | Iluminação | Minas Gerais | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em madeira entalhada, com haste ornada por estrangulamentos e frisos. Base circular e parte superior em disco com estrutura cilíndrica para encaixe da vela.",395,Castiçal
29,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XIX | Século XVIII,"Peça em jacarandá, em uma só parte torneada.",393,Base de Cruz
30,Brasil > Minas Gerais,05 Interiores > 05.1 Acessório de Interiores,Não identificado,Século XIX,"Peça em um só bloco de madeira (cedro), recortado, policromado em azul, branco, vermelho e ocre.",392,Peanha
31,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Religião | Rococó | Século XVIII,Não identificado,Século XVIII,"Objeto com estrutura em tábua de madeira pintada, com ornamentação na parte frontal em volutas.",391,Armário (fragmento): folha de porta
32,[França?],12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais||França | Indumentária | Século XIX,Não identificado,Século XIX,"Objeto em madeira e metal, de estrutura longilínea e cilíndrica, contendo cabo em metal retorcido.",385,Bengala
33,Brasil > Minas Gerais,05 Interiores > 05.1 Acessório de Interiores||Artes Decorativas | Brasil | Minas Gerais | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em madeira torneada, composto por haste longilínea apoiada sobre base em tripé.",371,Suporte de vaso
34,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XIX,"Peça em madeira recortada e entalhada, em três partes encaixadas e pregadas, com policromia em preto, vermelho, branco e dourado.",357,Cruz
35,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XX,"Peça em madeira recortada, em duas partes encaixadas e pregadas, monocromada de preto.",356,Cruz
36,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XIX | Século XVIII,"Peça em madeira recortada e entalhada, em cinco partes encaixadas e coladas, com policromia em tom avermelhado e dourado (ponteiras).",355,Cruz
37,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XIX,"Peça em madeira recortada e entalhada, com reforço por trás (posterior), com pintura em branco e prateado (recente) e douramento (talvez a purpurina)",352,Cruz
38,[Europa?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Europa | Século XX | Usos e Costumes,Não identificado,Século XX,"Objeto confeccionado em cristal (vidro) transparente e liso, sem pé, com bojo circular e tampa arrematada por pino.",351,Compoteira
39,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XVIII | Século XX,"Peça em madeira, composta de um só bloco, com pintura em vermelho, marrom e verde; dois pinos de ferro fixados na frente; orifício para encaixe da cruz 9que não tem)",344,Base de Crucifixo
40,[Brasil?],15 Embalagens/Recipientes||Brasil | Minas Gerais | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em madeira escura, de formato quadrado, com ornamentação em embutidos com motivos geométricos. Estrutura composta por pequena abertura e gaveta.",342,Caixa
41,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XIX,"Peça em uma só parte de madeira recortada, com resquícios de pintura vermelha nas laterais; superfície com orifícios, um deles tampado por cavilha",336,Base
42,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificado,Século XIX,"Peça em cinco partes de madeira, recortadas e pregadas; parte inferior em madeira clara pintada de preto; parte superior em madeira avermelhada e enverniada.",335,Base
43,França,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico||Europa | França | Instrumento de Precisão | Século XIX,JUMELLES NATIONALES,Século XIX > 1855,"Objeto confeccionado em metal, composto por duas estruturas cilíndricas com vidro (lentes) e estojo de couro.",334,Binóculo [com estojo]
44,Brasil > Minas Gerais,06 Trabalho > 06.8 Equipamento de Uso Geral||Brasil | Construção | Minas Gerais | Século XIX | Século XVIII,Não identificado,Século XIX,"Objeto em ferro batido, de estrutura longilínea, composta por haste de secção quadrangular com extremidade pontiaguda.",331,Verruma
45,Brasil > Minas Gerais,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Brasil | Minas Gerais | Ofícios | Século XIX | Século XVIII,Não identificado,Século XIX | Século XX,"Objeto confeccionado em madeira, composto por lâmina de metal.",330,Guilherme
46,Brasil > Minas Gerais,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Brasil | Minas Gerais | Ofícios | Século XIX | Século XVIII,Não identificado,Século XIX | Século XX,"Objeto confeccionado em madeira, composto por lâmina de metal.",329,Guilherme
47,Brasil > Minas Gerais,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Brasil | Minas Gerais | Ofícios | Século XIX | Século XVIII,Não identificado,Século XIX | Século XX,"Objeto confeccionado em madeira, composto por lâmina de metal para aplainar estruturas.",328,Sargento
48,Brasil > Minas Gerais,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos||Brasil | Minas Gerais | Ofícios | Século XIX | Século XVIII,Não identificado,Século XIX | Século XX,"Objeto confeccionado em madeira, composto por lâmina de metal.",326,Guilherme
49,Estados Unidos da América > Chicago,10 Comunicação > 10.2 Equipamento de Comunicação Escrita||Comunicação | EUA | Século XX,Fábrica Oliver,Século XX > [entre 1901 e 1950],"Objeto de estrutura metálica (ferro) e detalhes em metal prateado, de formato retangular, com as extremidades da parte inferior abauladas, contendo 34 teclas. Máquina apoiada sobre base abaulada.",319,Máquina de escrever
50,Estados Unidos da América,10 Comunicação > 10.4 Equipamento de Telecomunicação||EUA | Século XX | Telecomunicações,Philips,Século XX > [1940-1950],"Objeto confeccionado em metal e resina, com botões de canais, volume, conexão e regulagem, tendo mostrador na parte superior com o nome de uma série de localidades, em língua inglesa.",315,Rádio
51,Brasil > Minas Gerais,05 Interiores > 05.4 Objeto de Iluminação||Brasil | Iluminação | Minas Gerais | Século XIX,Não identificado,Século XIX,"Objeto confeccionado em madeira (cedro) entalhada, pintada e dourada.",314,Castiçal
52,Brasil > Minas Gerais,02 Artes Visuais/Cinematográfica > 02.3 Escultura||Brasil | Mestre Piranga | Minas Gerais | Religião | Século XIX | Século XVIII,Mestre Piranga,Século XVIII,"Escultura confeccionada em madeira entalhada, pintada e dourada. Policromia: vermelho, amarelo, rosa, preto.",313,Santo||[Anjo Adorador ou São Miguel Arcanjo?]
53,Brasil > [Rio de Janeiro?],02 Artes Visuais/Cinematográfica > 02.3 Escultura||Brasil | Religião | Século XIX | Século XX,Não identificado,Século XIX | Século XX,"Escultura confeccionada em madeira entalhada e policromada. Policromia: verde, azul, marrom e prateado.",311,Nossa Senhora||Nossa Senhora Conceição Aparecida
54,Brasil > Rio de Janeiro,10 Comunicação > 10.4 Equipamento de Telecomunicação||Brasil | Século XX | Telecomunicações,Philips,Século XX > [1940-1950],"Objeto confeccionado em metal e resina, com botões de canais, volume, conexão e regulagem, tendo mostrador na parte superior.",310,Rádio
55,Alemanha,06 Trabalho > 06.2 Equipamento de Artes do Espetáculo||Alemanha | Comunicação | Europa | Século XX,Agfa,Século XX > 1950,"Objeto confeccionado em metal, com lente em vidro e formato retangular, delgado, do fabricante alemão ""Agfa"". Máquina de filmar de 8mm, com estojo em couro.",309,Câmera de filmar [com estojo]
56,Japão,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Japão | Século XIX | Usos e Costumes | Utensílios Domésticos,Yamada Toki,Século XIX,"Prato de sobremesa confeccionado em porcelana branca, pintada com motivos decorativos em japonaiserie.","308||435,436",Pires
57,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro amarelo com ornatos em dourado, com suporte em metal, composto por duas garrafas com tampa e quatro copos com alça.",306||276 | 303 | 304 | 305 | 307 | 424,Copo
58,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro amarelo com ornatos em dourado, com suporte em metal, composto por duas garrafas com tampa e quatro copos com alça.",304||276 | 303 | 305 | 306 | 307 | 424,Copo
59,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro amarelo com ornatos em dourado, com suporte em metal, composto por duas garrafas com tampa e quatro copos com alça.",303||304 | 305 | 306 | 307 | 276 | 424,Licoreiro
60,França,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Escola Francesa | Pintura | Século XIX | Século XVIII,Charles Frederic Le Brun,Século XIX > 1858,"Pintura a óleo sobre tela, representando figura feminina não identificada. Policromia: preto, dourado, vermelho e rosa.",302,Retrato (Pintura)||Retrato de Mulher
61,[Europa?],02 Artes Visuais/Cinematográfica > 02.6 Pintura||Escola Italiana | Pintura | Religião | Século XIX | Século XVIII,Não identificado,Século XIX,"Pintura a óleo sobre tela, representando o casamento místico de Santa Catarina. Policromia: castanho claro, rosa, vermelho, verde, marrom, preto, branco, amarelo e cinza",301,Pintura Religiosa||Casamento Místico de Santa Catarina
62,Portugal,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Escola Portuguesa | Música | Pintura | Portugal | Século XIX | Século XVIII,José Constantino Benedito de Faria Barros,Século XVIII > 1791,"Pintura a óleo sobre tela, representando um tocador de guitarra do século XVIII. Policromia: azul, vermelho, cinza, prateado, preto, marrom, verde, castanho claro, bege.",300,Figura Humana (Pintura)||Tocador de Guitarra
63,Brasil > Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Brasil | Pintura | Religião | Século XIX | Século XVIII,Não identificado,Século XIX | Século XVIII,"Pintura a óleo sobre tela, representando São Jerônimo. Policromia: vermelho, marrom, cinza, preto e verde.",299,Pintura Religiosa||São Jerônimo
64,Brasil > Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Itália | Paisagem | Pintura | Século XIX,José Agostinho da Motta,Século XIX,"Pintura a óleo sobre tela, representando paisagem italiana. Policromia: azul, verde, ferrugem, marrom, branco, cinza, amarelo.",298,Paisagem (Pintura)||Paisagem Italiana
65,Brasil > Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.6 Pintura||Escola Francesa | Pintura | Rio de Janeiro | Século XIX,Edouard Vienot,Século XIX,"Pintura a óleo sobre tela, representando a menina Maria Francisca Guimarães Costa (1859-1864). Policromia: azul, marrom, verde, cinza e vermelho.",297,Retrato (Pintura)||Retrato de Menina
66,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Mobiliário | Religião | Século XIX,Não identificado,Século XVIII,"Objeto confeccionado em madeira entalhada e pintada, com parte frontal almofadada e parte interna com duas pinturas, uma de São Pedro e outra com motivo floral.",296||295,Oratório (fragmento): porta esquerda
67,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Mobiliário | Religião | Século XIX,Não identificado,Século XVIII,"Objeto confeccionado em madeira entalhada e pintada, com parte frontal almofadada e parte interna com duas pinturas, uma de São Paulo e outra com motivo floral.",295||296,Oratório (fragmento): porta direita
68,Brasil > Minas Gerais,05 Interiores > 05.1 Acessório de Interiores,Não identificado,Século XIX,"Objeto confeccionado em madeira, composto por duas hastes verticais e uma haste horizontal.",294,Suporte de rede
69,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,Não identificado,Século XVIII,"Oratório portátil, com estrutura em caixa de formato irregular, contendo frontão triangular, ornado em relevo por concha e volutas douradas. Policromia: vermelho e azul.",293,Oratório
70,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,Não identificado,Século XVIII,"Oratório de manufatura simples, do tipo ""bala"", ornado por friso abaulado e com abertura feita por duas portas dispostas na parte frontal. Policromia: azul, vermelho, verde e preto.",292,Oratório
71,[França?],05 Interiores > 05.5 Peça de Mobiliário||Brasil | Século XIX | Século XVIII | Usos e Costumes,Não identificado,Século XIX,"Objeto confeccionado em vidro espelhado, de formato oval, com moldura em madeira entalhada e dourada, apresentando ornatos em relevo.",291,Espelho
72,[França?],05 Interiores > 05.5 Peça de Mobiliário||Brasil | Século XIX | Século XVIII | Usos e Costumes,Não identificado,Século XVIII,"Objeto confeccionado em vidro espelhado, com moldura em madeira entalhada e dourada, apresentando ornatos em relevo, apoiado sobre três pés.",290,Espelho-Toucador
73,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário||Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,Não identificado,Século XVIII,"Escultura confeccionada em madeira entalhada, pintada e dourada, com parte frontal em vidro e imagens em pedra (talcita). Policromia: azul, vermelho, verde, branco, castanho",289,Oratório||Lapinha
74,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII > [entre 1751 e 1800],"Oratório em madeira clara recortada, em várias partes encaixadas e fixadas por cravos; policromia (têmpora) azul, vermelho, branco, bege, verde, cinza, preto e rosa; ferragem em ferro fundido e batido, composta por quatro dobradiças que prendem as folhas da porta, um fecho interno inferior, na folha da esquerda; consoles pregados.",288,Oratório
75,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Peça confeccionada em madeira (pinho de riga) composta de várias partes encaixadas, com fixação por cavilhas e cravos; policromia em azul, vermelho, preto, verde, marrom, branco, com douramento nos frisos, decoração superior e cálice; quatro dobradiças em forma de cachimbo em ferro fundido e batido, fixados por cravos; recebeu fixação traseira com pó de serra e cera.",287,Oratório
76,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Peça em madeira recortada, em várias partes encaixadas e pregadas; porta de duas folhas, fixadas por par de dobradiças e fecho em ferro batido; espelho em metal batido e cinzelado; policromia em azul, verde, branco, vermelho, ocre, verde e marrom; douramento com folha de ouro; friso externo do frontão com resquícios de pintura em vermelho; cruz torneada, encaixada; consoles em madeira recortada e fixados no interior; molduras inferior da lateral esquerda e da cimalha (lateral direita) refeitas e fixada posteriormente.",286,Oratório
77,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Oratório confeccionado em madeira avermelhada, em partes recortadas, encaixadas e fixadas por cravos; ferragem em ferro batido, composto por quatro dobradiças que seguram as folhas da porta e um trinco em forma de gancho fechando a porta; policromia (têmpora) em azul, vermelho, verde, bege, branco, preto, marrom, ocre; douramento.",285,Oratório
78,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Peça em madeira recortada e entalhada, em várias partes encaixadas, fixadas por cravos e cavilhas; policromia em azul, vermelho, marrom, branco e ocre; douramento nas partes entalhadas; pintura de gosto neoclássico a óleo, nas cores azul, ocre, branco, verde, lilás, amarelo, preto e marrom dobradiças (6) em ferro fundido e batido, preso por cravos; gaveta com suportes (4) para puxadores em metal amarelo, parafusados (colocados posteriormente); tramela de madeira na parte interna inferior da folha esquerda.",284,Oratório
79,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Peça confeccionada em madeira, composta de várias partes encaixadas e pregadas (pregos e cravos) policromia em azul, preto, vermelho, branco, amarelo, verde; douramento nas partes entalhadas; prateamento nas nuvens e crescente; dobradiças (4), fechadura com espelho e trinco interno em ferro fundido e batido; suportes para vela ou castiçais fixados por cravos; consoles pregados por trás, com pinos de ferro para encaixe da imagem.",283,Oratório
80,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XVIII,"Peça em madeira recortada e entalhada, em várias partes encaixadas, fixadas por pregos; policromia em azul, vermelho, branco, verde. Algumas partes, como o pináculo superior e dois ressaltos sobre as arestas superiores, à direita, foram refeitos e fixados posteriormente; pináculos torneados e encaixados; porta traseira encaixada e fechada por quatro tramelas de madeira.",282,Oratório
81,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Peça em madeira entalhada e recortada, composta de várias partes, encaixadas e fixadas por cravos e pregos; rocalha entalhada na parte da cimalha, com encaixe superior, fixado por trás; policromia em azul, marrom, vermelho, verde, braço e ocre; quatro dobradiças em metal fundido e batido prendem as folhas da porta; tramela de madeira na parte inferior da folha esquerda.",281,Oratório
82,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX | Século XVIII,"Peça em madeira recortada e entalhada, em várias partes encaixadas e fixadas por cravos; policromia em preto, azul, vermelho, branco, bege, cinza; ferragem (quatro dobradiças e fecho interno da folha esquerda) em ferro fundido e batido; espelho da fechadura em metal amarelo.",280,Oratório
83,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Peça entalhada em madeira, composta de três partes, com as duas folhas da porta fixadas por par de dobradiças em ferro fundido; pintura em um tom de marrom esverdeado; folha esquerda da porta tem internamente um pino de ferro.",279,Oratório||“Oratório Bala”
84,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por duas hastes horizontais recortadas em curvas, tendo pernas com joelheiras proeminentes.",278||277,Cadeira
85,Brasil > Minas Gerais,05 Interiores > 05.5 Peça de Mobiliário,Não identificado,Século XIX,"Objeto confeccionado em madeira (jacarandá), de assento trapezoidal, encosto composto por duas hastes horizontais recortadas em curvas, tendo pernas com joelheiras proeminentes.",277||278,Cadeira
86,Europa,05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Brasil | Século XIX | Usos e Costumes | Utensílios Domésticos,Não identificado,Século XIX,"Objeto confeccionado em vidro amarelo com ornatos em dourado, com suporte em metal, composto por duas garrafas com tampa e quatro copos com alça.",276||303 | 304 | 305 | 306 | 307 | 424,Licoreiro
