Altura (cm),Autor,Classificação,Condições de reprodução,Denominação,Document,Estado de conservação,Largura (cm),Link do Item,Localização atual,Material,Modo de aquisição,Número de registro,Origem,Procedência,Profundidade (cm),Situação,Técnica,Título,Data de aquisição,Armário/Estante/Mapoteca,Diâmetro (cm),Prateleira/Gaveta,Andar,Comprimento (cm),data de produção,Ano de produção,Condições de segurança,Nº anterior,Proteção legal,Conjunto com nº,Temas,Características técnicas,Características iconográficas/ornamentais,Características estilísticas,Espessura (cm),Circunferência (cm)
,,08 Insígnias,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Medalha comemorativa,37201,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/medalha-comemorativa-23/,,bronze,Doação,490,[Casa da Moeda / RJ],Rio de Janeiro (RJ),,Localizado,cunhagem,Medalha,31/12/2015,Estante 5,"0,5",5,,,,,,,,,,,,,,
10,Não identificado,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Bengala,37195,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/bengala-3/,Reserva Técnica Museológica,madeira | metal,Doação,489,Não identificada,Rio de Janeiro,,Localizado,entalhe | fundição,Bengala,31/12/2015,Estante 04,,1,2º,84,Séc. XX,,,,,,,,,,,
245,Alfredo Ceschiatti (escultura) e Amadeo Zani (Fundição/ Metalúrgica Zani),02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Estátua Alegórica (réplica),,Bom,108,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/estatua-alegorica-replica-3/,Jardim,bronze,Doação,488,Rio de Janeiro (RJ),Associação de Amigos de Serro,47,Localizado,fundição | modelagem,Saracura/ Garça,,,,,térreo,"Pescoço: 67 . Perna: 11 . Bico: 33,5",Séc. XX,[194-],,,,,,,,,,
,Não identificado,12 Objetos Pessoais > 12.3 Artigo de Toalete,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Bacia para banho,37192,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/bacia-para-banho-6/,,metal,Doação,487,Serro (MG),Hotel Glória | Serro (MG),,Localizado,fundição,,28/03/2011,,,,2º,,Séc. XX,,,,,,,,,,,
,Não identificado,12 Objetos Pessoais > 12.3 Artigo de Toalete,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Bacia para banho,37190,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/bacia-para-banho-5/,,metal,Doação,486,Serro (MG),Hotel Glória | Serro (MG),,Localizado,fundição,,28/03/2011,,,,2º,,Séc. XX,,,,,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Arco de Retábulo [fragmento],37188,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/arco-de-retabulo-fragmento-18/,,madeira | tinta,Doação,485,Serro (MG),Igreja da Purificação | Serro (MG),,Localizado,entalhe | policromia,,,Estante 02,,1,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Prefeitura Municipal do Serro,10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Ofício,37186,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/oficio-3/,,papel | tinta,,484,Serro (MG),Prefeitura Municipal do Serro | Serro | Serro (MG),,Localizado,impressão,,,Mapoteca 01,,2,2º,,Séc. XX,1959,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Notícia de Jornal,37182,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/noticia-de-jornal-3/,,papel | tinta,,483,Serro (MG),Serro (MG),,Localizado,impressão,,,Mapoteca 01,,2,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Álbum Rio Grandense (Comissão Organizadora),10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Carta de Solicitação,37180,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/carta-de-solicitacao-3/,,papel | tinta,,482,Porto Alegre (RS),Serro (MG),,Localizado,impressão,,,Mapoteca 01,,2,2º,,Séc. XX,1905,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Christiano Ottoni,10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Carta Pessoal,37178,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/carta-pessoal-3/,,papel | tinta,,481,Rio de Janeiro,Serro (MG),,Localizado,manuscrito,,,Mapoteca 01,,2,2º,,Séc. XX,1923,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Curriculum de Jorge Benedicto Ottoni,37174,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/curriculum-de-jorge-benedicto-ottoni-3/,,carimbo | papel | tinta,,480,Serro (MG),Serro (MG),,Localizado,impressão | manuscrito | timbre,,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37170,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-24/,,papel | tinta,,479,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice  de Ações nº 1749- Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37166,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-23/,,papel | tinta,,478,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1748 - Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37162,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-22/,,papel | tinta,,477,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1747- Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37158,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-21/,,papel | tinta,,476,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1746 - Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37154,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-20/,,papel | tinta,,475,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1745 - Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37150,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-19/,,papel | tinta,,474,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1744 - Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37146,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-18/,,papel | tinta,,473,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1743 - Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Empresários da Companhia Mucury,03 Objetos Pecuniários,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Apólice,37142,Bom,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/apolice-17/,,papel | tinta,,472,Rio de Janeiro,Rio de Janeiro,,Localizado,impressão | manuscrito,Apólice de Ações nº 1742 - Companhia Mucury,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Oficinas e Papelaria Alexandre Ribeiro S.A. (impressão),10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Livreto,37136,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/livreto-3/,,grampo de ferro | papel | tinta,Doação,471,Rio de Janeiro,Rio de Janeiro,,Localizado,encadernação | impressão,Quem foi Júlio Benedicto Ottoni,,Mapoteca 01,,2,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,[Vigário José Alves de Mesquita],10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Comunicado,37132,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/comunicado-3/,,papel | tinta,,470,Serro (MG),Serro (MG),,Localizado,manuscrito,Comunicado do Vigário,,Mapoteca 01,,2,2º,,Séc. XIX,1888,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,10 Comunicação > 10.1 Documento,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Cartão de visitas,37128,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/cartao-de-visitas-3/,,papel | tinta,,469,Minas Gerais,Serro (MG),,Localizado,impressão,Sebastião José Ferreira Rabello,,Mapoteca 01,,2,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,[Jordão de Oliveira],02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Retrato (pintura),37124,Ruim,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/retrato-pintura-25/,,gesso | linho | tela | tinta,Compra,468,Rio de Janeiro,Rio de Janeiro,,Localizado,estuque | policromia,,,Mapoteca 01,,2,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Lustre,37109,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/lustre-21/,,cristal | ferro | vidro,,464,Minas Gerais,Serro (MG),,Localizado,fundição | modelagem,Lustre de cristal,,Armário 01,,5,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Arco de Retábulo [fragmento],37105,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/arco-de-retabulo-fragmento-17/,,madeira,Doação,463,Serro (MG),Igreja da Purificação | Serro (MG),,Localizado,entalhe,,,Estante 09,,7,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Arco de Retábulo [fragmento],37101,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/arco-de-retabulo-fragmento-16/,,madeira,Doação,462,Serro (MG),Igreja da Purificação | Serro (MG),,Localizado,entalhe,,,Estante 09,,7,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Arco de Retábulo [fragmento],37097,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/arco-de-retabulo-fragmento-15/,,madeira,Doação,461,Serro (MG),Igreja da Purificação | Serro (MG),,Localizado,entalhe,,,Estante 09,,7,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Arco de Retábulo [fragmento],37093,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/arco-de-retabulo-fragmento-14/,,madeira,Doação,460,Serro (MG),Igreja da Purificação | Serro (MG),,Localizado,entalhe,,,Estante 09,,7,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Arco de Retábulo [fragmento],37089,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/arco-de-retabulo-fragmento-13/,,madeira,Doação,459,Serro (MG),Igreja da Purificação | Serro (MG),,Localizado,entalhe,Retábulo (arco),,Estante 09,,7,2º,,Séc. XVIII,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,06 Trabalho > 06.1 Equipamento Agrícola,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Machado,37085,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/machado-3/,,metal,Coleta,458,Serro (MG),Casa dos Ottoni,,Localizado,fundição,,2007,Armário 01,,4,2º,,Séc. XX,,,,,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Chave,37083,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/chave-9/,,metal,,457,Minas Gerais,Serro (MG),,Localizado,fundição,,,Estante 02,,5,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Fechadura de porta,37081,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/fechadura-de-porta-3/,,metal,,456,Minas Gerais,Serro (MG),,Localizado,fundição,,,Estante 02,,5,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Agentes Casa Pratt Geraes Brasil,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Máquina de Datilografia,37079,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/maquina-de-datilografia-6/,,metal | plástico | tinta,,455,Minas Gerais,Serro (MG),,Localizado,fundição | plástico | tinta,,,Estante 07,,6,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não Identificada,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Máquina de Datilografia,37077,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/maquina-de-datilografia-5/,,metal | plástico | tinta,,454,Minas Gerais,Serro (MG),,Localizado,fundição | plástico | tinta,Máquina Remington,,Estante 07,,6,2º,,Séc. XX,,,,,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Pináculo,37073,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/pinaculo-3/,,madeira,,453,Serro (MG),Serro (MG),,Localizado,entalhe,,,Estante 02,,3,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Casa Dettori (de Angelo Dettori),06 Trabalho > 06.4 Equipamento de Atividades Comerciais,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Máquina Registradora,37067,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/maquina-registradora-3/,,metal | plástico | tinta,,452,Diamantina (MG),Diamantina (MG),,Localizado,fundição | montagem | pintura,,,Estante 02,,3,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,G. Saint Martin 80,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Trena,37065,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/trena-3/,,metal,,451,Rio de Janeiro,Serro (MG),,Localizado,fundição,,,Estante 02,,7,2º,,Séc. XX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37063,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-39/,,ferro | metal,,450,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37061,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-38/,,ferro | metal,,449,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37059,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-37/,,ferro | metal,,448,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37057,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-36/,,ferro | metal,,447,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37055,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-35/,,ferro | metal,,446,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37053,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-34/,,ferro | metal,,445,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37051,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-33/,,ferro | metal,,444,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",Tranca de porta,37049,Regular,,http://museuregionalcasadosottoni.acervos.museus.gov.br/acervo-museologico/tranca-de-porta-32/,,ferro | metal,,443,Minas Gerais,,,Localizado,fundição,,,Estante 02,,6,2º,,Séc. XIX,,Boa,Não encontrado,Federal | Tomb. em conjunto,,,,,,,
