Agente,Descrição,Document,Link do Item,Número do Programa,Título
Djavan,"Para ele, cantar é seduzir pedras, catedrais e corações. E sua música seduz. Com um oceano de sucessos de veia lírica, arrebatou pelo mundo fãs famosos e anônimos. Todos eles apaixonados por sua música original, de raiz brasileira, mas ao mesmo tempo dotada de um “quê” universal, como o amor romântico. Evocando Lua e estrelas do mar, esta edição do Estúdio F apresenta o som, o desejo e a sina de Djavan.
",163056,https://www.funarte.gov.br/estudio-f/189-djavan/,189,189 - Djavan
Jorge Ben Jor,"Carioca de Madureira, criado no Catumbi, na Zona Norte do Rio de Janeiro, esse cara era amigo do síndico Tim Maia, inventou o samba-rock e é apaixonado pelo Salgueiro! Salve, simpatia, salve o suingue, que maravilha! O Estúdio F recebe o grande Jorge Ben Jor, para animar a festa. 
",163040,https://www.funarte.gov.br/estudio-f/187-jorge-ben-jor/,187,187 - Jorge Ben Jor
Alberto Ribeiro,"Ele foi médico homeopata em plena década de 30, criador da música de protesto no Brasil e parceiro de Braguinha em alguns dos maiores sucessos do cancioneiro carnavalesco, como “Touradas em Madri”, “Chiquita bacana” e “Yes, nós temos bananas”. O grande Alberto Ribeiro é o personagem desta edição do Estúdio F. ",162879,https://www.funarte.gov.br/estudio-f/446-alberto-ribeiro/,446,446 - Alberto Ribeiro
Humberto Teixeira,"Ele nasceu em Iguatu, no Estado do Ceará. Foi compositor, advogado, deputado federal e um dos responsáveis diretos pelo sucesso do baião, ao lado de Luiz Gonzaga. Ele é Humberto Teixeira, o Doutor do Baião: personagem desta edição do Estúdio F.",162861,https://www.funarte.gov.br/estudio-f/445-humberto-teixeira/,445,445 - Humberto Teixeira
Guilherme de Brito,"Ele ganhou fama por ser o poeta da amargura e por extrair da saudade toda sua beleza. Um dos grandes do samba e o leal parceiro e eterno companheiro de um dos maiores bambas da Mangueira e - por que não - do próprio samba, Nelson Cavaquinho. Guilherme de Brito é o personagem desta edição do Estúdio F.",162851,https://www.funarte.gov.br/estudio-f/444-guilherme-de-brito/,444,444 - Guilherme de Brito
Cláudio Jorge,"Com seu violão cheio de balanço, ele já acompanhou grandes nomes da música brasileira e é um compositor de mão cheia, do primeiro time, parceiro de craques como Cartola, Elton Medeiros e João Nogueira. O programa Estúdio F abre alas para a música de Cláudio Jorge.",162839,https://www.funarte.gov.br/estudio-f/418-claudio-jorge/,418,418 - Cláudio Jorge
Elymar Santos,"Música popular é aquela que conquista, expressa a realidade do povo, que fala de situações cotidianas e do coração. Um termo tão amplo que comporta gêneros musicais como o samba, o brega, o maxixe, o forró e tantos outros. O cantor que é tema desta edição do Estúdio F é popular, do povo, com um repertório diversificado que vai de músicas escancaradamente românticas a clássicos da música internacional. Com vocês: Elymar Santos!",162789,https://www.funarte.gov.br/estudio-f/410-elymar-santos-2/,410,410 - Elymar Santos
Tantinho da Mangueira,"Um passeio pelas histórias e sambas dos compositores do morro de Mangueira e da tradicional agremiação verde e rosa, a Estação Primeira, popularíssima escola de samba fundada por Cartola, Carlos Cachaça e outros mestres. No repertório, além de sambas consagrados destes grandes poetas escutaremos o sincopado de Padeirinho, o partido alto de Xangô, o samba de terreiro de Nelson Sargento e também canções do homenageado desta edição do Estúdio F: Tantinho da Mangueira.",162701,https://www.funarte.gov.br/estudio-f/409-tantinho-da-mangueira/,409,409 - Tantinho da Mangueira
Nelson Freire,"Ele não tinha completado ainda 10 anos de idade quando despontou como prodígio do piano, primeiro no interior de Minas (onde nasceu), depois no Rio de Janeiro (onde fez os primeiros grandes concertos) e, por fim, no exterior, onde é considerado um dos grandes pianistas do mundo. Nelson Freire é o personagem desta edição do Estúdio F. ",162663,https://www.funarte.gov.br/estudio-f/407-nelson-freire/,407,407 - Nelson Freire
Luiz Grande,Esta edição do Estúdio F vai embarcar no táxi e na obra do compositor Luiz Grande: referência do samba sincopado e do partido alto que participou do Trio Calafrio e teve sucessos gravados por Zeca Pagodinho e João Nogueira. ,162634,https://www.funarte.gov.br/estudio-f/406-luiz-grande/,406,406 - Luiz Grande
Trio Irakitan,"Eles entraram para o seleto cast das estrelas do rádio, fizeram muito sucesso no cinema e conquistaram uma legião de fãs por onde passaram com um vasto repertório de boleros, sambas, bossa nova, temas infantis, forrós e até hinos de escoteiros. Com vocês, nesta edição do Estúdio F: Trio Irakitan!",162609,https://www.funarte.gov.br/estudio-f/405-trio-irakitan/,405,405 - Trio Irakitan
Toquinho,"Mais conhecido no mundo inteiro pela parceria histórica que formou com Vinicius de Moraes, ele é um dos maiores violonistas da música brasileira, além de melodista inspirado e parceiro de outros grandes, como Chico Buarque, Jorge Benjor e Paulo Vanzolini, entre outros. Toquinho é o personagem desta edição do Estúdio F. ",162596,https://www.funarte.gov.br/estudio-f/403-toquinho/,403,403 - Toquinho
Ederaldo Gentil,"Nesta edição do Estúdio F, vamos conhecer o universo pequenino mas imenso de um dos bambas do samba da Bahia. Compositor de melodias ricas com um toque de melancolia e (nos versos) poesia refinada, com vocês, Ederaldo Gentil! ",162577,https://www.funarte.gov.br/estudio-f/399-ederaldo-gentil/,399,399 - Ederaldo Gentil
Johnny Alf,"Considerado um dos precursores da Bossa-Nova, esse carioca de Vila Isabel autor de harmonias revolucionárias é admirado por uma legião de cantores e pianistas que foram influenciados por sua maneira suingada de cantar e de se acompanhar ao piano. Com vocês nesta edição do Estúdio F: Johnny Alf!",162540,https://www.funarte.gov.br/estudio-f/024-johhny-alf/,24,024 - Johhny Alf
Daniela Mercury,"A personagem desta edição do Estúdio F é uma das mais importantes artistas do Axé Music, gênero musical que nasceu na Bahia na década de 1980 logo estourou por todo o Brasil. Para muitos, aliás, é ela a principal responsável pela popularização nacional do Axé, abrindo caminho para artistas como Ivete Sangalo e Cláudia Leitte. Com vocês, a “Rainha do Axé”: Daniela Mercury!",162447,https://www.funarte.gov.br/estudio-f/398-daniela-mercury/,398,398 - Daniela Mercury
Dóris Monteiro,"Nesta edição do Estúdio F, a vida e obra de uma cantora charmosa, delicada e com estrada. Ela atravessou décadas com dignidade de diva, bom gosto e elegância. Com vocês, a carioca Dóris Monteiro!",162355,https://www.funarte.gov.br/estudio-f/057-doris-monteiro/,57,057 - Dóris Monteiro
Lincoln Olivetti,"Subúrbio do Rio de Janeiro, década de 70. As luzes da pista de dança se acendem no mesmo momento em que a música começa. Esta edição do Estúdio F de hoje convida vocês para um baile animado, comandado por um dos mais renomados artistas do Brasil. Maestro, instrumentista, compositor, arranjador e produtor musical, ele ficou conhecido como o “feiticeiro dos estúdios”. Com vocês: Lincoln Olivetti!",162297,https://www.funarte.gov.br/estudio-f/408-lincoln-olivetti/,408,408 - Lincoln Olivetti
Toni Platão,"A década de 1980 será para sempre lembrada como a época em que o rock nacional viveu uma explosão de popularidade. O grande interesse da juventude pelo gênero arrastou uma avalanche de artistas independentes para as rádios, muitos dos quais entraram rapidamente para o mainstream, enquanto outros mantiveram um público restrito, porém fiel – os chamados cult. Entre eles, o nosso personagem desta edição do Estúdio F: um cantor que despontou com uma das bandas mais cultuadas da década, antes de partir para a carreira solo. Com vocês, a voz marcante de Toni Platão!  ",162279,https://www.funarte.gov.br/estudio-f/404-toni-platao/,404,404 - Toni Platão
Engenheiros do Hawaii,"Eles não queriam ser engenheiros, mas foi assim que entraram para a história do rock nacional. Em vez de prédios, construíram canções que conquistaram o grande público. Algumas viraram hinos de juventude dos anos 80 e 90. Com vocês nesta edição do Estúdio F... os Engenheiros do Hawaii.",162195,https://www.funarte.gov.br/estudio-f/217-engenheiros-do-hawaii/,217,217 - Engenheiros do Hawaii
Armandinho Macedo,"O homenageado desta edição do Estúdio F é um virtuoso do bandolim e da guitarra baiana. Com vocês o compositor, cantor e instrumentista Armandinho Macedo!  ",162154,https://www.funarte.gov.br/estudio-f/402-armandinho-macedo/,402,402 - Armandinho Macedo
Zé Luiz do Império,"Chegou a hora de pegar o banquinho e se acomodar, pois lá vem história e muito samba! Nesta edição vamos passear pelo imperial universo verde e branco do Morro da Serrinha (no Rio de Janeiro), passar pelas bandas da Bahia e desembarcar no bairro carioca do Irajá... Tudo isso até compreender que todo menino é um rei! O Estúdio F de hoje é dedicado ao compositor Zé Luiz do Império Serrano! 

",162147,https://www.funarte.gov.br/estudio-f/397-ze-luiz-do-imperio/,397,397 - Zé Luiz do Império
Dona Onete,"Ela conquistou seu espaço no fechado universo masculino dos mestres de Carimbó e de Guitarradas. Em pouco tempo de atuação como cantora e compositora, ela despontou como artista revelação no Brasil e mundo. Dona de um bom humor e uma personalidade marcante, essa paraense apresentou para o público um ritmo novo, bem suingado, batizado por ela mesma como “carimbó chamegado”. Com vocês nesta edição do Estúdio F: Dona Onete!",162126,https://www.funarte.gov.br/estudio-f/396-dona-onete/,396,396 -  Dona Onete
Sandra de Sá,"É com swing e balanço de sobra que a gente começa mais uma edição do Estúdio F, que desta vez traz a vida e obra da Rainha do Soul Brasileiro. Cantora, compositora e violonista autodidata, essa carioca trocou a carreira de psicóloga pela música e se tornou uma das artistas mais queridas do Brasil. Com vocês... Sandra de Sá!  ",162111,https://www.funarte.gov.br/estudio-f/395-sandra-de-sa/,395,395 - Sandra de Sá
Benedito Lacerda,"Foi na primeira metade do século 20 que se consolidaram algumas bases importantes da música popular brasileira, na chamada “era de ouro do rádio”. Isso a partir do fim da década de 1920, início dos anos 30, quando o samba, o choro, a marchinha, a música caipira, o baião (que veio um pouco depois) viraram paixões em larga escala, itens de consumo de massa. Um momento em que a nossa música se estabelece como mercado e também como expressão popular, através da criação de grandes compositores, arranjadores, intérpretes, músicos... E é aqui que entra o personagem dessa edição do Estúdio F: uma figura quase onipresente em tantos programas de rádio e discos lançados durante esse período, como músico, compositor e líder de conjuntos – entre eles o mais importante da “era do rádio”. Com vocês, a música, as histórias e o legado de Benedito Lacerda.
",162092,https://www.funarte.gov.br/estudio-f/394-benedito-lacerda/,394,394 - Benedito Lacerda
Maria Creuza,"Bahia, década de 1960. Berço de Caetano, Gal, Gil, Bethânia, Tom Zé e tantos outros artistas talentosos e fundamentais pros novos caminhos que a música brasileira tomou a partir dali. É o caso da cantora de voz quente, doce e encorpada que o Brasil conheceu nos festivais de TV e – depois de ser apadrinhada por ninguém menos que Vinicius de Moraes – tornou-se uma espécie de embaixadora da bossa nova pelo mundo. Nesta edição do Estúdio F: o talento e os sucessos de Maria Creuza.",162066,https://www.funarte.gov.br/estudio-f/393-maria-creuza/,393,393 - Maria Creuza
Chico da Silva,"O estado do Amazonas tem surpresas que vão muito além da biodiversidade de uma imensa e mítica floresta. Elementos das culturas indígena, africana e europeia moldam o dia-a-dia do amazonense e se misturam ao folclore e aos costumes locais, resultando num rico ambiente cultural e musicalmente. Pois vem de lá, do Amazonas, o personagem dessa edição do Estúdio F. Criador de canções que se tornaram grandes sucessos, esse parintinense inscreveu seu nome na história da música brasileira e colocou o Amazonas no mapa do samba: com vocês, Chico da Silva.
",162059,https://www.funarte.gov.br/estudio-f/386-chico-da-silva/,386,386 - Chico da Silva
Antonio Carlos e Jocafi,"Esta edição do Estúdio F começou diretamente da plateia do Rock in Rio 2011, quando o astro internacional Steve Wonder cantou (acompanhado por um coro entusiasmado de mais de cem mil pessoas) “Você abusou”: samba que foi um dos grandes sucessos da música brasileira na década de 1970. Esse momento incrível, que aconteceu 40 anos depois da gravação original da canção (ainda por cima num festival de rock), ilustra a dimensão do sucesso alcançado pela dupla de compositores baianos que – com uma obra que vai além de “Você abusou” – são personagens da música popular brasileira: Antônio Carlos e Jocafi.",162031,https://www.funarte.gov.br/estudio-f/383-antonio-carlos-e-jocaf/,,383 - Antonio Carlos e Jocafi
Wando,"Esta edição do Estúdio F apresenta a história de um dos cantores mais queridos do país. Considerado romântico por uns, brega por outros, se tornou um personagem que conquistou a simpatia até mesmo de quem não curte o tipo de música que ele canta. Como compositor, teve canções gravadas por craques como Roberto Carlos e os Originais do Samba. Com vocês, todo o romantismo e a popularidade de Wando.",162016,https://www.funarte.gov.br/estudio-f/382-wando/,382,382 - Wando
Antônio Nássara,"Descrevendo situações e personagens com graça e malícia, a música pode valer por uma boa caricatura. Seja ela um retrato de Getúlio Vargas, de beduínos no deserto do Saara, das beldades de Copacabana, de uma batalha na Segunda Guerra Mundial... Assuntos que povoam as charges do personagem desta edição do Estúdio F. Desenhista de mão cheia que foi também um dos maiores compositores da chamada era de ouro do rádio, especialmente quando o assunto era carnaval. Com vocês, o traço, os tipos e o humor de Antônio Nássara.",162010,https://www.funarte.gov.br/estudio-f/371-anto%cc%82nio-nassara/,371,371 - Antônio Nássara
Marília Batista,"Muito antes de se tornar símbolo de um país (“a voz do morro”) e conquistar fãs no mundo todo, o samba era barra pesada. Reduto de malandragem, navalha, jogo de chapinha, cachaça e outras pernadas que não era exatamente convidativo a quem não fosse “pinta-braba”, cascudo, valente, duro na queda. Adjetivos que não têm nada a ver (mas nada mesmo) com a personagem desta edição do Estúdio F: a mocinha de boa família, com sobrenome e avô barão, que virou compositora e cantora de destaque na famosa Era de Ouro do rádio. Com vocês, a história da intérprete de Noel Rosa que ficou conhecida como a “princesinha do samba”: Marília Batista.
",161981,https://www.funarte.gov.br/estudio-f/367-marilia-batista/,367,367 - Marília Batista
Rosinha de Valença,"O Brasil é o único país do mundo com nome de árvore. Não é a toa que por aqui existam grandes músicos tocando violão, que também conhecido cariosamente como pinho. Só que a história fez com que o pinho, com suas formas curvilíneas e um tanto femininas, estivesse tradicionalmente nas mãos masculinas de talentos como João Pernambuco, Dilermando Reis, Raphael Rabello e Baden Powell. Gênios do violão de clube composto por homens, até a aparição da nossa personagem desta edição do Estúdio F, que tocava por uma cidade inteira. Sim: uma grande violonista chamada Rosinha de Valença.
",161956,https://www.funarte.gov.br/estudio-f/361-rosinha-de-valenca/,361,361 - Rosinha de Valença
