Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Goiás - História;;240 p. : il.;;;;;Brasília : Iphan 8ª - SR, 1987.;;Annuario histórico, geographico e decriptivo do Estado de Goyaz /;IPHAN-BA(581);;Azevedo, Francisco Ferreira dos Santos   1875-1942;ISBN Não possui;;;;;;;;;;;;;;;;;
Patrimônio  Patrimônio cultural - brasil  Engenhos  Bangüê  Engenho paul  Restauração  Restauração - monumentos - conservação  Restauro;;47 p. : il.;;;;1;João Pessoa : Iphan, João Pessoa : Oficina-Escola de Revitalização do Patrimônio Cultural de João Pessoa, 2005.;;Antigo Engenho Paul : a restauração do Bangüê;IPHAN-BA(581);;Oficina-Escola de Revitalização do Patrimônio Cultural de João Pessoa;ISBN não tem;1. ed.;;;;;;;;;;;;;;;;
Prevenção - incêndios  Antonio prado (rs);;33 p. : il.;;;;;Porto Alegre : Iphan, ~2005.;;Antônio Prado : prevenção de incêndios;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Antropologia urbana  Sociologia urbana;;71 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 4313/07;;Rio de Janeiro : Vozes, 2007.;Biblioteca Básica do IPHAN (BA);A Antropologia de grupos /;IPHAN-BA(581);;Oliven,Ruben George;ISBN 978-85-326-0774-4;;;;;;;;;;;;;;;;;
Patrimônio cultural  Antropologia  Antropologia cultural;;368 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 6828/08;;Blumenau, SC : Nova Letra, 2007.;Biblioteca Básica do IPHAN (BA);Antropologia e patrimônio cultural : diálogo e desafios comtemporâneos;IPHAN-BA(581);;Associação Brasileira de Antropologia;ISBN 978-85-7682-198-4;;;;;;;;;;;;;;;;;
;;104 p. : il.;;;;;Minas Gerais : Iphan, 1978.;;V Anuário do Museu da Inconfidência;IPHAN-BA(581);;Museu da Inconfidência ( Ouro Preto - MG);;;;;;;;;;;;;;;;;;
Instalações  Cultura;;;;;;;[S.l.]  Ministério da Cultura  Iphan;;Apagador /;IPHAN-BA(581);;Carvalhosa, Carlito;;;;;;;;;;;;;;;;;;
Pré-história  Arqueologia  Arqueologia brasileira;;613 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 131;1;Brasília : UNB, 1992.;Biblioteca Básica do IPHAN (BA);Arqueologia Brasileira /;IPHAN-BA(581);;Prous,André;ISBN 85-230-0316-9;1. ed.;;;;;;;;;;;;;;;;
Cerâmica  Amazônia  Arqueologia  Antiguidade  Arqueologia - brasil;;86 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2336/07;;Rio de Janeiro : EDUFBA, Rio de Janeiro : Jorge Zahar Ed., 2006.;Biblioteca Básica do IPHAN (BA);Arqueologia da Amazônia /;IPHAN-BA(581);;Neves,Eduardo Goes;ISBN 85-7110-919-2;;;;;;;;;;;;;;;;;
Arqueologia  Memória;;il.;;;;;[S.l.]  Iphan, 2010.;;Uma Arqueologia dos Desaparecidos : identidades vulneráveis e memórias partidas /;IPHAN-BA(581);;Bastos, Rossano Lopes;;;;;;;;;;;;;;;;;;
História  Bens culturais  Preservação  Iphan  Arqueologia;;84 p. : il.;;;;1;Brasília : Iphan, 2005.;;Arqueologia histórica : manual /;IPHAN-BA(581);;Najjar,Rosana;ISBN CDD 930-10202;1. ed.;;;;;;;;;;;;;;;;
Arqueologia  Prevenção - conservação;;;;;;;[S.l.]  Iphan, 2010.;;Arqueologia Preventiva : gestão e mediação de conflitos estudos comparativos /;IPHAN-BA(581);;Souza, Maria Campos De.(org).;;;;;;;;;;;;;;;;;;
Arquitetura brasileira  Arquitetura brasileira - séculos xix/xx;;14 p.;;Jornal do Commercio;"Separata de "" Aspectos da Formação e Evolução do Brasil"" .";S720  B226  IPHAN-BA;[S.l.]  Iphan, 1952.;(Jornal do Commercio);A Arquitetura Brasileira dos Séculos XIX e XX /;IPHAN-BA(581);;Barata, Mario;;;;;;;;;;;;;;;;;;
Arquitetura - história - brasil  Arte - história - brasil  Planejamento territorial urbano - história  Planejamento territorial urbano - brasil;;247 p.;Cardoso,Joaquim  Costa,Lúcio  Vasconcellos,Sylvio de;;;;São Paulo : MEC, São Paulo : Iphan, São Paulo : Faculdade de Arquitetura e Urbanismo- USP, 1975.;;Arquitetura civil I /;IPHAN-BA(581);;Telles,Augusto C. da Silva;ISBN Não possui;;;;;;;;;;;;;;;;;
Arquitetura - história - brasil  Arte - história - brasil  Móveis - história - brasil  Planejamento territorial urbano - brasil;;208 p. : il.;FAU/USP;Textos Escolhidos da Revista do IPHAN  1,2,3;Contéudo: v.1 Residências.--v.2. Residência Rural.--v.3 mobiliário e aflitos.;728.0981  B823  2  IPHAN-BA;São Paulo : Iphan, 1975.;(Textos Escolhidos da Revista do IPHAN  1,2,3);Arquitetura Civil I : Mobiliário e Alfaias;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;2. ed.;;;;;;;;;;;;;;;;
Arquitetura - história - brasil  Arte - história - brasil  Móveis - história - brasil  Planejamento territorial urbano - brasil;;208 p. : il.;FAU/USP;Textos Escolhidos da Revista do IPHAN  1,2,3;Contéudo: v.1 Residências.--v.2. Residência Rural.--v.3 mobiliário e aflitos.;728.0981  B823  2  IPHAN-BA;São Paulo : Iphan, 1975.;(Textos Escolhidos da Revista do IPHAN  1,2,3);Arquitetura Civil II : Mobiliário e Alfaias;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;2. ed.;;;;;;;;;;;;;;;;
Arquitetura - história - brasil  Arte - história - brasil  Móveis - história - brasil  Planejamento territorial urbano - brasil;;208 p. : il.;FAU/USP;Textos Escolhidos da Revista do IPHAN  1,2,3;Contéudo: v.1 Residências.--v.2. Residência Rural.--v.3 mobiliário e aflitos.;728.0981  B823  2  IPHAN-BA;São Paulo : Iphan, 1975.;(Textos Escolhidos da Revista do IPHAN  1,2,3);Arquitetura Civil III : Mobiliário e Alfaias;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;2. ed.;;;;;;;;;;;;;;;;
Planejamento territorial urbano - brasil  Planejamento territorial urbano - história  Arquitetura - brasil - história  Arte - história - brasil  Móveis - história - brasil;;194 p.;Filho,Godofredo  Reis,Arthur Cezar Ferreira;;;;São Paulo : Iphan, São Paulo : Faculdade de Arquitetura e Urbanismo- USP, 1975.;;Arquitetura civil III : mobiliário e alfaias /;IPHAN-BA(581);;Lamego,Alberto Ribeiro;ISBN Não possui;;;;;;;;;;;;;;;;;
Patrimônio cultural - preservação  Patrimônio cultural - proteção  Arquitetura - são paulo  Construção em ferro  Estações de trem - são paulo  Ferrovia  Ferro na arquitetura  O  Arquitetura  Arquitetura - brasil  Arquitetura-construção  Arquitetura - ferrovias - são paulo  Arquitetura - conservação - restauração;;il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 127;1;São Paulo : Ateliê Editorial, 1998.;Biblioteca Básica do IPHAN (BA);Arquitetura do ferro e arquitetura ferroviária em São Paulo : reflexões sobre a sua preservação /;IPHAN-BA(581);;Kühl,Beatriz Mugayar;ISBN 85-85851-64-1;1. ed.;;;;;;;;;;;;;;;;
Arquitetura  Arte  Brasil colônia;;253 p.;;;;;[S.l.]  Iphan, 2006.;;Arquitetura e Arte no Brasil Colonial /;IPHAN-BA(581);;Bury,John;ISBN 85-7334-034-7;;;;;;;;;;;;;;;;;
Arquitetura  Brasil colônia  Arte;;253 p. : il.;;;;;Brasília : Iphan, 2006.;;Arquitetura e Arte no Brasil Colonial /;IPHAN-BA(581);;Bury,John;ISBN 85-7334-034-7;;;;;;;;;;;;;;;;;
Arquitetura  Arquitetura moderna - brasil  Brasil - arquitetura moderna  Arquitetura - brasil  Arquitetura moderna;;288 p. : il.;;;;2;Rio de Janeiro : Iphan, Rio de Janeiro : Aeroplano, 2000.;;Arquitetura moderna no Brasil /;IPHAN-BA(581);;Mindlin,Henrique E.;ISBN 85-86579-05-X;2. ed.;;;;;;;;;;;;;;;;
Arquitetura - brasil - história  Arte - história - brasil  Técnica - história - brasil;;253 p. : il.;Barreto, Paulo Thedim;;;;São Paulo : MEC, São Paulo : Iphan, São Paulo : Faculdade de Arquitetura e Urbanismo- USP, 1978.;;Arquitetura oficial I /;IPHAN-BA(581);;Reis,José de Souza;ISBN Não possui;;;;;;;;;;;;;;;;;
Arte - história - brasil  Arquitetura - brasil - história  Técnica - história - brasil;;189 p. : il.;Ott,Carlos  Santos,Noronha;;;;São Paulo : MEC, São Paulo : Iphan, São Paulo : Faculdade de Arquitetura e Urbanismo- USP, 1978.;;Arquitetura oficial II /;IPHAN-BA(581);;Ferraz,Antônio Leôncio Pereira;ISBN Não possui;;;;;;;;;;;;;;;;;
Arquitetura  Arquitetura religiosa;;164 p.;;;;;São Paulo : Faculdade de Arquitetura e Urbanismo- USP, 1978.;;Arquitetura Religiosa;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Arquitetura - história - brasil  Arte - história - brasil  Técnica - história - brasil;;164 p. : il.;FAU/USP;Textos Escolhidos da Revista do IPHAN  1,2,3;"Estante: 6  Prateleira:  2
Texros Escolhidos da Revista do Instituto do Patrimônio Histórico e Artístico Nacional.";726.0981  B823  IPHAN-BA;São Paulo : Iphan, 1978.;(Textos Escolhidos da Revista do IPHAN  1,2,3);Arquitetura Religiosa;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Arquitetura religiosa  Arquitetura religiosa - rio de janeiro  Igrejas - decoração - ornamentação - rio de janeiro;;270 p. : il.;;;;726.981.53  A475  IPHAN-BA;Rio de Janeiro : Iphan, Rio de Janeiro : UFRJ - Universidade Federal do Rio de Janeiro, 1996.;;Arquitetura Religiosa Colonial no Rio de Janeiro : Revestimentos, Retábulos e Talha /;IPHAN-BA(581);;Alvim, Sandra,  1951-;ISBN 85-7334-007 - X;;;;;;;;;;;;;;;;;
Arquitetura;;246 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2343/07;2;São Paulo : Martins Fontes, 1998.;Biblioteca Básica do IPHAN (BA);Arquitetura vivenciada /;IPHAN-BA(581);;Rasmussen,Steen Elier;ISBN 85-336-0931-0;2. ed.;;;;;;;;;;;;;;;;
Jardim  Paisagismo  Ecossistema  Preservação  Conservação - restauração  Iphan;;152 p. : il.;;;;1;Brasília : Iphan, 2005.;;Arquiteturas no Brasil /;IPHAN-BA(581);;Delphim,Carlos Fernando de Moura;ISBN CDD - 712.30202;1. ed.;;;;;;;;;;;;;;;;
Bibliografia - documentos - arquivamento  Documentos - arquivamentos - bibliografia  Arquivamentos - bibliografia - documentos  Arquivos  Documentos;;162 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 130;3;Rio de Janeiro : Fundação Getúlio Vargas, Rio de Janeiro : FGV, 1986.;Biblioteca Básica do IPHAN (BA);Arquivo : Teoria e Prática /;IPHAN-BA(581);;Paes,Marilena Leite;ISBN 85-225-0220-X;3. ed.;;;;;;;;;;;;;;;;
Arquivo - museu nacional  Museu nacional - arquivo  Arquivos;;155 p.;;;;1945;Rio de Janeiro : Iphan, 1945.;;Arquivos do Museu Nacional;IPHAN-BA(581);;Ministério da Educação e Saúde;;1945. ed.;;;;;;;;;;;;;;;;
Arquivo - museu nacional  Museu nacional - arquivo  Arquivos;;497 p.;;;;;Rio de Janeiro : Iphan, 1940.;;Arquivos do Museu Nacional;IPHAN-BA(581);;Ministério da Educação e Saúde;;;;;;;;;;;;;;;;;;
Documentos  Fundação getúlio vargas  arquivos e arquivamento;;320 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 8949/09;4;Rio de Janeiro : Editora FGV, 2006.;Biblioteca Básica do IPHAN (BA);Arquivos permanentes : tratamento documental /;IPHAN-BA(581);;Belloto, Heloisa Liberalli;ISBN 85-225-0474-1;4. ed.;;;;;;;;;;;;;;;;
Arte  Patrimônio cultural  Patrimônio artístico;;il.;IPHAN - Instituto do Patrimônio Histórico e Artístico Nacional  Paço Imperial;;Caixa contendo 10 folhetos;;São Paulo : Iphan, São Paulo : Minc, São Paulo : Paço Imperial, 2008.;;Arte e Patrimônio 2009;IPHAN-BA(581);;Ministério da Cultura;ISBN Não possui;;;;;;;;;;;;;;;;;
Arte popular;;;;;;;[S.l.]  Ministério da Cultura  Iphan;;Arte em madeira do Piauí : santos e sertões do imaginário /;IPHAN-BA(581);;Lima, Lívia Ribeiro;;;;;;;;;;;;;;;;;;
Arte pré-histórica  Brasil  Brasil - antiguidades  Pintura rupestre  Arqueologia  Arqueologia brasileira  Arte primitiva  Arte rupestre;;83 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 119;1;Rio de Janeiro : Jorge Zahar Ed., 2003.;Biblioteca Básica do IPHAN (BA);A Arte rupestre no Brasil /;IPHAN-BA(581);;Gaspar,Madu;ISBN 85-7110-747-5;1. ed.;;;;;;;;;;;;;;;;
Festa do divino espírto santo - goiás  Cristãos e mouros  Mascaras  Artesanato em barro - goiás  Cerâmica  Arte popular;;40 p. : il.;;;;;Rio de Janeiro : Iphan, 2008.;;As artes do divino /;IPHAN-BA(581);;Lima e Alves,Ana Cláudia;ISBN 1414-3755;;;;;;;;;;;;;;;;;
Artes do mar  Educação patrimonial  Instituto do patrimônio histórico e artístico nacional  Programa monumenta;;72 p. : il.;;Preservação e Desenvolvimento: Monumenta;;;Brasília : IPHAN / Programa Monumenta, 2009.;(Preservação e Desenvolvimento: Monumenta);Artes do mar : Laguna - SC;IPHAN-BA(581);;Iphan/monumenta;ISBN 978-85-7334-128-7;;;;;;;;;;;;;;;;;
Programa monumenta  Artes do mar  Educação patrimonial  Instituto do patrimônio histórico e artístico nacional;;72 p. : il.;;Preservação e Desenvolvimento: Monumenta;;;Brasília : IPHAN / Programa Monumenta, 2009.;(Preservação e Desenvolvimento: Monumenta);Artes do mar : Laguna- SC;IPHAN-BA(581);;Iphan/monumenta;ISBN 978-85-7334-128-7;;;;;;;;;;;;;;;;;
Patrimônio  Preservação  Jesuítas  História  Tombamento  Historiografia  Instituto do patrimônio histórico e artístico nacional;;150 p. : il.;Menezes, Aline Bezerra de (pesquisa E Textos);Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 8151/09;;Rio de Janeiro : IPHAN/ COPEDOC, 2008.;Biblioteca Básica do IPHAN (BA);Assentamentos jesuíticos : territórios e significados;IPHAN-BA(581);;Chuva, Márcia (org.);ISBN 978-85-7334-076-1;;;;;;;;;;;;;;;;;
Centros históricos  Brasil  Patrimônio cultural - brasil  Brasil - descrições e viagens  Guia  Guia turistico;;270 p. : il.;Piccinato, Giorgio;Biblioteca Básica do IPHAN (BA);"Biblioteca Noronha Santos Copedoc/IPHAN/Minc Reg. 9807. 2010.
PEP 190
Apêndice
Inclui Bibliografia";;Rio de Janeiro : Casa da Palavra, 2007.;Biblioteca Básica do IPHAN (BA);Atlas de centros históricos do Brasil /;IPHAN-BA(581);;Pessôa,José;ISBN 978-7734-080-4;;;;;;;;;;;;;;;;;
Atos indígenistas  Atos;;143 p.;;;;;Brasília : SPHAN, Brasília : Fundação Nacional Pró-Memória, 1988.;;Atos Indigenistas;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN S.N;;;;;;;;;;;;;;;;;
Instituto do patrimônio histórico e artístico nacional  Programa monumenta  Educação patrimonial  Patrimônio cultural;;74 p. : il.;;;;;Brasília : Iphan/ Monumenta, 2007.;;Aula Patrimônio : Alfândega e Madre de Deus- Recife;IPHAN-BA(581);;;ISBN 978-85-7334-043-3;;;;;;;;;;;;;;;;;
Azulejos  Cerâmica;;112 p. : il.;;;;;Rio de Janeiro : Iphan, 1997.;;Azulejos na Cultura Luso-Brasileira;IPHAN-BA(581);;Alcântara, Dora de,  1931-;ISBN 85-7334-010-X;;;;;;;;;;;;;;;;;
Patrimônio naval  Inventário  Inventários  Barcos  Barcos brasileiros;;16 p. : il.;;;;387.20981  V657b  CDP (Brasília);[S.l.]  Iphan;;Barcos do Brasil : proposta geral para identificação, registro, preservação e valorização dos barcos tradicionais brasileiros /;IPHAN-BA(581);;Vieira Filho,Dalmo;;;;;;;;;;;;;;;;;;
Tiradentes - minas gerais  Barroco e rococó  São joão del-rey - minas gerais;;204 p. : il.;Oliveira,Myriam Andrade Ribeiro de;;;1;Brasília : IPHAN / Programa Monumenta, 2010.;;Barroco e Rococó nas igrejas da São João Del-Ray e Tiradentes /;IPHAN-BA(581);;Filho, Olinto Rodrigues dos Santos;ISBN 978-85-7334-144-7;1. ed.;;;;;;;;;;;;;;;;
Barroco e rococó  São joão del-rey - minas gerais  Tiradentes - minas gerais;;160 p. : il.;Filho, Olinto Rodrigues dos Santos;;;1;Brasília : IPHAN / Programa Monumenta, 2010.;;Barroco e Rococó nas igrejas da São João Del-Ray e Tiradentes /;IPHAN-BA(581);;Oliveira,Myriam Andrade Ribeiro de;ISBN 978-85-7334-145-4;1. ed.;;;;;;;;;;;;;;;;
Bens culturais  Bens culturais - direito;;178 p.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2347/07;3;Curitiba : Juruá, 2005.;Biblioteca Básica do IPHAN (BA);Bens culturais e sua proteção jurídica /;IPHAN-BA(581);;Souza Filho,Carlos Frederico Marés de;ISBN 85-362-1046-X;3. ed.;;;;;;;;;;;;;;;;
Bens protegidos pelo iphan  Inventário  Bens móveis e imóveis  Brasil - bens móveis e imóveis;;251 p.;Instituto do Patrimônio Histórico e Artístico Nacional-IPHAN;;Exemplar doado para a sub-regional de Cachoeira - 22/09/2004.;4 rev. amp;[S.l.]  Iphan, 1994.;;Bens Móveis e Imóveis Inscritos nos Livros do Tombo do Instituto do Partrimônio Histórico e Artístico Nacional;IPHAN-BA(581);;Ministério da Cultura;;4 rev. amp. ed.;;;;;;;;;;;;;;;;
Brasil  Bens culturais  Tombamento  Cultura  Instituições  Iphan;;251 p.. p.;;;rev.atual;R306.0981  B823  4  IPHAN-BA;Rio de Janeiro : Iphan, 1994.;;Bens móveis e imóveis inscritos nos livros do tombo do Instituto do Patrimônio Histórico e Artistico Nacional;IPHAN-BA(581);;Brasil. Instituto do Patrimônio Histórico e Artístico Nacional;;4. ed.;;;;;;;;;;;;;;;;
Bens culturais  Tombamento  Brasil  Cultura  Instituições;;251 p.. p.;;;rev.atual;R306.0981  B823  4ed.  IPHAN-BA;Rio de Janeiro : Iphan, 1994.;;Bens móveis e imóveis inscritos nos livros do tombo do Instituto do Patrimônio Histórico e Artistico Nacional;IPHAN-BA(581);;Brasil. Instituto do Patrimônio Histórico e Artístico Nacional;;4. ed.;;;;;;;;;;;;;;;;
Bens culturais  Tombamento  O  Brasil  Cultura  Instituições;;251 p.. p.;;;rev.atual;R306.0981  B823  IPHAN-BA;Rio de Janeiro : Iphan, 1994.;;Bens móveis e imóveis inscritos nos livros do tombo do Instituto do Patrimônio Histórico e Artistico Nacional;IPHAN-BA(581);;Brasil. Instituto do Patrimônio Histórico e Artístico Nacional;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Patrimônio imaterial  Patrimônio;;251 p.;MINISTÉRIO DA CULTURA;;;4;Rio de Janeiro : Iphan, 1994.;;Bens móveis e imóveis inscritos nos Livros do Tombo do IPHAN;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;4. ed.;;;;;;;;;;;;;;;;
Inventários  Inventário  Diamantina (mg)  Bens tombados;;84 p. : il.;;;;1;Belo Horizonte : Iphan - 13ªSR/MG, s.d.;;Bens Tombados de Diamantina;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;;1. ed.;;;;;;;;;;;;;;;;
Artesanato - arte  Bordado;;il.;;;;;[S.l.]  Ministério da Cultura, Iphan, 2010.;;Boa - noite : bordado da ilha do ferro /;IPHAN-BA(581);;Azevedo, Patrícia;;;;;;;;;;;;;;;;;;
Memória urbana  Bom retiro  Educação patrimonial  O;;96 p.;;;;;São Paulo : Iphan - 9ª SR - SP, 2007.;;Bom Retiro: memória urbana e patrimônio cultural : coletânia de textos para educação patrimonial;IPHAN-BA(581);;Scifoni,Simone (Org.);ISBN 978-85-99542-03-3;;;;;;;;;;;;;;;;;
Geografia física  Pantanal mato-grossense  Pantanal  Geomorfologia  Brasil - litoral;;"182 p. : il.; color.";;Biblioteca Básica do IPHAN (BA);"Biblioteca Noronha Santos Copedoc/IPHAN/Minc Reg. 9785. 2010.
PEP 193
Bibliografia";918.1  A122b  IPHAN-AP;Cotia, SP : Ateliê Editorial, 2006.;Biblioteca Básica do IPHAN (BA);Brasil : paisagens de exceção: o litoral e o Pantanal Mato-Grossense - patrimônios básicos /;IPHAN-BA(581);;Ab'Saber, Aziz Nacib;ISBN 8574802182;;;;;;;;;;;;;;;;;
Imigrantes  Brasil - história  Colonização;;74 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 2337/07;2;São Paulo : Jorge Zahar Ed., 2002.;Biblioteca Básica do IPHAN (BA);O Brasil dos imigrantes /;IPHAN-BA(581);;Oliveira,Lùcia Lippi;ISBN 85-7110-577-4;2. ed.;;;;;;;;;;;;;;;;
Dança  Maranhão  Patrimônio imaterial - brasil  Patrimônio imaterial  Bumba - meu - boi  Música  Partitura;;252 p.;;;;;São Luís : Iphan, 2011.;;Bumba-meu-boi : som e movimento;IPHAN-BA(581);;Iphan - 3ª Sr - Ma.;;;;;;;;;;;;;;;;;;
Porto Alegre (RS)  Personagens  Personagens históricos  Cultura popular  Patrimônio cultural;;42 p. : il.;IPHAN/Monumenta  SindBancários - Porto Alegre;;;;Porto Alegre : Iphan, Porto Alegre : SindBancários - Porto Alegre, Porto Alegre : Hominus, S.d.;;Caderno de Balanço Social;IPHAN-BA(581);;Hominus;;;;;;;;;;;;;;;;;;
Territorialidade do patrimônio imateria  Negro - rio grande do sul  Gaúcho  Arqueologia  Educação  Preservação  Diversidade cultural  Registro de bem cultural  Gestão da conservação integrada  Paisagem cultural;;180 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 4636/08;;[S.l.]  Unesco, Iphan, 2006.;Biblioteca Básica do IPHAN (BA);Caderno de Estudos do PEP : contribuição dos palestrantes da 1ª Oficina do PEP 2006. Vassouras - RJ;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Patrimônio cultural - brasil  Patrimônio imaterial  Patrimônio móvel integrado  Preservação - patrimônio cultural;;220 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 4635/08;;Rio de Janeiro : Unesco, Rio de Janeiro : Iphan, 2005.;Biblioteca Básica do IPHAN (BA);Caderno de Estudos do PEP : contribuição dos palestrantes da 1ª Oficina PEP 2005;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possuiu;;;;;;;;;;;;;;;;;
Preservação  Biblioteca básica de preservação cultural  Patrimônio cultural;;51 p. : il.;;Biblioteca Básica do IPHAN (BA);Tombo na Biblioteca Noronha Santos/ COPEDOC/ IPHAN/ MINC: 4637/08;363.69  I59c  IPHAN-AP;Rio de Janeiro : Unesco, Rio de Janeiro : Iphan, 2007.;Biblioteca Básica do IPHAN (BA);Caderno de Estudos do PEP : cronologia e bibliografia das práticas de preservação do patrimônio cultural 2007;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Naõ possui;;;;;;;;;;;;;;;;;
Patrimônio histórico - preservação  Educação patrimonial  Educação - museu  Patrimônio  Patrimônio cultural - minas gerais  Patrimônio histórico  Patrimônio histórico e cultural;;il.;;;;1;[S.l.]  Iphan, Iphan/mg, ?.;;Caderno do viajante : apontamentos para se conhecer as cidades de Minas do século XVIII e seus museus - Registros do viajante;IPHAN-BA(581);;Projeto Cidades e Museu;;1. ed.;;;;;;;;;;;;;;;;
Recôncavo  O;;164 p. p. : il.;;;"Patrimônio Cultural- Inventário Capela de Nossa Senhora da Conceição-Nazaré (BA)
Capela de Nossa Senhora de Nazaré-Camamú (BA)";R306  B823  IPHAN-BA;Salvador : Inventário Nacional de Bens Móveis e Integrados, 1994.;;Capela de Nossa Senhora da Conceição, Capela de Nossa Senhora de Nazaré (Camamú) /;IPHAN-BA(581);;Brasil,IPHAN;;;;;;;;;;;;;;;;;;
Restauro  Capela de são josé (castro alves, ba.)  Restauração;;24 p. : il.;;;;;Salvador : IPHAN - 7ª SR, 2005.;;"Capela de São José : ""uma ação educativa"". Vila de Jenipapo, Castro Alves/Ba";IPHAN-BA(581);;Iphan - 7ª SR;;;;;;;;;;;;;;;;;;
Inventário  Nacional  Bens móveis;;126 p. p. : il.;;;Conteúdo: Módulo I - Recõncavo Castro Alves/Ba.                                                                                                      Projeto Patrocinado pela Fundação Vitae.;;Salvador : Iphan, 1994.;;Capela de São José do Jenipapo/ IPHAN 7 CR /;IPHAN-BA(581);;Brasil,IPHAN;;;;;;;;;;;;;;;;;;
Inventário  Nacional  Bens móveis;;240 p. p. : il.;;;"Conteúdo: Módulo I - Recôncavo são Sebastião do Passé - Ba.
Projeto patrocinado pela Fundação Vitae.";R306  B823  IPHAN-BA;Salvador : Instituto do Patrimônio Histórico e Artístico Nacional, 1994.;;Capela e Casa Grande do Engenho Lagoa /;IPHAN-BA(581);;Brasil,IPHAN;;;;;;;;;;;;;;;;;;
Conjunto fabril de cascatinha  Tombamento  Patrimônio histórico e cultural;;33 p. : il.;;;;;Rio de Janeiro : Minc, 1988.;;Carta ao Conjunto Fabril de Cascatinha;IPHAN-BA(581);;Iphan - Instituto do Patrimônio Histórico E Artístico Nacional;ISBN Não possui;;;;;;;;;;;;;;;;;
Paraguai - guerra (1864 - 1870)  Paraguai  Benjamin constant (1836- 1891)  Guerra do paraguai (1865-1870)  Correspondência;;220 p.;;;;;Rio de Janeiro : Iphan, Rio de Janeiro : Museu Casa de Beijamin Constant, 1999.;;Cartas da Guerra : Benjamin Constant na Campanha do Paraguai /;IPHAN-BA(581);;Lemos,Renato;;;;;;;;;;;;;;;;;;
