Assunto,Descrição do documento,Localização Geográfica,Palavras-chave,Tipo de documento,autor,data,descrição,link,titulo,Outros nomes,Número do documento
"Identificação
","03 folhas textuais; 01 planta; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-03-07,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26741?discover?rpp=10&etal=0,"Imóvel à Rua da Carioca, n° 03",,
"Autorização
","15 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Fiscalização||Notificação de Embargo||Rua do Ouvidor,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1992,"Documentação abrangendo o período de 1992 - 2015.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30909?discover?rpp=10&etal=0,"Imóvel à Rua Senador Eugênio Jardim, nº 26",,
"Obras
","19 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Empresa de Telecomunicações de Goiás - TELEGOIÁS S.A.||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1994,"Documentação abrangendo o período de 1994 - 2007.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30997?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 10",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1990,"Documentação referente ao ano de 1990.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31001?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, s/n (02)",,
"Autorização
","09 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2006,"Documentação abrangendo o período de 2006 - 2015.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31007?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 14",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2009,"Documentação referente ao ano de 2009.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30568?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 34",,
"Autorização
","06 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua do Ouvidor,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1990,"Documentação abrangendo o período de 1990 - 2010.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30899?discover?rpp=10&etal=0,"Imóvel à Rua Senador Eugênio Jardim, nº 19",,
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2006,"Requerimento e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31024?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, s/n (4)",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1998,"Documentação referente ao ano de 1998.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31004?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, s/n (03)",,
"Autorização
","05 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||Instalação de Tenda Móvel||Tapioca do Cerrado,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2015,"Documentação referente ao ano de 2015.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31027?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, s/n (06)",,
"Fiscalização
","09 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Notificação de ação irregular.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31025?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra 19, Lote 10",,
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2006,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31043?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 05 A",,
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2004,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31041?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 03",,
"Autorização
","10 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1994,"Documentação abrangendo o período de 1994 - 1995.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31052?discover?rpp=10&etal=0,"Imóvel à Rua da Abadia, nº 12",,
"Autorização
","20 folhas textuais; 01 planta.
","Goiás, Goiás (GO)
","Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santana||Praça Doutor Brasil Ramos Caiado||Conjunto Arquitetônico e Urbanístico do Largo do Chafariz, ou Praça Monsenhor Confúcio, inclusive Chafariz da Boa Morte||Programa Monumenta","textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1987,"Documentação abrangendo o período de 1987 - 2011.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27010?discover?rpp=10&etal=0,"Imóvel à Rua Senador Caiado, n° 47",,
"Fiscalização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Notificação de irregularidade e requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31033?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, s/n (6)",,
"Autorização
","05 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Documentação abrangendo o período ode 2002 - 2011.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31032?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 03",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2000,"Documentação referente ao ano de 2000.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31020?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 02",,
"Autorização
","29 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno||Construção Nova,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2013,"Requerimento, proposta e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30595?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, Quadra 10, Lote 08","Imóvel à Rua Linda Passos Valadares, Quadra 10, Lote 08
",
"Obras
","39  folhas textuais; 01 foto.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua Bartolomeu Bueno||Intervenção,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1987,"Documentação abrangendo o período de 1987 - 2005.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26844?discover?rpp=10&etal=0,"Imóvel à Rua da Cambaúba, n° 30","Casa de Bartolomeu Bueno
",
"Identificação
","03 folhas textuais; 01 foto; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 - 1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27132?discover?rpp=10&etal=0,"Imóvel à Rua Monsenhor Azevedo, n° 22",,
"Autorização
","05 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua do Fórum||Rua Coronel Luiz Guedes Amorim,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2001,"Documentação abrangendo o período de 2001 - 2010.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27262?discover?rpp=10&etal=0,"Imóvel à Rua Monsenhor Azevedo, n° 08",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2012,"Parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30564?discover?rpp=10&etal=0,"Imóvel à Avenida Deusdeth Ferreira de Moura, s/n (1)",,
"Obras
","92 folhas textuais; 12 plantas.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Intervenção||Setor Santana||Rua Direita do Palácio||Agência do Banco do Estado de Goiás (BEG)||Agência Bancária ITAÚ,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1988,"Documentação abrangendo o período de 1988 - 2013.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30615?discover?rpp=10&etal=0,"Imóvel à Rua Moretti Foggia, nº 04",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno||Requerimento,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2003,"Documentação abrangendo o período de 2003 - 2009 .
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30897?discover?rpp=10&etal=0,"Imóvel à Rua Coronel Santa Cruz, s/n (11)",,
"Obras
","10 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua Bartolomeu Bueno||Intervenção,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Documentação abrangendo o período de 2002 - 2012, mormente requerimento para intervenção e relatórios de fiscalização.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26829?discover?rpp=10&etal=0,"Imóvel à Rua da Cambaúba, n° 09",,
"Autorização
","04 folhas textuais (com 01 croqui de fachada frontal).
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Rua do Fórum||Rua Coronel Luiz Guedes Amorim,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1998,"Parecer técnico.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/27263?discover?rpp=10&etal=0,"Imóvel à Rua Monsenhor Azevedo, n° 09",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2011,"Documentação referente ao ano de 2011.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30565?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 25",,
"Identificação
","03 folhas textuais; 01 foto.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo||Cadastro de Bens Culturais Imóveis||Inventário Nacional de Bens Imóveis,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1996-05-09,"Documentação abrangendo o período de 1996 -1997.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/26736?discover?rpp=10&etal=0,"Imóvel à Rua da Carioca, n° 4 A",,
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Notificação||Rua do Ouvidor,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1999,"Documentação abrangendo o período de 1999 - 2006.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30902?discover?rpp=10&etal=0,"Imóvel à Rua Senador Eugênio Jardim, nº 20",,
"Autorização
","09 folhas textuais; 02 plantas.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Documentação abrangendo o período de 2002 - 2004.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30987?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra A, Lote 05",,
"Autorização
","07 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1995,"Fichas do Cadastro de Bens Culturais Imóveis e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30985?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 76",,
"Autorização
","06 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2009,"Documentação abrangendo o período de 2009 - 2011.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31030?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, s/n (5)",,
"Autorização
","10 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Notificação||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2002,"Documentação abrangendo o período de 2002 - 2014.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31037?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 17",,
"Autorização
","06 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2014,"Documentação referente ao ano de 2014.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31029?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, nº 22",,
"Autorização
","02 folhas textuais; 01  fotografia; 01 planta.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2001,"Requerimento e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30988?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra 02, Lote 04",,
"Autorização
","04 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Corumbá||Rua Couto Magalhães,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2006,"Documentação referente ao ano de 2006.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31010?discover?rpp=10&etal=0,"Imóvel à Rua Maximiano Mendes, s/n (04)",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2004,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31039?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, Quadra A, Lote 01",,
"Autorização
","02 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2009,"Requerimento e parecer.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31047?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 07",,
"Autorização
","01 folha textual.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Santa Bárbara||Área de Entorno,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2004,"Requerimento.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31044?discover?rpp=10&etal=0,"Imóvel à Rua Santa Bárbara, n° 06",,
"Autorização
","08 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Setor Carmo,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",1993,"Documentação referente ao ano de 1993.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31046?discover?rpp=10&etal=0,"Imóvel à Rua da Abadia, nº 01",,
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31062?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000126
"
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31067?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000130
"
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31066?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000129
"
"Autorização
","03 folhas textuais.
","Goiás, Goiás (GO)
",Conjunto Arquitetônico e Urbanístico da Cidade de Goiás||Rua Rosa Gomes||Setor Carmo||Setor Santa Bárbara,"textual
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",2011,"Documentação abrangendo o período de 2011 - 2014.
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/30554?discover?rpp=10&etal=0,"Imóvel à Rua Hugo Ramos, nº 07",,
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arquitetônica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31065?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000128
"
"Obras
","Fotografia COR; 15 x 10 cm
","João Pessoa, Paraíba (PB)
",Centro Histórico de João Pessoa||Agência Espanhola de Cooperação Internacional (AECI)||Comissão Permanente de Desenvolvimento do Centro Histórico de João Pessoa||Varadouro||Rua Padre Antônio Pereira||Ladeira de São Frei Pedro Gonçalves||Intervenção,"Fotografias
","
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN)
",,"[Prospecção arqueológica]
",http://acervodigital.iphan.gov.br/xmlui/handle/123456789/31063?discover?rpp=10&etal=0,"Imóvel à Praça São Frei Pedro Gonçalves, nº 02 ﻿",,"F000126
"
