Acervo,Altura,Autor,Categoria,Classificação,Coleção,Comprimento,Código Thesaurus,Data de aquisição,Data de produção,Denominação,Destaque no acervo,Document,Fonte de aquisição,Histórico/Observação,Largura,Link do Item,Local de produção,Marcas/Inscrições,Material,Modo de aquisição,Número de registro,Procedência,Resumo descritivo,Situação,Técnica,Título,Diâmetro,Tema,Outros números,Profundidade,Peso,Exposições
Artes Visuais,,Não identificado,Caça/Guerra > Arma branca de choque,01 Caça e Guerra > 01.2 Arma,Acervo Museológico,95,01.02.15,21/01/1989,Século XX,Espada,,889,Família Rocha Lima,"Espada do oficial general do Exército brasileiro, Anfrísio da Rocha Lima, nascido em 16/08/1905 na Cidade de Goiás e falecido no Rio de Janeiro em 18/12/1985. Doada pelos filhos Niderval e Anfrísio da Rocha Lima Jr. Vide dossiê com ofícios, produção intelectual e outros em pct. “Acervo Museológico”.",10,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/espada/,Não identificado,Ausência de inscrições,Metal,Doação,Sem registro,Doação da família Rocha Lima,Espada de metal composta de lâmina e bainha.,Localizado,Técnica em Metal > Fundição,Espada do Gen. Anfrísio da Rocha Lima,,,,,,
Artes Visuais,69,Não identificado,Transporte > Acessório de Transporte Terrestre,11 Transporte > 11.3 Acessório de Transporte Terrestre,Acervo Museológico,55,11.3.14,21/01/1989,Século XX,Sela,,887,Família Rocha Lima,"Montaria do oficial general do Exército brasileiro, Anfrísio da Rocha Lima, nascido em 16/08/1905 na Cidade de Goiás e falecido no Rio de Janeiro em 18/12/1985. Doada pelos filhos Niderval e Anfrísio da Rocha Lima Jr. Vide dossiê com ofícios, produção intelectual e outros em pct. “Acervo Museológico”.",30,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/sela/,Não identificado,Brasão da República,Couro | Metal,Doação,Sem registro,Doação da família Rocha Lima,"Montaria composta de sela, manta, cabeçada completa e apetrechos.",Localizado,Técnica em Tecido > Corte | Técnica em Metal > Fundição,Sela “Gal. Anfrísio da Rocha Lima”,,,,,,
Artes Visuais,55,Manoel Ribeiro Guimarães,Comunicação > Documento,10 Comunicação > 10.1 Documento,Acervo Museológico,62,10.1.04,1983,Século XVIII > 1782,Planta de Villa Boa,,77287,Não identificada,"Cópia da Planta de Villa Bôa de Goyaz, em um quadro, levantada no ano de 1782 pelo Ilmo. e Exmo. Governador e Capitão General Luiz da Cunha Menezes e copiada pelo Soldado Dragão Manoel Ribeiro Guimarães. Por não ter documentação constando data de aquisição foi registrado no ano de 1983.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/planta-de-villa-boa/,Brasil > Goiás,Inscrições múltiplas. Vide descrição.,Madeira | Papel,Doação,Sem registro,Não identificada,"Quadro com a cópia da Planta de Villa Boa de Goyaz, tendo abaixo desenho do Palácio dos Governadores e 06 figuras com o uniforme dos batalhões existentes na vila, acima faixa com especificação dos logradouros públicos, ruas, becos, travessas, principais edificações e igrejas.",Localizado,Impressão | Técnica em Papel > Recorte,Planta de Villa Boa,,Cartografia,,,,
Artes Visuais,,Não identificado,,08 Insígnias,Acervo Museológico,194,08.03,20/11/1972,Século XX,Bandeira Nacional,,884,Jaime Câmara,"Vide of. exp. nº 59, de 08/11/1972, uma Bandeira Nacional doada pelo Lions Club da Cidade de Goiás, supõe-se tratar-se da mesma, pela data de aquisição.",135,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/bandeira-nacional/,Brasil > Goiás,Ordem e Progresso,Algodão,Doação,Sem registro,Sr. Jaime Câmara,"Bandeira Nacional, tecido de algodão, formato retangular, nas cores verde, amarelo, azul e branco. Inscrição “Ordem e Progresso” em tecido camurça verde costurado em faixa de cor branco. Com 22 estrelas estampadas em um círculo azul, representando os Estados da Federação.",Localizado,Não identificada,Bandeira Nacional,,,,,,
Artes Visuais,51,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,60 (total),04.04.45,02/10/1967,Século XVIII,Almofada de janela,,76909,Sebastião Veloso Peleja,"Supõe-se serem os 02 “suportes para janela” doados por Sebastião Veloso Peleja, Diretor do DETUR. As 03 peças, 52.013/030.024, 83.038/030.176 e GO.99/030.xxxx (cabeça de São Francisco) foram fixadas nas almofadas em um período posterior.",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/almofada-de-janela/,Não identificado,Ausência de inscrições,Madeira,Doação,Sem registro,Sebastião Veloso Peleja,"Duas almofadas de janela unidas, de madeira, formato retangular.",Localizado,Técnica em Papel > Recorte,Almofada de janela,,,,,,
Artes Visuais,4,Não identificado,Artes Visuais > Escultura,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Acervo Museológico,,02.03.20,Déc. de 1950/60,Século XIX,Escultura Religiosa,,881,Não identificada,"Consta no Inventário de Lígia Martins Costa, 1963. Segundo ela: “...de proporções reduzidas, obra bastante erudita: apuro no modelado do rosto, com desembaraço e naturalidade na feitura dos cabelos e barba. Em muito bom estado. Princípios do séc. XIX”. Vide folheto elaborado por Lígia em 1980, of. rec. Nº 50/80, em Acervo Administrativo.",3,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/escultura-religiosa/,Não identificado,Ausência de inscrições,Madeira,Doação,Sem registro,Não identificada,"Cabeça de santo, em madeira, olhos abertos, boca entreaberta, nariz aquilino, cabelos lisos e curtos, com barba e bigode.",Localizado,Não identificada,Cabeça de São Francisco,,Religioso,,,,
Artes Visuais,,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,"14,5",04.04.44,Não identificada,Não identificada,Chave,,880,Não identificada,,5,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/chave-3/,Não identificado,Ausência de inscrições,Metal > Ferro Forjado,Doação,Sem registro,Não identificada,"Chave de porta, de ferro, extremidade superior em formato de coração, 04 saliências em alto relevo e extremidade em curva.",Localizado,Não identificada,Chave,,,,,,
Artes Visuais,,Não identificado,Construção > Fragmento de Construção,04 Construção > 04.4 Fragmento de Construção,Acervo Museológico,"15,2",04.04.43,Não identificada,Não identificada,Chave,,16703,Não identificada,,5,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/chave-2/,Não identificado,Ausência de inscrições,Metal > Ferro Forjado,Doação,Sem registro,Não identificada,"Chave de porta, de ferro.",Localizado,Não identificada,Chave,,,,,,
Artes Visuais,,Não identificado,Objetos Pessoais > Artigo de Tabagismo,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Acervo Museológico,5,12.2.01,Não identificada,Não identificada,Cachimbo,,877,Não identificada,,4,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cachimbo/,Não identificado,Ausência de inscrições,Pedra > Pedra sabão,Doação,Sem registro,Não identificada,"Fragmento de cachimbo, feito de pedra sabão, desenhos em curvas e contracurvas em alto relevo, motivos florais nas laterais.",Localizado,Técnica em Madeira > Entalhe,Cachimbo,,,,,,
Artes Visuais,12,Não identificado,Trabalho > Equipamento de Mineração,06 Trabalho > 06.6 Equipamento de Mineração,Acervo Museológico,29,06.06.06,Déc. 1960,Não identificada,Almocafre (mucafo),Sim,878,Jarbas Jayme,"Espécie de pá, com função próxima a enxada, também conhecida como mucafo. Era usada como instrumento p/ remoção de cascalho e de areias auríferas nos leitos dos rios.
Almocafre - Sacho (pequena enxada) tem origem árabe. A priori foi muito utilizado na agricultura da Península Ibérica. Em árabe origina do termo “Al muhaffer” - “o cavador”. Diferenciando-se da enxada, pois possui uma ponta que auxilia a escavação de minérios em barrancos, costas dos rios e lagos. Primeiramente foi muito utilizada pelos espanhóis, com isso o termo almocafre não fora muito conhecido na língua portuguesa.

A primeira citação na língua portuguesa remete a 1624 (Toniolo, Ênio José. Sobre a Datação do Léxico Português. In: Revista Acta, Assis. 1:1-11, 2011). Seu uso na mineração brasileira foi pioneiramente descrito em 1711 pelo historiador André João Antonil (Cultura e Opulência do Brazil, por suas drogas e minas Lisboa: Officina Real. 1711 na 1ª edição).

A necessidade da utilização deste objeto nas áreas de mineração é pelo fato que alguns tipos de ouro e outras pedras preciosas são formados em terrenos muito duros e depósitos denominados “vaias” que são agrupados em um filão. Para encontra-lo é necessário escavar nas bordas secas de rios ou lagos. Em especial Goiás, sua característica geológica são os conjuntos rochosos com os quartzitos, micaxistos, e rochas vulcânicas (metabásicas/metaultrabásicas) o que propicia o depósito de ouro.

A exploração e escavação de áreas consideradas mineradoras, seja com maquinários, seja com o trabalho manual, sem as devidas precauções imposta pelas agências, leis e decretos que regulamentam a atividade, podem causar sérios danos ao meio-ambiente e a população destes locais, como enchentes e alagamentos derivados pelo desmatamento das matas ciliares. A exemplo ás margens do Rio Vermelho que teve a maior parte da exploração de ouro de aluvião desde a chegada dos bandeirantes em 1727, contribuindo para diversas catástrofes ambientais vista até os dias atuais nesta região, tanto pelo uso contínuo do mercúrio (ao contrário das técnicas tragas pelos escravizados e escravizadas da Costa de Mina, África Ocidental, que utilizavam uma mistura de plantas para facilitar a extração) quanto pelo desmatamento das matas ciliares.

Para saber mais:

ALVES, Adalberto. Dicionário de Arabismos da Língua Portuguesa. Lisboa: Imprensa Nacional – Casa da Moeda SA, 2013.
ANTONIL, André João. Cultura e Opulência do Brazil, por suas drogas e minas. Lisboa: Officina Real. 1711
CAVALCANTI, Marcelo Antunes. LOPES, Luciana Maria, PONTES, Marlon Nemayer Celestino de. Contribuição ao entendimento do fenômeno das enchentes do Rio Vermelho na cidade de Goiás, go. In: Boletim Goiano de Geografia. Instituto de Estudos Sócio-Ambientais (IESA – Universidade Federal de Goiás), v.28, n.1, jan/2008.

Desbravadores do Brasil. Sesc Brasília, 2018. 
Disponível em: sescdf.com.br › 2018/11 › livro-desbravadores-web
Site: https://www.oficina70.com/2015/07/que-tipos-de-solo-contem-ouro.html
","10,5",http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/almocafre-mucafo/,Não identificado,Ausência de inscrições,Metal > Ferro Forjado,Doação,Sem registro,Doação de Jarbas Jayme.,"Enxada para extração, usada no garimpo do ouro e pedras preciosas. Formato achatado e ligeiramente encurvado formando uma ponta em semicírculo com vão para fixar no cabo de madeira.",Localizado,Não identificada,Enxada p/ extração,,,,,,
Artes Visuais,10,Não identificado,Trabalho > Equipamento de Artistas/Artesãos,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,Acervo Museológico,,06.03.08,Déc. 1980,Século XVIII,Cadinho,Sim,77531,Fundação Nacional Pró-Memória,"Adquirido pela Fundação Nacional Pró-Memória por CR$ 50,00, vide Comunicado Interno de 21-10-1986. Pertencia à Casa de Fundição da antiga Villa Bôa de Goyaz-GO, era usado para fundir o ouro em altas temperaturas.
Cadinho ou crisol é um objeto em formato de pote em cone. Sua fabricação pode ser encontrado de ferro, platina, chumbo, porcelana, ou outros materiais que suportam grandes temperaturas de até 2000°C e que não fundem com as substâncias a serem derretidas nele. 
Sua principal utilização foi nas casas de fundição dos séculos XVII a XIX, nas casas de moedas e pala prática da ourivesaria. 
Para as primeiras décadas da mineração sua utilização era muito cara pois eram comprados em Lisboa (já usados várias vezes) e tragos para o Brasil. Com isso, fora desenvolvidas técnicas de reaproveitamento dos cadinhos com misturas de argila e grafite. Para esta reutilização, antes do processo de derretimento do metal (por meio de maçaricos ou outros objetos que lançam quantidade expressiva de fogo), o cadinho deve ser aquecido, ao contrário pode rachar e quebrar. 
Num estudo feito pelo Museu Nacional, foram pesquisados 136 cadinhos (entre inteiros e fragmentados) que foram encontrados numa escavação arqueológica em 1980 no Poço Imperial (Prédio Colonial do Centro Histórico do Rio de Janeiro – RJ) e deixados sob a tutela do museu. Em um dos relatórios consta: “(...) A maioria tem um elevado teor de grafite na sua composição, sendo de excelente qualidade. Além deles, há também exemplares produzidos a partir da pulverização de peças quebradas, reaproveitando-se a grafite, incorporada a uma nova pasta de argila (...)”
Não se sabe ao certo onde estes objetos eram fabricados e por quem. Em latim a palavra cadinho vem de catinu que significa tigela, bacia ou cavidade. Nos cadinhos de alto teor de grafite foram encontrados marcas de fabricação e um número que possivelmente era à medida da capacidades que estes objetos suportavam. No entanto, também estavam marcadas o número 4 simples e duplas com iniciais completando-os: LK, PS e IS. 
Na Cidade de Goiás foi examinado cadinhos que está sob a guarda da sub-regional do Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN) desta cidade.  “(...) verificamos a presença de cadinhos com alto teor de grafite, de excelente qualidade, ao lado de outros produzidos a partir da pulverização de peças inutilizadas. Em um dos cadinhos da primeira categoria constatamos a mesma marca, associada às iniciais LK (...)” (LIMA, e SILVA, 2003 p.13)

Exemplares também foram encontrados em Minas Gerais e Bahia com estas iniciais. Uma possível conclusão para este estudo é que os cadinhos foram enviados do Rio de Janeiro para as outras Capitanias e direcionadas à outras áreas de mineração como Cuiabá e Mato Grosso.
A temperatura para a fusão do ouro são de 1.063ºC. Nos dias atuais é muito fácil encontrar informações sobre os processos de mineração artesanal, manuseio do ouro e beneficiamento do minério, etc, via web.  Todos esses processos são perigosos podendo causar sérios danos à saúde do ser humano e natureza. Além do derretimento de minérios como o ouro serem feitos em alta temperatura podendo causar queimaduras graves, o processo de beneficiamento do ouro ainda é mais arriscado por utilizar ácido nítrico. Este componente é corrosivo á pela, olhos e aparelho respiratório. Este ácido, quando reage com outro minério produz uma fumaça com coloração castanha que o indivíduo inalando este vapor ocorre irritação das vias aéreas superiores, causando espirros, tosse, dor no tórax, dificuldade respiratória, salivação e tontura, podendo evoluir para edema pulmonar e morte.
Após o processo de beneficiamento do minério de ouro, este é posto no cadinho e queimado em altas temperaturas. O liquido então é posto em formas para a fundição de ouro produzidos de ferro ou grafite também chamados de lingoteiras que é a fundição de lingote.

Para saber mais:
LIMA, Tania Andrade. SILVA, Marilia Nogueira da Silva. In: Alquimia, Ocultismo, Maçonaria: o ouro e o simbolismo hermético dos cadinhos (séculos XVIII e XIX). Anais do Museu Paulista. São Paulo. N. Sér. v. 8/9. p. 9-54 (2000-2001). Editado em 2003.
SOUZA, Julia Nascimento. In: Perdas de metais preciosos e liberação de mercúrio elementar durante a decomposição térmica de amálgamas: uma abordagem prática / Julia Nascimento Souza [et al.]. __Rio de Janeiro: CETEM/MCTIC, 2018. 
",,http://museusibramgoias.acervos.museus.gov.br/museu-das-bandeiras/cadinho/,Não identificado,Battersea Trianple,Metal > Ferro,Compra,GO.99/030.345,Casa de Fundição de Vila Boa,"Cadinho de ferro, formato redondo, mais largo na parte superior, de onde se prolonga em formato de bico. Com inscrição em sua superfície externa. Oxidado.",Localizado,Técnica em Metal > Fundição,Cadinho,8,Mineração,,,,
