Data de abertura,Data de fechamento,Descrição,Document,Link do Item,Local,Local no prédio,Nome da exposição
23 de fevereiro de 2005,17 de abril de 2005,"NEWMAN E OS DESAFIOS DO DESENHO
Texto de Carlos Alberto Fajardo (Artista e professor doutor da Universidade de São Paulo)
Instalações, performances, intervenções urbanas, multimídia e os novos modos expressivos no campo das artes visuais colocaram em questão e certamente sob pressão, num permanente estresse, as formas tradicionais da atividade artística: a pintura, o desenho, a gravura, a escultura e os objetos construídos.
É como se o surgimento dessas novas modalidades artísticas, conduzindo a um processo de expansão do pensamento visual, obrigassem as formas tradicionais a um deslocamento na sua ação, sendo a principal a crise instalada nos discursos simbólicos, substituídos em parte por produções de natureza indicial.
A segunda metade dos anos 60 do século passado gerou a maior parte das mudanças estruturais que as artes plásticas conheceram, a partir do surgimento da forma simbólica por excelência, a perspectiva; da maneira mais geral possível pode-se dizer que foi a introdução da relação espaço/tempo a principal responsável pelos desafios que as formas canônicas de arte encontraram desde então: um deslocamento daquilo que se estendia pelo espaço virtual, de representação, para uma ocupação física do espaço real. O que implica numa nova relação da arte com seu público espectador, agora “participador” na feliz expressão de Helio Oiticica.
O trabalho de Newman se inscreve dentro das formas tradicionais da pintura e do desenho e o quê se apresenta nesta exposição é sua resposta a esse desafio, colocado no caso ao desenho. Seu trabalho se envolve com a questão básica da representação: colocar algo no lugar de alguma coisa apenas figurada, uma montanha, uma maçã, o desenho como significante de uma ausência, o desenho como fantasma.
Um desenho que não representa, uma parede ocupada em toda sua extensão por uma grande mancha de nanquim, feita em apenas um gesto, com a utilização de um instrumento insólito; um grande rodo que marca sua trajetória horizontal na altura do artista, uma espécie de dança que ocupa toda a extensão das paredes que definem o espaço; um movimento repetido, em que a repetição mostra toda a sua diferença, indícios da ocupação espacial/ temporal do todo, pelo corpo do artista.
“O que faço é música”, essa frase de Oiticica sintetiza os dilemas que a arte contemporânea encontra e que Newman tão bem resolveu em seu trabalho recente, nesta mostra.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/newman-schutze/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Newman Schutze
4 de março de 2009,17 de abril de 2009,"O Museu Victor Meirelles apresenta um importante segmento de sua “Coleção XX e XXI”, constituída a partir do ano de 1994, por ocasião da instalação de sua sala de exposições temporárias. A presente exposição tem por finalidade difundir e ampliar o acesso público ao valioso acervo artístico e patrimonial do Museu Victor Meirelles.
Para tanto, realizou-se um recorte da “Coleção XX e XXI” a partir do reconhecimento de uma tradição específica das artes plásticas – a gravura. As obras escolhidas apresentam um caráter temporal e compõem um conjunto de valor inegável para o conhecimento e a fruição da produção de gravuras. É nossa função fazer perceber os pontos de contato entre a criação e o processo de realização das obras e, ao mesmo tempo, apreciar as singularidades próprias das técnicas de cada um dos artistas.
Em nome do Museu Victor Meirelles, os sinceros agradecimentos aos artistas que doaram suas obras para formar esta coleção e, com esse gesto, deram materialidade a esta instituição, convertendo-as em patrimônio público. ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/gravuras-2/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Gravuras
14 de novembro de 2012,17 de fevereiro de 2013,"A aquisição pelo Governo Federal, em 1946, deste típico sobrado lusobrasileiro da virada do século XVIII para o XIX e o tombamento da edificação como patrimônio histórico nacional, em 30 de janeiro de 1950, seriam os primeiros atos para a inauguração, em 15 de novembro de 1952, data que assinala a Proclamação da República, do Museu Victor Meirelles. 
A formação de um acervo significativo para a sociedade sempre foi uma das principais razões para a existência de um museu público. Escolhemos comemorar os 60 anos de Museu Victor Meirelles a partir da exposição de seu acervo apresentando ao público o percurso da instituição com os artistas que compõem a sua história, com destaque, evidentemente, a Victor Meirelles de Lima (1832-1903). Nesta sala, encontra-se parte das obras que chegaram ao Museu entre as décadas de 1950 e 1980 assim como alguns destaques do acervo. ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/viagem-em-torno-do-museu-60-anos-de-museu-victor-meirelles-2/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Viagem em torno do museu: 60 anos de Museu Victor Meirelles
8 de dezembro de 2010,17 de fevereiro de 2011,"Os desenhos de Elke Coelho podem exigir, de alguns de nós, uma pausa antes da fruição. Pois cada um dos desenhos e cada um dos três conjuntos de desenhos apresentados neste momento no Museu Victor Meirelles constituem um corpo delicado de estratégias, como uma conversa em voz baixa, com seu tempo para considerações demoradas e respostas pensadas.
 Elke instaura um espaço que supõem algum erro ao leitor apressado. A artista usa modos de representação, soluções gráficas e sistemas de amostragem que podem parecer, para um olhar ansioso e rápido, já conhecidos.  Há referências a sínteses conhecidas de objetos cotidianos. Figuras referenciais ou imaginadas convivem em soluções formais que desembocam de vários canais visuais, desde modelos do desenho da tradição recente da arte moderna até resoluções dos modos atuais de animação ou cartum. Esses modelos são consequências de uma busca do meio adequado às questões do trabalho e estão a serviço de uma lógica de raciocínio muito particular. Elke tem algo para nos falar. Porém, esse algo não parece simples de ser colocado. Talvez porque não cessa de mudar enquanto a artista persegue sua manifestação. Fugidio, seu conteúdo não cansa de não ser representado. E a cada tentativa de Elke, ou nossa, que acompanhamos agora essa aventura, aquilo que se manifesta, deriva, abre nova possibilidade de leitura e nos reinscreve em sua pauta.
Os desenhos de Elke Coelho, sob a aparente docilidade de suas formas e medidas, podem constituir armadilhas. Dessas que tanto nos capturam quanto nos abrem os sentidos para o delicado e para o imprescindível.                                                                                  Fernando Lindote",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/ontem-o-dia-estava-assim-e-outras-anotacoes-graficas-de-elke-coelho/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Ontem o dia estava assim e outras anotações gráficas, de Elke Coelho"
20 de agosto de 2008,16 de outubro de 2008,"Schwanke em sonetos
Quando se discorre sobre a produção de Luiz Henrique Schwanke, é inevitável a associação aos perfis “linguarudos”, que conquistaram a crítica brasileira na década de 1980. Num segundo momento, vêm à memória as colunas de baldes e bacias, ou as composições com outros objetos plásticos de uso cotidiano. Aos que acompanharam sua produção, remete-se ainda ao uso frequente da luz, característica que levou o artista à Bienal de São Paulo, em 1991.
Memórias à parte, atualmente se sabe - graças à abertura da família e aos esforços do Instituto Schwanke - que o legado do artista vai muito além de suas séries conhecidas. Cerca de cinco mil trabalhos foram criados por ele entre o final da década de 1970 e seus últimos anos de vida. Alguns só foram expostos após sua morte, em 1992. Muitos continuam inéditos, aguardando novos estudos e leituras.
Esta exposição reúne, pela primeira vez, uma parte pouco conhecida dos trabalhos de Luiz Henrique Schwanke, identificada como “sonetos”. Exatamente como faz com os perfis “linguarudos”, na década de 1980 o artista produz diferentes séries de pinturas ou desenhos sobre papel reaproveitado, onde insere catorze linhas dispostas como os versos de um soneto petrarquiano, com dois quartetos e dois tercetos. Entretanto, como uma meditação sutil da vida cotidiana, abstém-se de palavras ou letras.
Sua poesia, aparentemente silenciosa, é produzida em três momentos distintos, restritos a um intervalo de cinco ou seis anos. Em todos os sonetos, Schwanke mantém sua poética recorrente de revisitamento do passado e ressignificação das coisas ou fatos. Nestes trabalhos, faz isso ao apropriar-se da estrutura de um modelo literário secular e universal (o soneto), e ao usar materiais cuidadosamente selecionados que, por sua função, vêm carregados de forte conotação simbólica (decalques, páginas de revistas com anúncios publicitários, folhas de papel reaproveitadas ou tintas metálicas em pó).
Pela ausência da escrita, as linhas poderiam ter uma função meramente sintática, como uma forma-fórmula bem-assimilada, não fosse a possibilidade de conquistar sua função semântica, quando observadas nos diferentes contextos que se aplicam. Como uma qualidade Gestalt, os significados dos sonetos de Schwanke constroem-se não apenas na leitura dos dados representacionais de símbolos ou de linguagem (as catorze linhas, o desenho), mas também pelas forças compositivas (o papel, a cor, o conteúdo ilustrado nas folhas de revistas) que coexistem entre si. Trata-se de uma relação entre palavras inexistentes (ou signos que remetem a palavras) e ideias enquanto conceito.
Ao abandonar o uso das letras e palavras escritas, como na poesia concreta, Schwanke permite reafirmar ou rememorar a origem visual e simbólica da escrita. Afinal, se o desenho pode ser tido como uma forma de escrita, também a escrita pode ser tida como um conjunto de desenhos. E o desenho das linhas, por sua vez, à maneira concretista, repudia a referência figurativa e se emancipa do modelo natural de representação das coisas. Assim, o contexto constrói sua poesia.
Nos “sonetos” das séries iniciais, datadas de 1980, a materialidade e a geometria da linha e de seu entorno são valorizadas ao extremo, metodicamente, ora pelo uso da cor, ora pela raspagem ou recorte dos papéis. Não há nesta fase a necessidade de outros elementos simbólicos, já que a intensidade poética é concreta e absoluta. Diferente das primeiras, nas séries de 1985 e nos sonetos de decalques, o conteúdo imagético dos suportes ou elementos utilizados torna-se fundamental na composição e leitura de cada poesia.
No decorrer do século 20, muitos artistas visuais enfatizaram a visualidade e a materialidade da escrita em seus trabalhos. Os poetas, por sua vez, cada vez mais integraram os aspectos visuais permitidos pelos signos linguísticos. Esse fenômeno é frequente na atualidade, com a subversão dos limites entre as linguagens artísticas, que levaram à criação de trabalhos híbridos, de naturezas e categorizações múltiplas, intertextuais.
Pintura, desenho ou poesia, os “sonetos” de Schwanke navegam entre meios e desconstroem tênues limites, numa concepção de desmontagem da pureza modernista defendida por Clement Greenberg e questionada por Arthur Danto. Para esse último, o pós-moderno viola o maior imperativo do modernismo, de que cada arte deveria permanecer restrita às limitações de seu próprio meio.
Seria difícil a análise cuidadosa dos sonetos de Luiz Henrique Schwanke sem levar em conta as especificidades de sua obra como um todo. Mesmo assim, trata-se de exercício especulativo. A chave-de-ouro destas séries, decodificadora do significado global de cada soneto, parece estar mais uma vez ligada à experiência de vida do artista, sua emotividade, sua percepção aguda da realidade, e uma certa ironia na eleição de modelos referenciais de sua época. Como em outras séries conhecidas, a tônica parece ser o conflito entre a razão e o sentimento, entre o prazer e sua contenção.

Razão, de que me serve o teu socorro?
Mandas-me não amar, eu ardo, eu amo;
Dizes-me que sossegue, eu peno, eu morro.
(Bocage)

Charles Narloch, agosto de 2008.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/sonetos-de-luiz-henrique-schwanke/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Sonetos, de Luiz Henrique Schwanke"
18 de agosto de 2009,16 de outubro de 2009,"A exposição contará com serigrafias do artista, a maior parte delas participantes da série “Pequenas Grandes Ações”, de 2003. Segundo o próprio Lacaz, estas obras apresentam o “contraste entre o desenho orgânico e natural das mãos com o desenho técnico e geométrico dos aparelhos, acrescido do dado filosófico de que o aparelho precisa de toque para ganhar vida, como o dedo de Deus de Michelangelo na Capela Sistina”.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/guto-lacaz-serigrafias/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Guto Lacaz: Serigrafias
7 de agosto de 2013,16 de agosto de 2013,"A instalação Situação nº 1 de Raquel Stolf será apresentada na sala de exposições temporárias no Museu Victor Meirelles a partir do dia 07 de agosto ás 18h.  A presente mostra acontece  no intervalo entre as duas exposições temporárias em comemoração à Semana de Aniversário de Victor Meirelles do dia 07 ao dia 16 de agosto de 2013.  A obra apresentada, prêmio aquisição do 1º Salão Luiz Henrique Schwanke de Arte Contemporânea em 2002 foi emprestada pelo  Centro Cultural de Jaraguá do Sul (SCAR). Na ficha técnica encaminhada no termo de empréstimo constam os dados da obra: Situação nº 1 (2001-2002) e 4 ratos brancos de borracha e parede branca. Os 4 ratos brancos de borracha chegaram no dia 02 de agosto, mas não recebemos a parede branca. [Onde está a parede?] Entre esta e outras indagações, a presente instalação discute os ruídos gerados na obra ao apresenta-la numa instituição localizada num sobrado, tombado como patrimônio histórico nacional em 1950, construído por volta do final do século XVIII e início do XIX. No dia 15 de agosto as 16h a artista realizará a conversa etc.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/situacao-no-1-de-raquel-stolf/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Situação nº 1, de Raquel Stolf"
25 de abril de 2018,16 de junho de 2018,"A exposição Reunião do Clube do Múltiplo propõe uma discussão sobre a presença dos “múltiplos” nas artes visuais. Durante esse período, a sala de exposições do Museu Victor Meirelles é transformada em uma sala de reuniões. Os artistas que foram convidados a apresentar uma proposição artística, crítica ou literária no formato de uma folha, participam das reuniões semanais do clube que são abertas ao público com o intuito de ampliar o debate. Os “múltiplos” enviados por cada um dos artistas são disponibilizados em formato de publicação e após o final da exposição, o arquivo digital permanecerá no site do Museu por tempo ilimitado. 
A exposição Reunião do Clube do Múltiplo ocorre entre 25 de abril e 16 de junho de 2018. Durante esse período, propõe também ocupar a sala expositiva do Museu Victor Meirelles com reuniões semanais abertas ao público. A cada reunião, um convidado do clube apresentará uma proposição artística, crítica ou literária para ser compartilhada, a fim de ampliar a discussão e o questionamento acerca do “múltiplo”. 
Clube do Múltiplo é uma iniciativa da Associação de Amigos do Museu Victor Meirelles (AAMVM)* que visa fomentar o colecionismo e incentivar a produção artística por meio de obras nos diversos formatos do múltiplo. Iniciou suas atividades em 2015 com a Exposição Múltiplos, momento em que reuniu coleções particulares de múltiplos. Nesse mesmo ano organizou o evento Jogo da Sorte, que consiste no sorteio de múltiplos doados por artistas e, em 2015 e em 2016, desenvolveu Ao Correr da Máquina, uma exposição composta de intervenções realizadas por artistas convidados pelo Clube do Múltiplo e pelo Museu Victor Meirelles em páginas impressas do Caderno de Cultura Plural do Jornal Notícias do Dia.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/reuniao-do-clube-do-multiplo/,Museu Victor Meirelles,,Reunião do Clube do Múltiplo
24 de abril de 1996,16 de junho de 1996,"Desde sua fundação, em 1967, o Museu Lasar Segall vem se dedicando às tarefas de preservação e divulgação da obra artística de Lasar Segall (Vilna,1891 - São Paulo,1957), por meio de numerosas e diferenciadas ações, entre elas exposições itinerantes.
É, portanto, com imensa satisfação que apresentamos ao público de Florianópolis a exposição LASAR SEGALL - gravuras, atendendo convite do Museu Victor Meirelles, nossa Instituição irmã no Instituto do Patrimônio Histórico e Artístico Nacional, do Ministério da Cultura.
Lasar Segall - gravuras apresenta 20 trabalhos realizados entre 1926 e 1930, período em que se concentra grande parte da produção gravurística do artista. São xilogravuras e gravuras em metal que evidenciam não só as questões características desta produção - concisão de recursos, contraste tonais, precisão expressiva - como também ilustram a diversidade temática recorrente do universo segalliano: a paisagem brasileira e seus tipos humanos, o judaísmo, o drama dos imigrantes. Testemunhos silenciosos da obra do artista que colaborou de maneira singular e decisiva para a consolidação da arte moderna no Brasil.
                                  Marcelo Mattos Araujo
        Chefe do Departamento de Museologia  Museu Lasar Segall
",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/lasar-segall/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Lasar Segall
19 de abril de 2006,16 de junho de 2006,"Nesta exposição, Bettina apresenta uma série de desenhos em tinta acrílica sobre papel, onde representa objetos do cotidiano, pertencentes ao universo doméstico. A artista resgata objetos comuns, nos quais não costumamos prestar atenção, reconstruindo-os e apresentando uma interpretação particular sobre eles. Sua preocupação não é a de reproduzir mimeticamente a realidade e sim buscar conferir uma identidade própria ao significado dessas imagens. Através de traços soltos, manchas e aguadas, Bettina, como afirma o crítico Ricardo Resende, constrói imagens da afetividade.
Segundo a artista, tudo tem um lado interessante, as coisas simples podem trazer um bom desenho. “Fiquei muito tempo pesquisando o que desenhar, desenhando de vários ângulos, deformando partes, trocando lugares, criando novas imagens.”",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/bettina-vaz-guimaraes/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Bettina Vaz Guimarães
22 de fevereiro de 2000,16 de abril de 2000,"Entre nós, ninguém melhor do que Lívio Abramo para mostrar o mais puro sentido da criação e integridade do ser humano como artista. É o que tentamos mostrar através de sua trajetória.
Paulista de Araraquara - 1903, vindo de uma família de imigrantes classe média, desde jovem já começa a frequentar o universo artístico paulistano, não perdendo o hábito de cultivar o interesse pela cultura e questionar sempre os valores sociais.
Lívio Abramo é um Mestre e não se repete. Tendo sido influenciado pelo expressionismo alemão, pelo contato com obras dos grupos DIE BRÜCKE e BLAU REITER, Lívio Abramo deixa fluir todo caráter mágico, sobrenatural, metafísico, recriando o drama que a humanidade assistis angustiada e que passadas várias décadas ainda assiste. Lívio Abramo sabe ser lírico, romântico até, como os verdadeiros artistas o são, quando ele interpreta as paisagens paulistas. A seguir vêm as gravuras da guerra civil espanhola, de uma densa carga dramática. Já nas ilustrações do livro Pelo Sertão, as imagens são de um refinamento de Mestre. 
Em suas obras Lívio Abramo mostra seu total domínio sobre o meio que elegeu para transmitir a emoção da obra escrita de Afonso Arinos, numa perfeita sincronia com o texto. Da série do Rio de Janeiro e Paraguai, o gravador já demonstra uma visão final, “clássica”, tal é o seu grau de construção e severidade, equilíbrio na composição, no dinamismo das últimas gravuras (da fase do Paraguai).
Nada na obra de Lívio Abramo acontece por acaso. Em cada trabalho não existe uma ordem preestabelecida, em cada gravura ele tem que descobrir novos caminhos, apoiando-se em suas experiências práticas anteriores, que é sua visão, seu sentimento de vida, sua bússola para equilibrar intuitivamente sua criação, num estado interior para saber em que momento a obra sofre seu processo de cristalização.
Quando olhamos para s gravuras de Lívio Abramo sentimos de imediato a carga de total autenticidade do Mestre. Cada sulco, cada linha gravada nos contrastes, nas passagens das matizes de cinzas formando um só conjunto na composição, harmonizando as formas, tornando-as inteiramente expressivas.
É onde percebemos com grande clareza e coerência do Mestre gravador, que busca desde o início transmitir toda sua visão, acreditando na grande potencialidade do Ser.

ALEX GAMA 
Rio de Janeiro, março de 1999",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/livio-abramo-a-essencia-da-arte-de-gravar/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Lívio Abramo - A essência da arte de gravar
22 de fevereiro de 2006,16 de abril de 2006,"Em A Lógica do Lugar, Marcela apresenta uma série de fotografias abordando a relação entre o espaço arquitetônico e a imagem fotográfica. Através da fragmentação dos lugares pela montagem fotográfica, seu trabalho desconstrói os modelos conhecidos dos espaços urbanos, criando contrassensos na lógica dos espaços habitáveis e gerando descontinuidades nos padrões. Suas imagens dividem e multiplicam lugares vazios, apresentando os conflitos das relações entre espaços públicos e privados, interior e exterior.
Com a reprodução e junção de fotografias em um único plano, são apontadas várias perspectivas e pontos de vista, transformando a suposta unidade e continuidade dos percursos. 
As imagens são alteradas a partir do corte das fotografias, e reunidos de forma que sugerem uma nova continuação, diferente da habitual, incabível dentro dos padrões que estamos comumente inseridos. Há inúmeros pontos de fuga e os passeios projetam-se em direção ao céu, em direção ao nada, se ligam ou se desconectam de forma abrupta, impossibilidade para atingir tais percursos...",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/a-logica-do-lugar-de-marcela-gontijo/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"A Lógica do Lugar, de Marcela Gontijo"
21 de dezembro de 1994,16 de fevereiro de 1995,"O domínio do traço e a inquietação criadora

Mais conhecido por suas pinturas murais, Hassis tem no entanto, na discreta técnica do desenho, algumas de suas obras mais significativas e bem estruturadas. Suas experiências de designer gráfico (o primeiro entre nós), seu dominio do traço e seu tempereramento inquieto, propporcionaram ao seu trabalho uma fluidez e desenvoltura nada comuns. Sua série de guaches intitulada ""Procissão dos passos"" é um belo exemplo do que há de melhor e mais aracterístico em sua arte: pinceladas gestuais energéticas, vibrantes traços expressionistas, síntese formal rigorosa e movimentação feérica dos elementos compositivos. Seus desenhos não se atém ao registro anedótico ou ilustrativo. Vão além, atingindo a essência expressiva dos temas abrodados e extraindo com sabedoria seus significados plásticos. O requinte com que Hassis tratou a série resultou num conjunto sugestivo e homogêneo.Do fundo negro do suporte emergem as figuras do cortejo noturno como se fossem uma visão fastasmagórica. As lanternas, os andores, os pálios, e as opas vermelhas dão o clima da encenação ritualistica repetida através dos séculos, observadas pelos vultos que espreitam nas janelas coloniais ao fundo. Com olhas de um artista mais interessado nos aspectos, Hassis criou uma pequena obra prima nesse seu registro de gosto ibérico pelas procissões e andores. Na parte da mostra exposta no Museu Victor Meirelles que aborda cenas praieiras, o artista mantém a mesma síntese formal dos elementos evitando o pitoresco e o folclórico. Reduzindo a signos gráficos, barcos, mastros e pescadores aproximam-se da abatração ganhando uma autonomia própria enquanto signos plásticos. Seus traços têm a precisão das incisões de uma ponta seca, e em seus desenhos tudo é movimento, ritmo, energia e vida. Das anotações mais espontâneas aos trabalhos mais elaborados desprende-se a mesma vibração que transmite a permanente inquietação criadora que caracteriza toda a obra desse artista.                                             Janga - Membro da ABCA AICA - Presidente da Câmara de Arte e do Conselho Estadual de Cultura",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/hassis/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,Hassis
14 de dezembro de 2011,16 de fevereiro de 2012,"São os nossos tempos: o próprio e o figurado, o analógico e oculto, o próximo e o longínquo, o especulativo e o experimentado. São os lugares de morte, do visível do invisível, do labirinto, do infinitamente divisível, dos retratos de costas.
São os lugares d'A espera, das cadeiras vazias, que convidam ao compartilhamento.
Das lembranças guardadas nas gavetas, umas ao lado das outras, cada uma num lugar, onde se expõe objetos transplantados do mundo comum para o mundo da arte. Um lugar separado de todo o mundo, mesmo da rua, da paisagem, povoado de lembranças e
impregnado pelos cheiros. Onde se guarda o corpo ou se deixa ver suas marcas; se vivencia o despojamento e se expõe a fragilidade.
Do olhar excessivamente exteriorizado para dentro e para trás.
Em Lugares da Memória, porém, não se procura reconstituir, não há histórias com começo, meio e fim. Apenas um lugar tempo repleto de pulos e vazios que se interrompem e que se desdobram, como os porões e os sótãos, onde tudo se guarda, desde os espíritos até as fotografias, lugares de saudade.
Consuelo Schlichta e Marília Diaz",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/lugares-da-memoria-de-consuelo-schlichta-e-marilia-diaz/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Lugares da Memória, de Consuelo Schlichta e Marília Diaz"
18 de agosto de 1998,15 de novembro de 1998,"O Museu Victor Meirelles, anualmente, no dia 18 de agosto comemora o aniversário de nascimento de seu patrono, com uma exposição de um artista de relevância nacional. Em geral, para este evento, associa-se a um museu, do âmbito do IPHAN, órgão ao qual está subordinado. Como já ocorreu em outras ocasiões, uniu-se ao Museu Nacional de Belas Artes, Rio de Janeiro, para juntos prestarem uma homenagem ao grande mestre das artes no Brasil.
Este ano, o artista escolhido para celebrar esta data foi Emiliano Di Cavalcanti (1897 - 1976), que recentemente comemorou o seu centenário de nascimento e é um dos expoentes da Semana de Arte Moderna de 22.
Ao preparar-se para o centenário de nascimento de Di Cavalcanti, o Museu Nacional de Belas Artes, detentor de diversas peças do artista, realizou novos estudos com o intuito de ampliar as informações que possuía sobre sua obra. 
Centralizamos nossa pesquisa nos trabalhos pertencentes ao acervo do nosso museu, não muito numeroso, mas de expressiva qualidade artística.
Fixamo-nos, inicialmente, no estudo da pintura Ciganos, óleo realizado em 1940, em um dos períodos mais rico de sua produção artística. Nele, Di Cavalcanti retratou, com lirismo, trabalhadores do campo. Oferecida pelo artista, em 1943, somente no ano seguinte a obra foi adquirida para o Museu Nacional de Belas Artes, através da verba orçamentária do então Ministério da Educação e Saúde Pública, pelo valor, na época, de quinze mil cruzeiros. Verificamos, em fonte primária, que a referida pintura recebeu um outro título atribuído pelo próprio artista. Em carta de dezembro de 1943, ao então Ministro da Educação e Saúde Pública, Gustavo Capanema, Di Cavalcanti intitula sua obra de “Colonos”. Não sabemos informar como aconteceu a troca do título da peça. Provavelmente um engano na datilografia ou uma leitura imperfeita dos documentos e assim se manteve por mais de cinqüenta anos. 
Outro núcleo de obras que investigamos, mais detalhadamente, foi o conjunto de dezoito desenhos, aqui expostos, criados por Di Cavalcanti, a pedido de seu grande amigo, o compositor Heitor Villa-Lobos (1887 - 1959). Os desenhos não são datados, mas seguramente foram realizados no início da década de 1920. Alguns possuem inscrições que indicam terem sido realizados para a peça de piano solo de Villa-Lobos, Carnaval das Crianças Brasileiras.
O compositor visualizava essa série de peças curtas, escrita em 1919, mais como um bailado do que como um concerto. Assim, quando decidiu viajar a Paris, Villa-Lobos pediu a Di Cavalcanti que pintasse o cenário e os figurinos, no intuito de despertar o interesse de algum coreógrafo. Entretanto, isso não aconteceu. Ao retornar ao Brasil, em 1927, reformulou o Carnaval das Crianças Brasileiras transformando-o num concerto para piano e orquestra denominado Momoprecoce.
Antes de serem incorporados ao patrimônio do Museu Nacional de Belas Artes, em 1989, estes estudos, pertenciam à viúva do compositor, D. Arminda Villa-Lobos.
Monica Xexéo
Museóloga do MNBA ",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/carnaval-das-criancas-brasileiras-desenhos/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Carnaval das Crianças Brasileiras, desenhos de Di Cavalcanti"
30 de outubro de 1996,15 de novembro de 1996,"Dando continuidade ao trabalho que um Museu deve desempenhar numa sociedade moderna, o Museu Nacional de Belas Artes, Rio de Janeiro-RJ, tendo em vista o seu papel de educador e propagador de conhecimento, traz ao público, em conjunto com o Museu Victor Meirelles, Florianópolis-SC, mais uma exposição de obras de seu riquíssimo acervo.
 A importância maior desta exposição é exibir o expressivo conjunto de trabalhos de Maciej Antoni Babinski, pertencentes ao acervo do Museu Nacional de Belas Artes. São desenhos, gravuras e aquarelas feitas entre 1956 a 1964, que representam a sua primeira fase no Brasil, quando o artista residia no Rio.
 Nascido em Varsóvia, Polônia, em abril de 1931, Babinski, naturalizado brasileiro, chegou ao Brasil em 1953, passando antes pela França, Inglaterra e Canadá. Morou durante dez anos, aproximadamente, no Rio de Janeiro, onde conheceu e trabalhou com Osvaldo Goeldi (1895 - 1961). Mais tarde foi para São Paulo e Minas Gerais. Neste estado, foi professor de artes plásticas da Universidade Federal de Uberlândia. No início da década de 90, transferiu-se para o nordeste, onde encontra-se até hoje. Fez inúmeras exposições individuais e coletivas, no Brasil e no exterior. Atualmente, realiza um trabalho bem diferente do que estamos exibindo. Hoje, Babinski possui uma preocupação em retratar a natureza, a paisagem. Considera-se um pintor, embora não tenha abandonado o desenho e a gravura. Para ele “a pintura é um problema vital (...), é vital, como expressão”.
  É importante ressaltar no conjunto de trabalhos de Babinski, a influência da figura, na composição de suas obras. Em diversos desenhos e gravuras, expostos, notamos nitidamente sua preocupação com a figura humana, seja através de traços ou através da cor. 
 O saudoso crítico de arte Marc Berkowitz dizia “ A tradição européia, o sangue eslavo, a vivência americana, e muito particularmente a brasileira, são constantes na obra de Babinski (...). é um artista que sentiu a problemática dos Goyas, dos Delacroix, dos Kubin e aqui de Goeldi e dos Grassmann”. Creio que essas palavras definem, com propriedade, a obra de Babinski.",,http://museuvictormeirelles.acervos.museus.gov.br/exposicoes/maciej-antoni-babinski-desenhos-gravuras-e-aquarelas/,Museu Victor Meirelles,Sala de Exposições Temporárias - Térreo,"Maciej Antoni Babinski: desenhos, gravuras e aquarelas"
