Autor,Classificação,Código Thesaurus,Data de aquisição,Data de produção,Denominação,Diâmetro,Document,Link do Item,Local de produção,Material,Modo de aquisição,Número de registro,Procedência,Profundidade,Resumo descritivo,Situação,Técnica,Marcas/Inscrições,Título,Histórico/Observação
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1993,Moeda,2.15,75686,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-279/,Brasil,Metal,Não identificado,MCP0643,Não identificada,0.15,"Peça circular metálica na cor prata, anverso: a inscrição TAMANDUÁ e o desenho do animal; borda lisa, reverso: ao centro número 10, abaixo dele CR$, acima BRASIL na lateral esquerda 1993.",Não localizado,Técnica em Metal > >Cunhagem,,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1993,Moeda,2.1,75682,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-278/,Brasil,Metal,Não identificado,MCP0642,Não identificada,0.15,"Peça circular metálica na cor prata, anverso: inscrição ARARA e o desenho de dois animais desse, borda lisa; reverso: valor nominal 5 abaixo dele CR$ acima BRASIL e na lateral esquerda o ano de 1993.",Não localizado,Técnica em Metal > >Cunhagem,,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1936,Moeda,2.3,75678,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-277/,Brasil,Metal,Não identificado,MCP0641,Não identificada,0.15,"Peça circular metálica na cor prata, anverso: efígie de Mauá (Visconde de) e ao lado o nome MAUÁ; borda lisa, reverso: ao centro desenho de locomotiva, acima dela BRASIL e o ano de 1936 e abaixo o valor 200 e as letras RS.",Não localizado,Técnica em Metal > >Cunhagem,,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1992,Moeda,1.8,75674,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-276/,Brasil,Metal,Não identificado,MCP0640,Não identificada,0.1,"Peça circular metálica na cor prata, anverso: inscrição PEIXE-BOI e o desenho do animal, borda lisa, reverso: ao centro valor de 100 CRUZEIROS acima dele BRASIL e lado esquerdo 1992.",Não localizado,Técnica em Metal > >Cunhagem,,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1967,Moeda,"2,3",75670,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-275/,França,Metal,Não identificado,MCP0639,Não identificada,"0,1","Moeda de 20 centavos de Franco, em metal dourado, contendo no verso inscrições e decoração em motivos fitomórficos. No anverso, inscrições e alegoria da República Francesa.",Não localizado,Não identificada,Verso: LIBERTÉ || EGALITÉ || FRATERNITÉ || 20 CENTIMES || 1967. Anverso: REPUBLIQUE FRANÇAISE || LAGRIFFOUL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XXI > 2001,Moeda,"2,4",75666,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-274/,Espanha,Metal,Não identificado,MCP0638,Não identificada,"0,2","Moeda de 50 centavos de Euro, em metal dourado, com bordo serrilhado, contendo no verso inscrições e mapa da Europa. No anverso, inscrições e efígie de Cervantes.",Não localizado,Não identificada,Verso: 50 EURO CENT . Anverso: ESPAÑA || CERVANTES || M || 2001.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1999,Moeda,"2,2",75662,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-273/,França,Metal,Não identificado,MCP0637,Não identificada,"0,2","Moeda de 20 centavos de Euro, em metal dourado, com bordo liso com sulcos alternados, contendo no verso inscrições e mapa da Europa. No anverso, inscrições, estrelas e alegoria da República Francesa.",Não localizado,Não identificada,Verso: 20 EURO CENT. Anverso: 1999 || RF.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1999,Moeda,"2,3",75658,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-272/,França,Metal,Não identificado,MCP0636,Não identificada,"0,2","Moeda de 1 Euro, em metal prateado com borda dourada, com bordo liso e serrilhado alternadamente, contendo no verso inscrições e mapa da Europa. No anverso, inscrições, estrelas e decoração de motivo fitomórfico.",Não localizado,Não identificada,Verso: 1 EURO. Anverso: LIBERTÉ || EGALITÉ || FRATERNITÉ || RF || 1999.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1999,Moeda,"1,7",75654,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-271/,Espanha,Metal,Não identificado,MCP0635,Não identificada,"0,2","Moeda de 5 Pesetas, em metal dourado, com bordo liso, contendo no verso inscrições e imagem de moinho d'água. No anverso, inscrições e imagem de elemento arquitetônico.",Não localizado,Não identificada,Verso: 5 PTAS || M || MURCIA. Anverso: ESPAÑA || 1999.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1979,Moeda,"2,6",75650,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-270/,França,Metal,Não identificado,MCP0634,Não identificada,"0,2","Moeda de 2 Francos, em metal prateado, com bordo serrilhado, contendo no verso inscrições e decoração com ramo de oliveira. No anverso, inscrições e alegoria da República Francesa.",Não localizado,Não identificada,Verso: LIBERTÉ || EGALITÉ || FRATERNITÉ || 2 FRANCS || 1979. Anverso: REPUBLIQUE FRANÇAISE || DA'PRES O. RUTY.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1951,Moeda,2,75646,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-269/,Brasil,Metal,Não identificado,MCP0633,Não identificada,"0,2","Moeda de 50 centavos de Cruzeiro, em metal dourado, contendo no verso inscrições. No anverso, inscrições e efígie de Eurico Gaspar Dutra.",Não localizado,Não identificada,Verso: 50 || CENTAVOS || 1951. Anverso: PRESIDENTE DUTRA || BRASIL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XXI > 2000,Moeda,"1,9",75642,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-268/,Espanha,Metal,Não identificado,MCP0632,Não identificada,"0,1","Moeda de 2 centavos de Euro, em metal cobreado, com bordo liso, contendo no verso inscrições e ilustração de globo terrestre. No anverso, inscrições, estrelas e representação de uma catedral.",Não localizado,Não identificada,Verso: 2 EURO CENT. Anverso: ESPANÃ 2000.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XIX > 1889,Moeda,2.5,75638,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-267/,Brasil,Metal,Não identificado,MCP0631,Não identificada,0.1,"Moeda circular, de metal, cobreada. Anverso: Brasão da República Brasileira e disticos 1889 e outras inscrições ilegiveis . Reverso: Ao centro inscrição 20 REIS e AO disticos VINTEM POUPADO e outros ilegiveis . || Bordo liso.",Não localizado,Técnica em Metal > >Cunhagem,Anverso: 1889 . Reverso: 20 REIS|| VINTEM POUPADO e outras inscricões ilegiveis..,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1984,Moeda,"2,3",75634,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-266/,França,Metal,Não identificado,MCP0630,Não identificada,"0,1","Moeda de 20 centavos de Franco, em metal dourado, contendo no verso inscrições e decoração em motivos fitomórficos. No anverso, inscrições e alegoria da República Francesa.",Não localizado,Não identificada,Verso: LIBERTÉ || EGALITÉ || FRATERNITÉ || 20 CENTIMES || 1984. Anverso: REPUBLIQUE FRANÇAISE || LAGRIFFOUL.,,
Não identificado,03 Objetos Pecuniários,3,Não identificada,Século XX > 1983,Moeda,"2,3",75630,http://museusibramgoias.acervos.museus.gov.br/museu-casa-da-princesa/moeda-265/,França,Metal,Não identificado,MCP0629,Não identificada,"0,1","Moeda de 20 centavos de Franco, em metal dourado, contendo no verso inscrições e decoração em motivos fitomórficos. No anverso, inscrições e alegoria da República Francesa.",Não localizado,Não identificada,Verso: LIBERTÉ || EGALITÉ || FRATERNITÉ || 20 CENTIMES || 1983. Anverso: REPUBLIQUE FRANÇAISE || LAGRIFFOUL.,,
