Cidade de produção,Classificação,Data de aquisição,Data de produção/datação,Dimensões,Document,Estado de conservação,Estado de produção,Informações sobre o autor,Link do Item,Marcas/Inscrições,Material/Técnica,Modo de aquisição,Número de registro,País de produção,Procedência,Título,Data do 1º registro,Exposições,Catalogador,Notas sobre o estado de conservação,Denominação,Outros números,Estilos/Temas,Descrição de conteúdo,Resumo descritivo,Duração,Bibliografia
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1987,"Obra: 60,5 x 80,3 cm",39560,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/bananas-ii/,"“Glauco Rodrigues 1987” (cid, grafite)
“PA” (cie, grafite)
“Bananas II°” (ebc, grafite)",Litografia a cores,Doação,MVM0229,Brasil,Norma de Estellita Pessôa,“Bananas II°”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1980,"Obra: 50,0 x 70,5 cm",39558,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/dourado-salminus-maxillosus-no-rio-parana/,"“Glauco Rodrigues 1980” (cid, grafite)
“PA II/XXII” (cie, grafite)
“DOURADO (Salminus Maxillosus) no Rio Paraná” (ebc, serigrafia com letras douradas)
Marca d’água: “C_M_Fabriano-100/100 COTTON” (vce)",Serigrafia,Doação,MVM0230,Brasil,Norma de Estellita Pessôa,“DOURADO (Salminus Maxillosus) no Rio Paraná”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1980,"Obra: 56,9 x 75,8 cm",39556,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/monumento-comecado-na-administracao-anterior/,"“Glauco Rodrigues 1980” (cid, grafite)
“Monumento Começado na Administração Anterior” (ebc)
“49/60” (cie, grafite)
Marca d’água “C_M_Fabriano 100/100 COTTON” (vcid)",Litografia,Doação,MVM0231,Brasil,Norma de Estellita Pessôa,“Monumento Começado na Administração Anterior”,,,,,,,,,,,
,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1976,"Obra: 48,0 x 66,0 cm",39554,Bom,,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/amadrinhando/,"“Glauco Rodrigues 1976” (cid, grafite)
“108/200” (cie, grafite)
“amadrinhando” (ebc, grafite)",Serigrafia,Doação,MVM0232,,Norma de Estellita Pessôa,“amadrinhando”,,,,,,,,,,,
,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1976,"Obra: 48,0 x 66,0 cm",39552,Bom,,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/mate-amargo/,"“Glauco Rodrigues 1976” (cid, grafite)
“97/200” (cie, grafite)
“mate amargo” (ebc, grafite)",Serigrafia,Doação,MVM0233,,Norma de Estellita Pessôa,“mate amargo”,,,,,,,,,,,
,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1976,"Obra: 48,0 x 66,0 cm",39550,Bom,,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/preparando-para-lacar/,"“Glauco Rodrigues 1976” (cid, grafite)
“109/200” (cie, grafite)
“preparando para laçar” (ebc, grafite)",Serigrafia,Doação,MVM0234,,Norma de Estellita Pessôa,“preparando para laçar”,,,,,,,,,,,
,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/18,1976,"Obra: 48,0 x 66,0 cm",39548,Bom,,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/escapou-do-laco/,"“Glauco Rodrigues 1976” (cid, grafite)
“89/200” (cie, grafite)
“escapou do laço” (ebc, grafite)",Serigrafia,Doação,MVM0235,,Norma de Estellita Pessôa,“escapou do laço”,,,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/2018,1981,"Obra: 20,0 x 25,3 cm",39541,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/terra/,"“Glauco Rodrigues 1982” (cid, grafite)",Litografia a cores,Doação,MVM0217,Brasil,Norma de Estellita Pessôa,“terra”,"09/08/2018, Rafael Muniz de Moura",Glauco Rodrigues – Gravuras,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/2018,1982,"Obra: 33,0 x 23,5 cm",39540,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/conferencia-continental-americana-por-la-paz/,"“Glauco Rodrigues 1982” (cid, grafite)",Linoleogravura,Doação,MVM0216,Brasil,Norma de Estellita Pessôa,“Conferência Continental Americana por La Paz”,"09/08/2018, Rafael Muniz de Moura",Glauco Rodrigues – Gravuras,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/2018,1993,"Obra: 70,4 x 50,0 cm",39539,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/como-era-gostoso-o-meu-frances/,"“Glauco Rodrigues 1993” (cid, grafite)
“Como era gostoso o meu francês” (ebc, grafite)
“H.C.” (cie, grafite)",Serigrafia,Doação,MVM0215,Brasil,Norma de Estellita Pessôa,“Como era gostoso o meu francês”,"09/08/2018, Rafael Muniz de Moura",Glauco Rodrigues – Gravuras,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/2018,1987,"Obra: 61,0 x 40,5 cm",39538,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/galeria-de-tipos-populares-a-deusa-fortuna/,"“Glauco Rodrigues” (cid, grafite)
“Galeria de Tipos Populares: A Deusa Fortuna” (ebc, grafite)
“P.A.” (cie, grafite)",Litografia a cores,Doação,MVM0214,Brasil,Norma de Estellita Pessôa,“Galeria de Tipos Populares: A Deusa Fortuna”,"09/08/2018, Rafael Muniz de Moura",Glauco Rodrigues – Gravuras,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/2018,1987,"Obra: 61,0 x 40,5 cm",39537,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/galeria-de-tipos-populares-o-malandro/,"“Glauco Rodrigues 1987” (cid, grafite)
“Galeria de Tipos Brasileiros: O Malandro” (ebc, grafite)
“33/100” (cie, grafite)
“n° 48” (cie, grafite)",Litografia a cores,Doação,MVM0213,Brasil,Norma de Estellita Pessôa,“Galeria de Tipos Populares: O Malandro”,"09/08/2018, Rafael Muniz de Moura",Glauco Rodrigues – Gravuras,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03/08/2018,1987,"Obra: 61,0 x 40,5 cm",39536,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/galeria-de-tipos-populares-sebastiao/,"“Glauco Rodrigues 1987” (cid)
“Galeria de Tipos Populares: Sebastião” (ebc)
“P.A.” (cie)",Litografia a cores,Doação,MVM0212,Brasil,Norma de Estellita Pessôa,“Galeria de Tipos Populares: Sebastião”,"09/08/2018, Rafael Muniz de Moura",Glauco Rodrigues – Gravuras,,,,,,,,,
Rio de Janeiro,02 Artes Visuais/Cinematográfica > 02.4 Estampa,03 de agosto de 2018,1987,"Obra: 61,0 x 40,5 cm",39535,Bom,Rio de Janeiro,Glauco Otávio Castilhos Rodrigues,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/galeria-de-tipos-brasileiros-o-principe-2/,"“Glauco Rodrigues”, “1987” (cid) “Galeria de Tipos Brasileiros: O Príncipe” (ebc) “P.A.” (cie)",Litografia a cores,Doação,MVM0211,Brasil,Norma de Estellita Pessôa,“Galeria de Tipos Brasileiros: O Príncipe”,10/08/2018,,Rafael Muniz de Moura," “Manchas de fungos e acidificação concentradas próximas às margens, principalmente no cid e também no verso; borda inferior irregular” (Conforme Termo de Doação)",,,,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 22,9 x 28,5 cm",41139,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-embarcacao-8/,“2538/73/2” e “8416” (v) [ilegível] (vcd),Grafite sobre papel,,MVM0210,Paraguai,,Estudo de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13888"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,8 cm",41136,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/niteroi-estudo-de-proa-de-embarcacao-2/,"“Niterói” (csd) ""os forros das mesas/e a âncora destação(?) do casco/do navio - pros reflexos - /quasi imperceptíveis sobre os/ (?) - as linhas do cortado / também tambem em reflexo/ e no centro em escuro"" (cid, a lápis)",Grafite sobre papel,,MVM0209B/B,Paraguai,,“Niterói” [estudo de proa de embarcação],20/06/2017,,Rafael Muniz de Moura,,Desenho,"""13887A/B"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,8 cm",41135,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-embarcacao-7/,“2534/73.5” e “8414” (v),Grafite sobre papel,,MVM0209A/B,Paraguai,,Estudo de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13887A/B"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,8 cm",41133,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-detalhe-de-embarcacao-2/,"“2534/73/2” e “8425” (v) ""azul"" / “amarelo” / “encarnado escuro” / “trincaniz” (cd, a lápis)",Grafite sobre papel,,MVM0208,Paraguai,,Estudo de detalhe de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13886"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,8 cm",41132,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/vapor-amazonas-estudo-de-proa-de-embarcacao-2/,"“2534/73/4” e “8426” (v) ""altura da caixa de roda"" (ce, a lápis) ""forro de cobre"" (ebe, a lápis) ""(?)/"" traineira (c, a lápis) “pegas"" (ecd, a lápis) (?) / (?) / (?) (cd, a lápis) ""+ a figura está grande / demais em relação ao cumpri-tº/ do (?)"" (cid, a lápis)",Grafite sobre papel,,MVM0207,Paraguai,,Vapor Amazonas [estudo de proa de embarcação],20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13885"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,2 x 14,5 cm",41124,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/cabeca-de-homem-7/,“2534/1” e “8424” (v) “Victor Meirelles” (ebe),Crayon sobre papel colado em cartão,,MVM0205,Paraguai,,Cabeça de homem,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13883"" (atribuído pelo MNBA).",Figuras humanas,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,8 cm",41120,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-proa-de-embarcacao-4/,"“2534/1” e “8424” (v) ""bramnco"" (cie, a lápis) ""vermelho escuro"" (ebe, a lápis) ""preto"" / ""(?)"" / ""maloguetos"" / ""cimento avermelhado"" (cd, a lápis) ""cunhos (?)"" (ebd, a lápis) ""cabeças"" / ""branco"" (cid, a lápis)",Grafite sobre papel,,MVM0204,Paraguai,,Estudo de proa de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica | ,Rafael Muniz de Moura,,Desenho,"""13882"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,5 cm",41129,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-proa-de-embarcacao-3/,"“2534/73/6” e “8418” (v) ""grossura correspondente dos Estaés"" (ecc, a lápis) ""ereto"" (ece, a lápis) ""amarellado"" (ce, a lápis) ""lista/amarella/avermelhada"" (ebe, a lápis) ""barco"" (cd, a lápis)",Grafite sobre papel,,MVM0206B/B,Paraguai,,Estudo de proa de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13884B/B"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 26,5 cm",41127,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-mastros-de-embarcacao-2/,"“2534/73/6” e “8418” (v) ""Vital de Oliveira"" (ecc, a grafite) ""o mastro detrás fica/encoberto"" (cd, a grafite) ""mastro do centro""/""visto pela prôa"" (ebd, a lápis) ""mastro da prôa"" (ebc, a lápis)",Grafite sobre papel,,MVM0203A/B,Paraguai,,Estudo de Mastros de embarcação,20/06/2017,,Rafael Muniz de Moura,,Desenho,"""13884A/B"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 21,0 x 25,7 cm",41118,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-embarcacao-6/,"“2538/73” e “8423” (v) ""pintado de vermelho"" (ece, a grafite) ""Visconde de Inhaúma""(ecd, a grafite) ""reflexo/ da água/ dando sobre o casco/ do navio"" (cid, a grafite)",Grafite sobre papel,,MVM0203,Paraguai,,Estudo de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13881"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 13,5 x 17,3 cm",41115,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/mage-estudo-de-embarcacao-2/,“2538/73/3” e “8415” (v) “Magé [estudo de embarcação]” (ebc),Grafite sobre papel,,MVM0202,Paraguai,,“Magé [estudo de embarcação]”,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13880"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 23,3 x 32,3 cm",41112,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-para-passagem-do-humaita-6/,"“2538/7” e “8421” (v) “Encouraçados que protegeram/a passagem de Humaitá/contando-se da ponta do chaco(?):/Silvado/Lima Barros/Cabral/Brazil/Colombo?Herval"" (a lápis, csd) ""Casco preto aparecendo parte do (...?) de (...?) (...?)diado - mastros e vergas-amarelladas. Caixa das/rodas e a luneta bem como os bote brancos (...?) - vermelho (border branca) - (sobre o cos-/tado)"" (a lápis, ebc)",Grafite sobre papel,,MVM0201,Paraguai,,Estudo para “Passagem do Humaitá”,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica | ,Rafael Muniz de Moura,,Desenho,"""13879"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 13,5 x 19,4 cm",41111,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/estudo-de-embarcacao-5/,“2538/73/2” e “8419” (v),Grafite sobre papel,,MVM0200,Paraguai,,Estudo de embarcação,20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13878"" (atribuído pelo MNBA).",,,,,
,02 Artes Visuais/Cinematográfica > 02.2 Desenho,,,"Obra: 16,0 x 23,0 cm",41108,Bom,,Victor Meirelles de Lima,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/brasil-estudo-de-embarcacao-2/,“25/7/0” (cse),Grafite sobre papel,,MVM0199,Paraguai,,Brasil [estudo de embarcação],20/06/2017,Projeto Victor em 4D - Exposição de Longa Duração do Museu Victor Meirelles - Módulo 2. Dimensão Histórica,Rafael Muniz de Moura,,Desenho,"""13877"" (atribuído pelo MNBA).",,"“Em 1868 Vítor Meireles realizou vários estudos para o quadro “Passagem do Humaitá”, a bordo do navio-chefe da Divisão Brasil. O navio representado neste desenho é, possivelmente, o mesmo acima citado.” (texto retirado da Ficha Catalográfica Simba MNBA)",,,
Florianópolis,02 Artes Visuais/Cinematográfica > 02.2 Desenho,2016,2016,"Obra: 6 desenhos com 21,0 x 15,0 cm cada",39510,Bom,Santa Catarina,Diego de los Campos Orefice,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/conjunto-2-da-serie-desenhos-de-um-real-2/,"Desenho A/F: assinado (cid), “24 4 13” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vc), “001822” (carimbo, vebc) Desenho B/F: assinado (cid), “20 2 13” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vc), “001810” (carimbo, vcid) Desenho C/F: assinado (cid), “20 2 13” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vebc), “001818” (carimbo, vebc) Desenho D/F: assinado (cid), “20 2 13” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vebc), “001811” (carimbo, vebc) Desenho E/F: “Desenhos de um real / Diego de los Campos” (carimbo, cid), “001809” (vebc) Desenho F/F: assinado (cid), “24 4 13” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vc), “001821” (carimbo, vc)",Caneta esferográfica e aquarela sobre papel,Doação,MVM0198,Brasil,Diego de los Campos,"“(Conjunto 2)”, da série “Desenhos de um real”",21/12/2016,,Rafael Muniz de Moura,,,,,,,,
Florianópolis,02 Artes Visuais/Cinematográfica > 02.2 Desenho,2016,2016,"Obra: 6 desenhos com 21,0 x 15,0 cm cada",39485,Bom,Santa Catarina,Diego de los Campos Orefice,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/conjunto-1-da-serie-desenhos-de-um-real-2/,"Desenho A/F: assinado (ebc), “15” (cid), “008017” (carimbo, vc), “Desenhos de um real / Diego de los Campos” (carimbo, vc). Desenho B/F: assinado (cid), “25 3 13” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vc), “001880” (carimbo, vcid) Desenho C/F: assinado (ebc), “25 3 15” (ebc), “005118” (carimbo, vecc), “Desenhos de um real / Diego de los Campos” (carimbo, vc) Desenho D/F: assinado (cid), “?/3/15” (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vcd), “005480” (carimbo, vcid) Desenho E/F: assinado (ebc), “Desenhos de um real / Diego de los Campos” (carimbo, ebc), “008069” (carimbo, cid), “5.16” (cid) Desenho F/F: assinado (cie), “16” (?) (cid), “Desenhos de um real / Diego de los Campos” (carimbo, vc), “007800” (carimbo, vcid)",Nanquim sobre papel,Doação,MVM0197,Brasil,Diego de los Campos,"“(Conjunto 1)”, da série “Desenhos de um real”",21/12/2016,,Rafael Muniz de Moura,,,,,,,,
Amsterdã,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,21 de dezembro de 2016,2010,"Obra: 35,0 x 18,0 cm",39484,Bom,Holanda do Norte,Célio de Paula Braga,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/ex-voto-da-serie-ex-votos-2/,,Tecido de algodão bordado sobre porcelana branca,Doação,MVM0196,Holanda,Célio Braga,"“Ex-voto”, da série “Ex-votos”",21/12/2016,"Abluções, de Célio Braga | Você que faz versos, de Walmor Corrêa",Rafael Muniz de Moura,,,,,,,,
,02 Artes Visuais/Cinematográfica > 02.1 Construção Artística,17 de dezembro de 2015,2013,"Obra: 98,0 x 76,0 cm",39483,Bom,,Rubens Oestroem,http://museuvictormeirelles.acervos.museus.gov.br/mvm-acervo/construcao-proibida-2/,,Mista em acrílico sobre tela,Doação,MVM0195,,Helena Becke Machado Fretta,“Construção proibida”,21/12/2016,,Rafael Muniz de Moura,,,,,,,,
