Autor,Classificação,Data de produção,Denominação,Document,Estado de conservação,Link do Item,Local de produção,Modo de aquisição,Número de registro,Resumo descritivo,Título,Material/Técnica
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11565,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/homenagem-da-cidade-de-botucatu-ao-maestro-e-compositor-francisco-braga/,Brasil > Botucatu (SP),Doação,2009.16.015,De pé: Sebastião de Matos e Nelson Franklin de Matos; sentados: maestros Francisco Braga e Alfredo Franklin de Matos.,Homenagem da cidade de Botucatu ao maestro e compositor Francisco Braga,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11567,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/exortacao-villa-lobos-concentracao-orfeonica-com-10-000-vozes-e-bandas-militares-no-campo-de-sao-bento-3/,,Doação,2008.16.044,,"Exortação Villa-Lobos. Concentração Orfeônica com 10.000 vozes e bandas militares, no Campo de São Bento",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11569,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/excursao-pelo-interior-de-sao-paulo-2/,,Doação,2004.16.160,"Da dir. para esq.: Villa-Lobos (2ºabaixado), Lucília Villa-Lobos (2ª de pé), Souza Lima (7º) entre outros não identificados.",Excursão pelo interior de São Paulo,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11571,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-o-soprano-nair-duarte-e-as-pianistas-antonieta-rudge-e-lucilia-villa-lobos-em-sao-paulo/,,Doação,2004.16.159,,"Villa-Lobos, o soprano Nair Duarte e as pianistas Antonieta Rudge e Lucília Villa-Lobos em São Paulo",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11573,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-o-soprano-nair-duarte-e-as-pianistas-antonieta-rudge-e-lucilia-villa-lobos-2/,,Doação,2004.16.154,,"Villa-Lobos, o soprano Nair Duarte e as pianistas Antonieta Rudge e Lucília Villa-Lobos",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11575,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/da-dir-para-esq-villa-lobos-o-soprano-nair-duarte-e-as-pianistas-antonieta-rudge-e-lucilia-villa-lobos/,,Doação,2004.16.138,,"Da dir. para esq.: Villa-Lobos, o soprano Nair Duarte e as pianistas Antonieta Rudge e Lucília Villa-Lobos",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11577,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-chegam-ao-aeroporto-de-congonhas-para-a-semana-villa-lobos-organizada-pelo-secretario-de-educacao-e-cultura-goffredo-da-silva-telles-junior/,,Doação,1983.16.100,,"Villa-Lobos e Arminda chegam ao Aeroporto de Congonhas para a Semana Villa-Lobos, organizada pelo secretário de educação e cultura, Goffredo da Silva Telles Junior",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11579,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-a-soprano-magdalena-lebeis-em-concerto-com-a-orquestra-sinfonica-municipal-de-sao-paulo-durante-a-semana-villa-lobos/,,Doação,1983.16.061,,"Villa-Lobos e a soprano Magdalena Lébeis em concerto com a Orquestra Sinfônica Municipal de São Paulo, durante a Semana Villa-Lobos",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11581,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/inauguracao-do-conservatorio-villa-lobos-durante-a-semana-villa-lobos-3/,,Doação,1983.16.059,,"Inauguração do Conservatório Villa-Lobos, durante a Semana Villa-Lobos",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11583,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/inauguracao-do-conservatorio-villa-lobos-durante-a-semana-villa-lobos-2/,,Doação,1983.16.055,,"Inauguração do Conservatório Villa-Lobos, durante a Semana Villa-Lobos",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11585,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-na-inauguracao-do-conservatorio-villa-lobos-durante-a-semana-villa-lobos-seguidos-por-julieta-strutt-otacilio-braga-de-oculos-e-gravata-de-bolinhas-e-outros-nao-identificad/,,Doação,1983.16.054,,"Villa-Lobos e Arminda, na inauguração do Conservatório Villa-Lobos, durante a Semana Villa-Lobos, seguidos por Julieta Strutt, Otacilio Braga (de óculos e gravata de bolinhas) e outros não identificados",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11587,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/concerto-de-villa-lobos-com-a-orquestra-sinfonica-municipal-de-sao-paulo-tendo-como-solista-a-pianista-felicja-blumental-interpretando-a-bachianas-brasileiras-no-3-no-teatro-cultur-2/,,Doação,1983.16.023,,"Concerto de Villa-Lobos com a Orquestra Sinfônica Municipal de São Paulo, tendo como solista a pianista Felicja Blumental interpretando a “Bachianas Brasileiras Nº 3”, no Teatro Cultura Artística",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11589,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-regendo-de-costas-atras-do-piano-palco-do-theatro-municipal-do-rio-de-janeiro/,,Doação,2009.16.012,,"Villa-Lobos regendo, de costas, atrás do piano. [Palco do Theatro Municipal do Rio de Janeiro]",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11591,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/lucilia-guimaraes-villa-lobos-11/,,Doação,2008.16.066,"Manuscrito no verso: Tupinambá / “foto oferecida ao Orfeão com seu nome, da Escola Normal Heitor Lira, na Penha, RJ, em cujo auditório permanece ampliada (na época funcionava no prédio da Escola Conde de Agrolongo). Outra anotação manuscrita informa que a letra é de Irene Tupinambá e que a Escola Conde de Agrolongo fica na Penha.",Lucília Guimarães Villa-Lobos,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11593,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/a-cantora-lirica-violeta-coelho-netto-de-freitas-diante-de-um-microfone-cantando-num-estadio-nao-identificado-em-concentracao-orfeonica/,,Doação,2008.16.056,Com a dedicatória “A Conservatório Nacional de Canto Orfeônico com a mais profunda e sincera admiração. Violeta Coelho Netto de Freitas”.,A cantora lírica Violeta Coelho Netto de Freitas diante de um microfone [cantando num estádio não identificado em concentração orfeônica],Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11595,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/arminda-e-o-filho-de-marcelo-geden-proximo-ao-seu-apartamento-na-rua-araujo-porto-alegre/,,Doação,2008.16.033,"A atribuição foi feita a partir da informação manuscrita no verso da foto 1983-16A-105 que informa “seu compadre Marcelo em frente à seu apartamento”. Essa informação é reforçada pela foto 1984-16A-070 onde aparecem Villa-Lobos, Arminda e, segundo informação manuscrita no verso da foto, “Marcelo Geden. Déc 50”.Colocando todas as fotos desta série juntas percebe-se a possibilidade de retratarem uma visita de Marcelo Geden, sua esposa e filho a Villa-Lobos e Arminda.Obs 2: No verso desta foto tem a informação manuscrita “por comparação parece que o menino é filho de Dora Vasconcellos”.Nota de pesquisa: Não é o filho de Dora Vasconcellos porque a foto é da década de 1950 e ele já teria mais idade que o menino da foto. Para confirmar que não é o filho de Dora Vasconcellos busquei na internet e encontrei no endereço http: //www.revistaphonoarte.com/pagina1.htm a seguinte informação: “José da Cruz Cordeiro Filho casou-se com Dora Alencar Vasconcellos, nascendo da união o único filho José Roberto Cordeiro, falecido aos 31 anos nos Estados Unidos, em 1969. A Embaixadora Dora Alencar Vasconcellos faleceu aos 62 anos, em 1973, como representante do Brasil junto à República de Trinidad-Tobago, sendo sepultada com honras de estado no Cemitério de São João Batista.”",Arminda e [o filho de Marcelo Geden] próximo ao seu apartamento na Rua Araújo Porto Alegre,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11597,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/concentracao-orfeonica-nas-escadarias-da-camara-municipal-do-rio-de-janeiro/,,Doação,2008.16.017,,Concentração orfeônica nas escadarias da Câmara Municipal do Rio de Janeiro,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11599,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-regendo-concentracao-orfeonica-no-estadio-do-vasco-da-gama-6/,,Doação,2008.16.015,,Villa-Lobos regendo concentração orfeônica no Estádio do Vasco da Gama,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11601,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/estudantes-uniformizados-em-concentracao-orfeonica-nas-escadarias-da-camara-municipal-do-rio-de-janeiro/,,Doação,2008.16.014,"No verso, encontra-se carimbado “Prefeitura do Distrito Federal - Secretaria Geral de Educação e Cultura - Departamento de Educação Nacionalista”.",Estudantes uniformizados em concentração orfeônica nas escadarias da Câmara Municipal do Rio de Janeiro,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11603,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-na-1a-fila-julieta-strutt-na-2a-fila-atras-de-vl-otavio-vieira-brandao-jose-vieira-brandao-e-otacilio-braga-na-ultima-fila-entre-outros-nao-identificados/,,Doação,2008.16.009,,"Villa-Lobos e Arminda na 1ª fila, Julieta Strutt na 2ª fila atrás de VL, Otávio Vieira Brandão, José Vieira Brandão e Otacílio Braga na última fila, entre outros não identificados",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11605,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/lucilia-em-roupa-de-praia-a-esq-e-nao-identificados/,,Doação,2004.16.165,,Lucilia em roupa de praia - à esq. - e não identificados,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11607,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/rua-didimo-10-terreo-casa-em-que-moraram-de-1919-a-1936-villa-lobos-e-lucilia-2/,,Doação,2004.16.164,,"Rua Dídimo, 10 - térreo. Casa em que moraram, de 1919 a 1936, Villa-Lobos e Lucilia",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11609,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/rua-didimo-10-terreo-casa-em-que-moraram-de-1919-a-1936-villa-lobos-e-lucilia/,,Doação,2004.16.163,,"Rua Dídimo, 10 - térreo. Casa em que moraram, de 1919 a 1936, Villa-Lobos e Lucilia",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11611,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/plateia-do-theatro-municipal-do-rio-do-janeiro/,,Doação,2003.16.006,,Plateia do Theatro Municipal do Rio do Janeiro,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11615,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-a-orquestra-sinfonica-brasileira-no-palacio-da-cultura/,,Doação,1983.16.041,,"Villa-Lobos e a Orquestra Sinfônica Brasileira, no Palácio da Cultura",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11617,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/jose-vieira-brandao-ao-piano/,,Doação,1983.16.018,Com a dedicatória manuscrita na frente: “Ao meu querido mestre e amigo Maestro Villa-Lobos homenagem de José Vierira Brandão. Rio 23-7-1955”.,José Vieira Brandão ao piano,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11619,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-de-smoking/,,Doação,1983.16.016,"Com a dedicatória: “Às meninas Sônia e Hilda Albuquerque. Lembrança grata de Villa-Lobos. Rio, 3/8/54”.",Villa-Lobos de smoking,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11621,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/a-pianista-guiomar-novaes/,,Doação,1983.16.015,Com a dedicatória “À Arminda de Almeida. Guiomar Novaes Pinto. Rio. 1940”,A pianista Guiomar Novaes,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11623,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/na-residencia-de-villa-lobos-medalhas-condecoracoes-batutas-e-copia-de-mao-em-bronze/,,Doação,1983.16.014,,"Na residência de Villa-Lobos - medalhas, condecorações, batutas e cópia de mão em bronze",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11625,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-em-sua-residencia/,,Doação,1983.16.009,,Villa-Lobos e Arminda em sua residência,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11627,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-em-sua-residencia-com-o-filho-de-marcelo-geden/,,Doação,1982.16.274,"A atribuição foi feita a partir da informação manuscrita no verso da foto 1983-16A-105 que informa “seu compadre Marcelo em frente à seu apartamento”. Essa informação é reforçada pela foto 1984-16A-070 onde aparecem Villa-Lobos, Arminda e, segundo informação manuscrita no verso da foto, “Marcelo Geden. Déc 50”. Colocando todas as fotos desta série juntas percebe-se a possibilidade de retratarem uma visita de Marcelo Geden, sua esposa e filho a Villa-Lobos e Arminda.",Villa-Lobos em sua residência com [o filho de Marcelo Geden],Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11629,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-com-marcelo-geden-e-seu-filho-4/,,Doação,1982.16.213,,Villa-Lobos e Arminda com [Marcelo Geden e seu filho].,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11631,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-com-marcelo-geden-e-seu-filho-3/,,Doação,1982.16.212,,Villa-Lobos e Arminda com [Marcelo Geden e seu filho].,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11633,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-com-a-esposa-de-marcelo-geden-e-o-filho-destes-4/,,Doação,1982.16.210,"A atribuição foi feita a partir da informação manuscrita no verso da foto 1983-16A-105 que informa “seu compadre Marcelo em frente à seu apartamento”. Essa informação é reforçada pela foto 1984-16A-070 onde aparecem Villa-Lobos, Arminda e, segundo informação manuscrita no verso da foto, “Marcelo Geden. Déc 50”. Colocando todas as fotos desta série juntas percebe-se a possibilidade de retratarem uma visita de Marcelo Geden, sua esposa e filho a Villa-Lobos e Arminda. O local é próximo à residência do compositor, conforme informação da foto 1983-16A-105.",Villa-Lobos e Arminda com [a esposa de Marcelo Geden e o filho destes],Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11637,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/concentracao-civica-na-rua-do-russel-2/,Brasil > Rio de Janeiro,Doação,1980.16.047,,Concentração cívica na Rua do Russel,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11639,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/concentracao-civica-na-rua-do-russel/,Brasil > Rio de Janeiro,Doação,1980.16.046,,Concentração cívica na Rua do Russel,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11641,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-assistindo-a-evolucao-do-bloco-carnavalesco-sodade-do-cordao/,Brasil > Rio de Janeiro,Doação,1977.16.023,,Villa-Lobos assistindo à evolução do bloco carnavalesco Sôdade do Cordão,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11643,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-e-funcionarios-da-sema-superintendencia-de-educacao-musical-e-artistica/,Brasil > Rio de Janeiro,Doação,1977.16.019,"Da esq. para dir., sentados: José Vieira Brandão (1º), Orlando Frederico (2º), Villa-Lobos (4º), Arminda (5ª), Sylvio Salema (6º). De pé: Mário Braz da Cunha (Mário Gravador) (2º), Gazzi de Sá (6º) e João Pernambuco (8º).",Villa-Lobos e Arminda e funcionários da SEMA - Superintendência de Educação Musical e Artística,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11645,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/lucilia-guimaraes-villa-lobos-10/,,Doação,2004.16.119,"No verso, manuscrito “Porto Alegre, 1962”.",Lucília Guimarães Villa-Lobos,Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11647,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-com-o-diretor-secretario-da-orquestra-sinfonica-de-porto-alegre-dr-francisco-machado-villa/,,Doação,1982.16.281,,"Villa-Lobos e Arminda com o diretor secretário da Orquestra Sinfônica de Porto Alegre, [Dr. Francisco Machado Villa]",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11649,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/villa-lobos-e-arminda-no-aeroporto-de-porto-alegre-sendo-recebidos-por-moyses-velhinho-presidente-da-orquestra-sinfonica-de-porto-alegre-e-por-outras-autoridades-alem-de-antigos-alunos-do-conserv/,,Doação,1982.16.268,,"Villa-Lobos e Arminda no aeroporto de Porto Alegre, sendo recebidos por Moyses Velhinho [presidente] da Orquestra Sinfônica de Porto Alegre, e por outras autoridades, além de antigos alunos do Conservatório Nacional de Canto Orfeônico - CNCO",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11651,Bom,http://museuvillalobos.acervos.museus.gov.br/fotografias/mieczyslaw-horoszowski-pianista-polones/,,Doação,1995.16.001,,"Mieczyslaw Horoszowski, pianista polonês",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11653,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/jose-vieira-brandao-3o-e-villa-lobos-4o-com-os-musicos-do-quarteto-de-cordas-municipal-de-sao-paulo-gino-alfonsi-primeiro-violino-1o-johannes-oelsner-viola-2o-alexandre-schaffman-segu/,,Doação,2008.16.008,,"José Vieira Brandão (3º) e Villa-Lobos (4º) com os músicos do Quarteto de Cordas Municipal de São Paulo: Gino Alfonsi - primeiro violino (1º), Johannes Oelsner - viola (2º), Alexandre Schaffman - segundo violino (5º), Calixto Corazza - violoncelo (6º)",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11655,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/turma-de-formandos-do-conservatorio-nacional-de-canto-orfeonico-cnco-entre-1944-e-48-com-villa-lobos-arminda-e-jose-vieira-brandao/,,Doação,2008.16.007,"No verso, manuscrito “Turma de formandos do CNCO entre 1944 e 48, com o maestro V.L. Arminda e eu. Entre os alunos Helena Abud (mais tarde Lorenzo Fernandez) (atrás de Arminda), Laís Vasseur ao lado de Maria [Praga] e Elvira Sarmento”. O “eu” trata-se de José Vieira Brandão, pianista, colaborador e amigo de Villa-Lobos.","Turma de formandos do Conservatório Nacional de Canto Orfeônico (CNCO) entre 1944 e 48, com Villa-Lobos, Arminda e José Vieira Brandão",Fotografia em preto e branco; papel
Não identificado,10 Comunicação > 10.1 Documento,s. d.,Fotografia,11657,Regular,http://museuvillalobos.acervos.museus.gov.br/fotografias/concentracao-orfeonica-em-sergipe-em-comemoracao-pelo-dia-da-patria/,,Doação,2008.16.005,".Obs 1: a informação de que é Villa-Lobos regendo não procede. Ver Livro de recortes nº LR06.078.1.e.00, o periódico “A Nação” de 17-11-1936, onde é veiculada a notícia “Canto Orpheonico em Sergipe”, que é ilustrada com esta foto.","Concentração Orfeônica em Sergipe, em comemoração pelo “Dia da Pátria”",Fotografia em preto e branco; papel
