Altura (cm),Autor,Características Estilísticas,Características Iconográficas/Ornamentais,Características técnicas,Classificação,Data de produção,Denominação,Document,Largura (cm),Link do Item,Local de produção,Material,Número de registro,Profundidade (cm),Resumo Descritivo,Técnica,Dados históricos,Referências Bibliográficas/Arquivísticas,Temas,Diâmetro (cm),Título,Comprimento (cm),Conjunto com n°,Marcas/Inscrições,Espessura (cm),Peso (Kg)
"48,5",Não identificado,"O objeto apresenta características do estilo barroco, com ornatos típicos do estilo desenvolvido na região de Minas Gerais, datável do século XVIII.","Ornatos: concha, volutas, motivos florais (girassóis), frisos e folhas de acanto.","Oratório portátil, com estrutura em caixa de formato irregular, contendo frontão triangular, ornado em relevo por concha e volutas douradas. Policromia: vermelho e azul.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Oratório,31160,15,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-14/,Brasil > Minas Gerais,Folha de Ouro | Madeira | Tinta,293,,"Oratório portátil, de médio porte, de manufatura simples, em estilo barroco, confeccionado em madeira (cedro) entalhada, pintada e dourada, com caixa de formato irregular, tendo a parte posterior abaulada. Objeto com arremate de frontão triangular, ornado, ao centro, por concha estilizada ladeada por volutas douradas com vestígios de tinta vermelha. Abertura do nicho em arcopleno. Oratório sem portas, com laterais retas e emolduradas por frisos em dourado e azul, tendo perfil de camarim decorado por volutas, folhas de acanto e pequenos girassóis, símbolos característicos do estilo. Parte interna do oratório em formato abaulado, contendo peanha escalonada (a direita inexistente), com vestígios de douramento e policromia. Parte inferior lisa e retilínea, com vestígios de tinta nos tons azul escuro, bege e verde na parte frontal. Na parte interna, correspondente à cúpula, pontos da base de preparação aparentes. Parte posterior do oratório, pintada em tom azul celeste, em formato semi-circular (côncavo), composto por duas tábuas e com a parte superior em tábua encaixada.",Douramento | Entalhe | Policromia,"Sobre oratório: "" Nas casas particulares, pequena capela destinada a um número limitado de fiéis do culto católico. Nicho, armário ou pequeno altar onde são dispostas, para veneração, as imagens desse culto. Muito característico do mobiliário português, os oratórios figuravam no Brasil, no período colonial, tanto nas casas mais humildes quanto nas ricas instituições religiosas ou nas residências abastadas. Os mais importantes apoiavam-se em mesas de encostar ou em cômodas; alguns, de pequeno porte, eram suspensos à parede."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 273.",Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,,,"36,7",,,,
88,Não identificado,"Objeto ornado com rosinhas de malabar na parte interna, típicos da região de Minas Gerais. Peça datável do século XIX.",Ornatos: friso simples e motivos florais,"Oratório de manufatura simples, do tipo ""bala"", ornado por friso abaulado e com abertura feita por duas portas dispostas na parte frontal. Policromia: azul, vermelho, verde e preto.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Oratório,31154,42,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-13/,Brasil > Minas Gerais,Madeira | Tinta,292,,"Oratório, de médio porte, de manufatura simples, tipo ""bala"", confeccionado em madeira entalhada e policromada, com a parte frontal em semi-círculo e a parte posterior retilínea. Parte superior do objeto ornado por friso em curva, com abertura frontal em duas portas almofadadas, tendo sistema de fechamento em tramelas, dispostas uma na parte superior da porta direita e outra na parte inferior interna da porta esquerda. Oratório com base escalonada ornada por frisos pintados em tom preto. Parte interna composta por duas tiras quadrangulares de madeira, dispostas verticalmente e pintadas de azul claro. Folhas de porta pintadas com rajado atualmente esverdeado. Parede do fundo do oratório composta por duas tábuas pintadas em tom azul claro e ornadas por motivos florais com ramagens em tom verde escuro e com botões de rosas em tom vermelho.",Entalhe | Policromia,"Sobre oratório: "" Nas casas particulares, pequena capela destinada a um número limitado de fiéis do culto católico. Nicho, armário ou pequeno altar onde são dispostas, para veneração, as imagens desse culto. Muito característico do mobiliário português, os oratórios figuravam no Brasil, no período colonial, tanto nas casas mais humildes quanto nas ricas instituições religiosas ou nas residências abastadas. Os mais importantes apoiavam-se em mesas de encostar ou em cômodas; alguns, de pequeno porte, eram suspensos à parede."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 273.",Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,,,,,,,
66,Não identificado,Peça com características do estilo neo-rococó do século XIX .,"Ornatos: motivos florais, fitomorfos, laço, friso, palheta, pincéis, coluna grega, pergaminho. Sobre estilo neo-rococó: "" Tendência decorativa que, em meados do séc. XIX, procura reviver as linhas sinuosas e os ornatos do Rococó, abandonados a partir do advento do Neoclassicismo. A decoração, seguindo o gosto da época, é sobrecarregada, afastando-se da elegância do estilo setecentista."" (1)","Objeto confeccionado em vidro espelhado, de formato oval, com moldura em madeira entalhada e dourada, apresentando ornatos em relevo.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Espelho,31152,75,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/espelho/,[França?],Madeira | Purpurina,291,,"Espelho em formato ovalado horizontal, cercado por moldura em madeira dourada (purpurinada). Parte superior da moldura ornada por alegoria em relevo, alusiva às Artes, composta por coluna grega, palheta com pincéis e pergaminho, encimada por laço e ladeada por folhagens estilizadas. Espelho circundado por friso interno em madeira dourada, decorado por espécie de ogivas seriadas, além de friso em meia-cana e ornatos em motivos florais, estes dispostos nas laterais e na parte inferior da moldura.",Douramento | Entalhe | Espelho | Polimento | Recorte,,"MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 267.",Brasil | Século XIX | Século XVIII | Usos e Costumes,,,,,,,
82,Não identificado,"Peça com características do estilo rococó, datável do do século XVIII.","Ornatos: motivos florais, querubins, volutas, medalhão, flor-de-lis.","Objeto confeccionado em vidro espelhado, com moldura em madeira entalhada e dourada, apresentando ornatos em relevo, apoiado sobre três pés.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Espelho-Toucador,31144,65,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/espelho-toucador/,[França?],Folha de Ouro | Madeira,290,,"Espelho-toucador [de mesa], confeccionado em madeira entalhada e dourada, com espelho disposto na parte central e apoiado sobre três pés. Espelho cercado por moldura ornada por três querubins dourados, em relevo, dispostos um em cada lateral e um na parte superior, tendo rosto redondo, cabelos cacheados, olhos pequenos, nariz arrebitado, boca entreaberta, bochechas salientes e asas aparentes. Ornamentação da moldura complementada por volutas, cachos de uvas e motivos florais. Na parte inferior, estrutura recortada e proeminente, contendo pequena bancada recortada em madeira lisa (para apoiar objetos), tendo, logo abaixo, ornato central composto por medalhão circular cercado por volutas e encimado por motivo floral estilizado. Peça apoiada sobre três pés. Apresenta os pés laterais com joelheiras salientes compostas por volutas e flor-de-lis, com extremidade inferior em sapata. Pé posterior em tábua recortada.",Douramento | Entalhe | Espelho | Polimento | Recorte,"Sobre toucador: ""Móvel com espelho surgido no séc. XVIII, diante do qual as pessoas se penteavam, empoavam, pintavam utilizando os diferentes objeto de toalete."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 385.",Brasil | Século XIX | Século XVIII | Usos e Costumes,,,,,,,
55,Não identificado,"Objeto com características do estilo D. José I, contendo ornamentação com “rosinhas de malabar” tipicamente desenvolvida na região de Minas Gerais.","Ornatos: motivos fitomorfos, volutas, rosinhas-de-malabar","Escultura confeccionada em madeira entalhada, pintada e dourada, com parte frontal em vidro e imagens em pedra (talcita). Policromia: azul, vermelho, verde, branco, castanho",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Oratório,31136,"16,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-12/,Brasil > Minas Gerais,Folha de Ouro | Madeira | Pedra | Tinta | Vidro,289,,"Oratório [lapinha] confeccionado em madeira (cedro) entalhada, pintada e dourada, de linhas singelas, em estilo D. José I, contendo cinco imagens em pedra (talcita) no seu interior, com parte frontal em vidro recortado e ornatos dourados em relevo. Objeto com estrutura em caixa de formato trapezoidal, apoiada sobre quatro pés dourados em volutas, com a parte posterior composta por três tábuas verticais, tendo tramela para abertura do oratório na tábua central, esta presa à estrutura do móvel através de duas dobradiças de metal (ferro). Parte superior do objeto em cúpula, com cimalha arrematada por três motivos fitomorfos salientes, em dourado, ladeados por volutas. Parte frontal pintada em tom amarronzado, composta por três faces verticais de vidro emolduradas por frisos dourados, tendo a parte superior em volutas e ladeadas por colunas torneadas com a parte inferior do fuste em torsado. Na parte interna da peça, fundo em tom azul claro decorado com rosinhas-de-malabar em tom vermelho com ramagens em verde, emolduradas por nuvem e cercadas por motivos fitomorfos brancos. Apresenta cinco esculturas em talcita, pintadas e douradas, apoiadas sobre peanhas com marmorizado em tom vermelho, bege e amarelo, dispostas da seguinte forma: na parte inferior, ao centro, Santana Mestra sentada sobre cadeiral, trajando túnica longa, de mangas compridas, com gola ornada por barra dourada, sobreposta por manto. Apresenta o rosto voltado à direita, com cabelos castanhos semi-longos, cobertos por véu curto, tendo sua mão direita segurando livro sagrado. Pés calçados com sapatos pretos aparentes.Ao seu lado, a Virgem Menina, de pé, com cabelos presos por coque com fios soltos nas costas, em tom castanho. Apresenta rosto ligeiramente de perfil e traja túnica longa com gola oval. Com seus braços segura livro. À direita de Santana, figura de São Joaquim (?), de pé, com rosto voltado à esquerda, cabelos e barba em tom castanho, trajando túnica longa, cintada, sobreposta por manto preso à frente por medalhão circular. Tem seu braço esquerdo estendido para baixo e seu braço direito flexionado, segurando livro com amão. Pés calçados com sapatos pretos aparentes. Á esquerda de Santana, Santo Antônio, jovem, de pé, em posição frontal, com cabeça ligeiramente voltada à direita, com cabelos castanhos em tonsura, trajando hábito franciscano. No seu braço esquerdo segura o Menino Jesus, desnudo, apoiado sobre livro, segurando o globo terrestre. Na parte superior interna, ao centro, Cristo Crucificado preso à cruz verde, tendo a cabeça caída à esquerda, cabelos semi-longos, em tom castanho, encimados por coroa de espinhos, olhos cerrados, nariz aquilino, boca cerrada e barba em tom castanho. Tem seus braços estendidos e presos à cruz e seu pé direito apoiado sobre o esquerdo. Traja perizônio envolto na cintura ornado por barra em dourado. Ao longo do corpo, apresenta escoriações em tom vermelho nos joelhos, pés, ombros e cintura. À direita do Cristo, São José de Botas, de pé, com a cabeça ligeiramente inclinada à direita, com cabelos semi-longos e barba em tom castanho, trajando túnica longa sobreposta por manto apoiado sobre o braço. Com seu braço esquerdo segura o Menino Jesus, desnudo, segurando o globo terrestre. Pés calçados com botas em tom marrom ornadas por barra dourada. Escultura apoiada sobre pedestal vermelho arrematado em ponta, tendo o mesmo tipo de pedestal posicionado à esquerda do Cristo, sem a escultura. Piso interno do oratório em tom vermelho.",Douramento | Entalhe | Escultura | Policromia | Recorte,"Sobre Lapinha: ""[Diminutivo de lapa, grande pedra ou laje que serve de abrigo.] Em certas regiões do Brasil, pequeno oratório singelo, nicho ou presépio feito de pedra-sabão, barro ou outro material, cujas figuras celebram a tradição do Natal e de Reis."" (1)","MOUTINHO, Stella Rodrigo Octavio et alli. Dicionário de Artes Decorativas e Decoração de Interiores. Ed. Nova Fronteira, 1999. Pág. 216.",Brasil | Minas Gerais | Religião | Século XIX | Século XVIII,,Lapinha,31,,,,
87,Não identificado,"Oratório mineiro, datável da segunda metade do século XVIII, de execução simples, em desenho reto, com recorte curvo apenas no frontão que o arremata, mas apresentando deliciosa pintura de gosto rococó, com elementos simbólicos, figura humana, concheados e flores, de execução graciosa e delicada, em colorido vivo, típico do período.","Iconografia: símbolos da Paixão de Cristo, também conhecidos por “Armas Christi” - turquesa, martelo, três lanças, chicote de quatro pontas, coroa de espinhos, coluna, cana verde, lança comprida, esponja, escada e três cruzes; a figura do Evangelista S. João, de feição jovial, vestido com a tradicional túnica verde, com faixa vermelha, trazendo como atributo principal o livro; o pote colocado ao chão, pode fazer referência a Maria Madalena, que no cenário da crucificação é colocada, junto com S. João, próxima ao pé da cruz. Ornamentos: pintura com concheados, rocalhas, flores (rosas com ramos espinhentos, e margaridas), estrelas, confetes, “cês”, “esses” e marmorizados e frisos; molduras.","Oratório em madeira clara recortada, em várias partes encaixadas e fixadas por cravos; policromia (têmpora) azul, vermelho, branco, bege, verde, cinza, preto e rosa; ferragem em ferro fundido e batido, composta por quatro dobradiças que prendem as folhas da porta, um fecho interno inferior, na folha da esquerda; consoles pregados.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII > [entre 1751 e 1800],Oratório,31116,41,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-11/,Brasil > Minas Gerais,Madeira | Metal | Tinta,288,"28,5","Oratório em forma de caixa retangular vertical, na madeira (internamente), com a base emoldurada e frisa. Centro com porta de duas folhas, lisas, com as bordas arredondadas, e fechadas ao meio por uma tramela de madeira. As faces internas encontram-se pintadas com elementos simbólicos e figura de santo: na folha da esquerda os símbolos da Paixão (turquesa, martelo, três lanças, chicote de quatro pontas, coroa de espinhos, coluna, cana verde, lança comprida, esponja, escada e três cruzes), que aparecem ao centro de uma paisagem com uma relva, em primeiro plano, montanhas, ao meio, e o céu com horizonte avermelhado na metade superior; na folha oposta, a figura de S. João, jovem, de pé, em posição frontal, com a cabeça voltada para dentro do oratório, para onde direciona o olhar; tem o braço direito flexionado ao alto, e a mão espalmada para frente; braço direito estendido lateralmente, com um livro fechado, de capa vermelha, debaixo dele; pés em ângulo, calçados de sandália de tiras; veste uma túnica verde, cingida a cintura, tendo uma faixa vermelha transpassada na diagonal, terminada em laço inferior; repete-se a paisagem da pintura anterior, tendo ao chão, à direita do santo, um pote cinza. Parte superior do oratório em cimalha estreita, emoldurada, frisada e marmorizada em azul e branco, com arremate em frontão de recortes curvos, pintado em motivos de concheados em vermelho e azul, com “cês”, “esses” e flores. Enquadramento da porta em marmorizado vermelho, em na entrada, duas pilastras retas, com a base e o entablamento emoldurados, em azul e vermelho, o fuste liso, de borda frisada amarela, e a face pintada de branco, com contorno em listas azuis; o coroamento em arco, continuando as pilastras, com triângulos de canto delimitados por friso rebaixado, com pintura de flores no interior; fecho em pintura de concheado.  Interior com laterais e fundo em pintura azul claro, com confetes brancos, que deixam espaços ondulados onde se inserem pinturas de buquês de flores vermelhas e azuis, com ramos espinhentos; forro com fundo azul claro e estrelas brancas. Possui fixado ao fundo, centro médio inferior, com dois consoles de recortes curvos, marmorizados de vermelho e branco. Laterais externas lisas.",Fundição | Policromia | Recorte,,,,,,,,,,
156,Não identificado,"Oratório mineiro, datável do início do XIX, de desenho sóbrio, mas com elementos curvos em seu arremate e portas; decoração com colunas em caneluras, gomos, festão de folhas e flores; pintura de cunho rococó, com rocalhas, “cês” e “esses”, flores e figuras de santos; a pintura do fundo, imitando papel, parece ser de execução posterior.","Iconografia: figuras representando certamente a um Nossa Senhora da Conceição, em traje tradicional, com túnica branca e manto azul, de mãos postas, de pé sobre tufos de nuvens, de onde se eleva a crescente. A outra representação deve ser de São Francisco de Assis, com o hábito escuro da ordem por ele fundada, os franciscanos, com o cordão de três nós, as mãos com os estigmas, segurando uma caveira (já meio desfigurada). Representação de um cálice na base do trono interno. Decoração: pintura de rocalhas, “cês” e “esses”, flores e ramos; entalhe com “cês” e “esses”, flor com estrela de cinco pontas; festão de folhas imbricadas; molduras e frisos; colunas com caneluras; capitéis; lambrequins com guilhochês.","Peça confeccionada em madeira (pinho de riga) composta de várias partes encaixadas, com fixação por cavilhas e cravos; policromia em azul, vermelho, preto, verde, marrom, branco, com douramento nos frisos, decoração superior e cálice; quatro dobradiças em forma de cachimbo em ferro fundido e batido, fixados por cravos; recebeu fixação traseira com pó de serra e cera.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Oratório,31106,"102,5",http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-10/,Brasil > Minas Gerais,Folha de Ouro | Madeira | Metal | Tinta,287,46,"Oratório em forma de armário retangular vertical, de base em moldura meia-cana, com o centro em porta de duas folhas, de recorte superior em semi-arqueado, apresentando cada uma par de almofadas altas, emolduradas, em formato retangular, com a superior em recorte acompanhando a curvatura da folha; montantes lisos, com um batente emoldurado ao meio; par de dobradiças em metal, com recortes de semicírculo apontado; internamente possui pinturas figurativas nas almofadas superiores: na folha esquerda, a figura de uma Nossa Senhora (de rosto descaracterizado), vestida com túnica branca e manto azul e vermelho, de pé sobre tufos de nuvens, com a cabeça raionada, contornada por friso azul e cercadura em “cês” divergentes, em azul e vermelho; na folha da direita, a figura de um santo (de rosto descaracterizado), vestido de hábito preto, cingido por cordão de três nós, com raionado envolvendo a cabeça, com contorno e cercadura iguais ao do lado oposto; partes internas das almofadas das folhas com pintura de concheados vermelhos sobre fundo branco. Parte superior em cimalha arqueada, larga e escalonada em molduras, sem pintura, com arremate em frontão triangular, com a borda recortada em volutas, círculos e triangulo.  Parte interna do oratório, tendo à frente, duas pilastras de base recortada em gomos, de marmorizado verde; fuste em caneluras brancas, com contorno verde e de frisos dourados; capitel semi-circular verde, com recortes em gomos verdes e elementos pontiagudos com frisos dourados e interior verde; faces internas junto às pilastras com pinturas de flores e ramos verdes sobre fundo branco; recorte à maneira de renda de tribuna, em “esses” e “ cês” divergentes, com volutas e frisos dourados, com recorte superior em lambrequis de interior em guilhochês, arrematando um arqueado entalhado em florão de folhas imbricadas, tendo ao meio um fecho em forma de flor, de pétalas circulares ressaltadas, com miolo em forma de estrela de oito pontas. Possui um trono com a parte inferior reta; com recortes curvos inferior e moldura superior dourada com relevo de flor e frisada de verde; centro com pintura de concheado vermelho em cujo centro se apresenta um cálice dourado; com restos de pintura em motivos fitomorfos. Do trono inferior eleva-se um console de cinco faces em moldura vermelha e dourada, sustentado por três elementos em forma de “esse”, vermelhos, com friso azul ao meio. Fundo trifacetado, com pintura imitando papel, em motivos fitomorfos formando desenho geométrico; repete-se ainda no forro, em feitio semi-circular. Laterais lisas, sem pintura; fundo trifacetado, pintado de azul.",Douramento | Entalhe | Fundição | Policromia,,,,,,,,,,
"58,5",Não identificado,"Oratório mineiro, em médio porte, de desenho reto e de porte elegante, com pintura interna de execução esmerada, com pinturas flores de tamanhos variados, ramos sinuosos, rocalhas e marmorizado em cores vivas e dourado, bem ao gosto do rococó, de fins do século XVIII ou início do XIX.","Ornamentos: rocalhas, flores e botões de flores (rosas, margaridas e outras flores miúdas), ramos sinuosos, confetes, molduras e frisos dourados; mísula, volutas, botões dourados; marmorizados. Iconografia: cruz latina torneada.","Peça em madeira recortada, em várias partes encaixadas e pregadas; porta de duas folhas, fixadas por par de dobradiças e fecho em ferro batido; espelho em metal batido e cinzelado; policromia em azul, verde, branco, vermelho, ocre, verde e marrom; douramento com folha de ouro; friso externo do frontão com resquícios de pintura em vermelho; cruz torneada, encaixada; consoles em madeira recortada e fixados no interior; molduras inferior da lateral esquerda e da cimalha (lateral direita) refeitas e fixada posteriormente.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX | Século XVIII,Oratório,31104,31,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-9/,Brasil > Minas Gerais,Folha de Ouro | Madeira | Metal | Tinta,286,16,"Oratório em forma de armário retangular vertical, pintado de azul claro, com a base emoldurada, seguida de gaveta, em almofada rasa, com espelho em metal oval, e cantos em ponta de diamante, que também aparecem nas quinas laterais. Parte central em porta de duas folhas, possuindo cada uma duas almofadas retangulares verticais, de frisos nas bordas, com os montantes em azul.. Internamente, as folhas apresentam pintura de rocalhas, em cores vermelho, azul e ocre, sobre um fundo azul claro; com os montantes em marmorizado azul e branco, com frisos da borda pintados de branco. Porta com fecho de metal ao centro. Parte superior em cimalha larga, escalonada em vários frisos pintados de azul e branco; arremate em frontão de recorte curvo, delimitado por duplo frisos, terminados em volutas ao alto, com o interior pintado de azul e branco; encontra-se ainda encimado por uma cruz latina torneada, a qual falta uma das traves. Laterais do oratório lisas, com pintura em azul esverdeado. Interior com a parte da frente em duas pilastras retas, com base emoldurada; centro em moldura rebaixada com friso dourado e marmorizado interno em azul, arremate em capitéis frisados em vermelho, dourado e marmorizado branco e marrom; segue um arco pleno, emoldurado, com marmorizado interno em azul, contornado por friso dourado; cantos em triangulo delimitado por friso dourado, com botão dourado ao meio entre uma pintura de concheado azul, sobre fundo azul; fecho superior em forma de uma mísula vermelha, com frisos dourados e pintura de flor. Fundo, laterais e forro com pinturas de ramos sinuosos de folhas azuladas e outras maiores em dourado, com flores grandes azuis e vermelhas, algumas com o miolo dourado; outras flores menores, reunidas em buquês, algumas de interior dourado; e ainda botões de flores, com o centro dourado. Fundo em azul claro com confetes brancos. Possui ainda internamente, na parte inferior, dois consoles circulares, de bordas frisadas, com suportes recortados em curvas e contra-curvas, marmorizados de marrom.",Douramento | Entalhe | Fundição | Policromia | Recorte,,,,,,,,,,
"88,8",Não identificado,"Oratório mineiro, datável do século XVIII ou XIX (mais provável), de fatura simples, em linhas retas, mas com deliciosa pintura de feição ingênua, e curiosa composição das cenas, com decoração típica do período rococó, como os concheados em dourado e as flores de vivo colorido.","Iconografia: seis passagens da Via Dolorosa de Cristo: Senhor da Agonia; da Prisão; da Coluna; Carregando a cruz, ajudado por Simão, o Cirineu; Ecce Homo; e da Cana Verde ou Pedra Fria. Ornamentos: pintura de rocalhas, ramos de flores e estrelas; frisos dourados e molduras.","Oratório confeccionado em madeira avermelhada, em partes recortadas, encaixadas e fixadas por cravos; ferragem em ferro batido, composto por quatro dobradiças que seguram as folhas da porta e um trinco em forma de gancho fechando a porta; policromia (têmpora) em azul, vermelho, verde, bege, branco, preto, marrom, ocre; douramento.",05 Interiores > 05.5 Peça de Mobiliário,Século XIX | Século XVIII,Oratório,31080,59,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-8/,Brasil > Minas Gerais,Folha de Ouro | Madeira | Metal | Tinta,285,"36,5","Oratório em forma de armário retangular vertical, na madeira (externamente), com a base estreita, emoldura. Centro com porta de duas folhas, lisas, com as bordas arredondadas, fechas por trinco de metal em forma de gancho, localizado ao meio. Faces internas com pinturas representando a Via-Crucis: na folha da esquerda, três passagens com o Cristo da Agonia (alto), vestido de túnica clara, ajoelhado sobre um monte dourado, tendo a visão do cálice, também dourado, ao alto; o Cristo da Prisão (centro), vestido do mesmo jeito, de pé sobre um monte dourado, com as mãos atadas por uma corda; o Cristo da Coluna (abaixo), semi-nu, de pé sobre um monte dourado, amarrado em uma coluna marmorizada de azul; na folha direita, também três passagens, com o Cristo carregando a Cruz (alto), de túnica branca, de joelhos sobre um monte dourado, sendo ajudado por um homem trajando vestes e gorro vermelho; O Ecce Homo (centro), com o Cristo de pé sobre um monte dourado, semi-nu, de capa vermelha, segurando um ramo de cana, tendo parte de um homem vestido de azul por trás, e outro, vestido de vermelho, na janela de uma construção; o Cristo da Cana-Verde ou Pedra Fria (abaixo), sentado sobre um bloco de pedra quadrada apoiada sobre monte dourado, semi-nu, com coroa de espinhos, segurando um ramo de cana, com uma construção ao lado. Todas as passagens encontram-se emolduradas por uma espécie de janela em traços azuis, arrematadas por concheado dourado, de onde pendem ramos com flores vermelhas; o fundo é branco. Parte superior do oratório em cimalha reta e larga, escalonada em molduras e frisos, na madeira. Enquadramento da porta em friso dourado, com a entrada em duas pilastras retas, de base em vermelho e dourado, fuste em moldura reentrante dourada, capitel em frisos dourado e vermelho; coroamento em arco continuando o feitio das pilastras, com os cantos em triangulo com pintura de flores em vermelho, azul, ocre e verde (ramos). Interior com as laterais e o fundo em pintura de ramos cruzados formando “xis”, com buquê de flores nas amarrações e ao meio; forro com estrelas em azul escuro.",Douramento | Fundição | Policromia | Recorte,,,,,,,,,,
273,Não identificado,"Belo exemplar de oratório, datável de meados do século XVIII , em grandes dimensões, de desenho elegante, em linhas retas, mas com partes curvas, como o coroamento, e a parte interna em forma de estrutura retabular, com decoração dourada, inspirada em vocabulário do estilo joanino, com concheados, guirlanda de flores, dossel com lambrequins e cortinados, palmeta joanina, mísula e acantos. Apresenta pintura de compoteiras , uma delas (parte inferior esquerda), de gosto neoclássico, feita em fins do século XIX, a óleo.","Iconografia: cartela com três cravos: símbolos da Paixão de Cristo (Armas Christi, como são denominados estes símbolos). Decoração: pilastras com mísulas, acantos, palmas, flores, pendão de flores, dossel com lambrequins e cortinados, conchas, palmeta joanina, frisos e molduras, pintura de compoteiras com flores (rosas, margaridas, flores miúdas de cor lilás), ramos, tufos de nuvens.","Peça em madeira recortada e entalhada, em várias partes encaixadas, fixadas por cravos e cavilhas; policromia em azul, vermelho, marrom, branco e ocre; douramento nas partes entalhadas; pintura de gosto neoclássico a óleo, nas cores azul, ocre, branco, verde, lilás, amarelo, preto e marrom dobradiças (6) em ferro fundido e batido, preso por cravos; gaveta com suportes (4) para puxadores em metal amarelo, parafusados (colocados posteriormente); tramela de madeira na parte interna inferior da folha esquerda.",05 Interiores > 05.5 Peça de Mobiliário,Século XVIII,Oratório,31072,55,http://museuregionaldesaojoaodelrei.acervos.museus.gov.br/acervo_museologico/oratorio-7/,Brasil > Minas Gerais,Folha de Ouro | Madeira | Metal | Tinta,284,126,"Oratório em forma de armário retangular vertical, marrom, com a base larga, emoldurada e escalonada em frisos; gavetão inferior, em almofada de borda emoldurada, com par de suportes metálicos para puxadores; segue uma moldura frisada. Centro com porta de duas folhas, tendo cada uma par de almofadas retangulares, de bordas frisadas; com batente ao meio; dobradiças em metal, com as pontas da frente em recorte de coração; internamente possui no verso de cada almofada, pintura de compoteiras com buquê de flores vermelhas, sendo a compoteira inferior esquerda em gomos azuis, com a base em acantos ocres, e flores brancas grandes, miúdas azuis e ramos verdes, com cercadura em frisos terminados em elementos fitomorfos; montantes pintados de azul claro, com fingimento de moldura em azul escuro. Parte superior em cimalha larga, escalonada em frisos, com uma faixa azul ao centro; arremate em forma de frontão curvo, delimitado nos extremos por “esses” terminados em em volutas, com conchas nos cantos; com tarja central em dois “cês”, inferiormente arremata por duas palmas e, superiormente, por palmeta; centro com relevo de três cravos. Interiormente, possui uma estrutura retabular, com sustentação em par de pilastras douradas, de bases emolduradas, com fustes em duas mísulas sobrepostas, revestidas por acantos e concheados (inferior) e pendão de flores (superior), com capitel compósito, entablamento em escalonado de frisos, em marmorizado vermelho e dourado; renda da tribuna em recorte curvo, emoldurado e dourado, com volutas, revestido por acantos, com pendão de flores na parte superior. Coroamento em dossel arqueado e dourado, arrematado por lambrequins contornado por frisos dourados, com cortinado vermelho preso nos cantos; canto com mísulas revestidas por acantos; arremate superior em duas palmas, com concheado nos cantos e flor central. Fundo com pintura formando tufos de nuvens circunscritos um dentro do outro, com resquício de raionado ao meio. Laterais internas e forro com resquícios de pintura em branco e azul. Laterais externas lisas, pintadas de marrom.",Douramento | Entalhe | Fundição | Policromia,,,,,,,,,,
